# Official name: Oestre Borggletsjer, Foreign name: Oestre Borggletsjer, Mouginot/Mankoff name: Geikie3, Mouginot region: CE, Mankoff discharge gate (2021): 146, closest NSIDC/MEASUREs ID: 131, distance to closest NSIDC/MEASUREs ID: 4060m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,43,7963720,31,7963794
2010-02,39,7149283,0,7149322
2010-03,43,7898630,0,7898673
2010-04,42,7643836,0,7643877
2010-05,21178,7813699,0,7834876
2010-06,26009104,7561644,531923,34102670
2010-07,41067326,7728767,835427,49631520
2010-08,32067019,7728767,502721,40298508
2010-09,14382611,7397260,181021,21960892
2010-10,6183,7643836,0,7650018
2010-11,384,7370350,0,7370734
2010-12,81,7552688,0,7552768
2011-01,917,7475341,0,7476258
2011-02,50,6694777,0,6694827
2011-03,55,7389041,0,7389096
2011-04,53,7150685,0,7150738
2011-05,12354,7304110,0,7316463
2011-06,3173471,7068493,4595,10246560
2011-07,36519284,7219178,715935,44454397
2011-08,22413078,7219178,447599,30079855
2011-09,729633,6904110,2403,7636145
2011-10,984,7049315,0,7050299
2011-11,2083,6787720,0,6789803
2011-12,2003,6991721,0,6993725
2012-01,135,6964384,0,6964518
2012-02,1446,6479664,0,6481110
2012-03,148,6879452,0,6879600
2012-04,27459,6575342,0,6602802
2012-05,39484,6794521,0,6834005
2012-06,25134392,6575342,564503,32274237
2012-07,43986667,6709589,847023,51543279
2012-08,35833339,6709589,653288,43196216
2012-09,10263,6410959,0,6421221
2012-10,112,6624658,0,6624769
2012-11,108,6328767,0,6328875
2012-12,111,6508336,0,6508448
2013-01,40,6488118,0,6488158
2013-02,36,5830137,0,5830173
2013-03,40,6369863,0,6369903
2013-04,39,6164384,0,6164422
2013-05,40,6284932,0,6284971
2013-06,25047520,6082192,519678,31649389
2013-07,42909409,6200000,831268,49940677
2013-08,21553263,6200000,435620,28188883
2013-09,1912499,5917808,46941,7877248
2013-10,59,6115068,65,6115192
2013-11,42,5835616,0,5835659
2013-12,24,5945205,0,5945230
2014-01,140,5945205,0,5945345
2014-02,56,5293151,0,5293207
2014-03,62,5860274,0,5860336
2014-04,1898,5589041,0,5590939
2014-05,8670,5775342,0,5784012
2014-06,17344216,5506849,356715,23207781
2014-07,43361257,5690411,872404,49924072
2014-08,20229514,5605479,447603,26282596
2014-09,6540375,5547945,110697,12199017
2014-10,6267,6284932,7,6291205
2014-11,873,6575342,23,6576238
2014-12,253,7219178,0,7219431
2015-01,0,7728767,0,7728767
2015-02,0,3797260,0,3797260
2015-03,0,7686301,0,7686301
2015-04,0,8554352,0,8554352
2015-05,0,9257534,0,9257534
2015-06,7157866,8418971,143414,15720251
2015-07,37647173,7813699,804329,46265200
2015-08,21845858,7091781,372753,29310392
2015-09,9365808,6493151,176457,16035415
2015-10,12491,7728767,0,7741258
2015-11,3237,7098323,0,7101560
2015-12,5474,6709589,0,6715063
2016-01,25676,6200000,0,6225676
2016-02,4768,6817560,0,6822327
2016-03,4312,8365753,0,8370065
2016-04,3875,8232419,0,8236294
2016-05,29564,8578082,0,8607646
2016-06,32283543,8357909,633409,41274860
2016-07,47727345,8663014,957571,57347929
2016-08,24123646,8408219,500295,33032160
2016-09,425559,7027397,1,7452957
2016-10,22884,7100274,0,7123158
2016-11,26200,6739726,0,6765926
2016-12,8028,6862466,0,6870494
2017-01,36,5350685,0,5350721
2017-02,50,4353425,0,4353474
2017-03,34,8705479,0,8705514
2017-04,19,9277881,0,9277900
2017-05,1320288,9880365,714,11201367
2017-06,11636369,9493151,179585,21309105
2017-07,43931592,9682192,944034,54557818
2017-08,20924434,9087671,400893,30412998
2017-09,7422601,7561644,162645,15146890
2017-10,394252,6582192,1035,6977479
2017-11,436,5876712,0,5877149
2017-12,189,5775342,0,5775531
2018-01,0,7083288,0,7083288
2018-02,552,6271233,0,6271785
2018-03,0,9495342,0,9495342
2018-04,0,9452055,0,9452055
2018-05,26,9801096,0,9801121
2018-06,15345049,9246575,282137,24873762
2018-07,47162843,9314155,982998,57459996
2018-08,23033135,9066438,401547,32501120
2018-09,1885646,8684932,7985,10578563
2018-10,13608,8854110,3,8867721
2018-11,56302,7068493,0,7124795
2018-12,0,5244521,0,5244521
2019-01,0,2845205,0,2845205
2019-02,0,3145205,0,3145205
2019-03,0,3425571,0,3425571
2019-04,0,3205479,0,3205479
2019-05,1885542,3227397,0,5112940
2019-06,28002604,3068493,425858,31496956
2019-07,54034547,3100000,1032638,58167185
2019-08,27025152,3029224,425535,30479911
2019-09,661011,2835616,482,3497109
2019-10,2409,2859361,0,2861770
2019-11,2005,2712329,0,2714334
2019-12,2069,2717808,0,2719877
2020-01,1308,1642009,0,1643317
2020-02,1243,1231507,0,1232750
2020-03,1190,1528767,0,1529957
2020-04,382,1684932,0,1685313
2020-05,296,2038356,0,2038652
2020-06,20059357,2178082,347107,22584547
2020-07,33074742,2463014,700562,36238317
2020-08,29697012,2675342,544664,32917019
2020-09,4235,2794521,1,2798756
2020-10,163012,3100000,0,3263012
2020-11,1502,3232877,0,3234379
2020-12,1411,3736986,0,3738397
