# Official name: Perlerfiup Sermia, Foreign name: Perlerfiup Sermia, Mouginot/Mankoff name: Sermeq Silarleq, Mouginot region: CW, Mankoff discharge gate (2021): 153, closest NSIDC/MEASUREs ID: 14, distance to closest NSIDC/MEASUREs ID: 7353m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,60946049,1820656,62766705
2010-02,0,55501521,1820656,57322177
2010-03,0,61830137,1820656,63650793
2010-04,0,60164384,1820656,61985040
2010-05,20766425,64632877,2122796,87522097
2010-06,79552572,72246575,4061888,155861036
2010-07,81902587,62509589,6521391,150933568
2010-08,73195294,59621918,4875925,137693136
2010-09,12144765,55808219,2366442,70319426
2010-10,4173346,60046575,1848463,66068385
2010-11,948743,60499948,1820661,63269352
2010-12,455,64914380,1820661,66735496
2011-01,0,67394975,1820656,69215631
2011-02,0,63111719,1820656,64932375
2011-03,0,72106849,1820656,73927505
2011-04,0,72164384,1820656,73985040
2011-05,25873,63189041,1820656,65035570
2011-06,52348535,72000000,3106976,127455512
2011-07,113103824,66161644,7836437,187101905
2011-08,49221486,63528767,3439646,116189899
2011-09,860404,63041096,1820656,65722156
2011-10,0,66586301,1820656,68406957
2011-11,1119,65855085,1820656,67676860
2011-12,0,69454925,1820656,71275581
2012-01,0,70917808,1820656,72738464
2012-02,0,67741149,1820656,69561805
2012-03,0,73805479,1820656,75626135
2012-04,75432,72821918,1820656,74718005
2012-05,10110597,75758904,2065676,87935177
2012-06,90105190,72164384,5902869,168172442
2012-07,105213320,62934247,9110696,177258263
2012-08,63243622,61830137,5636583,130710342
2012-09,3851560,61068493,1820658,66740711
2012-10,123415,64378082,1820656,66322153
2012-11,0,63369863,1820656,65190519
2012-12,0,66509260,1820656,68329917
2013-01,0,67542957,1820656,69363613
2013-02,0,61906849,1820656,63727505
2013-03,3512,69389041,1820656,71213209
2013-04,114,61068493,1820656,62889263
2013-05,13784,66076712,1820656,67911153
2013-06,52576718,69616438,2590371,124783528
2013-07,76455387,65906849,4784175,147146411
2013-08,27149477,61915068,3179615,92244160
2013-09,3758973,55972603,1906868,61638444
2013-10,0,59876712,1820656,61697368
2013-11,0,57534247,1820656,59354903
2013-12,0,59027397,1820656,60848053
2014-01,0,58602740,1820656,60423396
2014-02,0,52547945,1820656,54368601
2014-03,0,57838356,1820656,59659012
2014-04,0,60739726,1820656,62560382
2014-05,37955,59282192,1820656,61140803
2014-06,56218843,59506849,3045481,118771173
2014-07,81210445,61745205,6394131,149349781
2014-08,61482701,57243836,4555801,123282337
2014-09,5203906,56753425,1827267,63784598
2014-10,0,52912329,1820656,54732985
2014-11,62,54246575,1820656,56067293
2014-12,0,59239726,1820656,61060382
2015-01,0,61193151,1820656,63013807
2015-02,0,55923288,1820656,57743944
2015-03,0,59324658,1820656,61145314
2015-04,0,58779415,1820656,60600071
2015-05,882986,62084932,1820656,64788573
2015-06,50271165,58313725,3182481,111767370
2015-07,90494171,58517808,8212750,157224730
2015-08,32424806,58942466,2600404,93967676
2015-09,2870554,59260274,1842198,63973027
2015-10,0,57371233,1820658,59191891
2015-11,0,56531100,1820656,58351757
2015-12,0,59409589,1820656,61230245
2016-01,0,54738356,1820656,56559012
2016-02,0,52075192,1820656,53895848
2016-03,0,57413699,1820656,59234355
2016-04,2454278,59018692,1820656,63293626
2016-05,7600347,63486301,1820656,72907305
2016-06,48540965,60782799,3376341,112700105
2016-07,96431701,61278082,9120086,166829870
2016-08,51046219,57668493,3836468,112551181
2016-09,347616,52972603,1820662,55140881
2016-10,121650,59825753,1820656,61768060
2016-11,30,56095890,1820656,57916576
2016-12,0,57413699,1820656,59234355
2017-01,0,59384110,1820656,61204766
2017-02,0,53161644,1820656,54982300
2017-03,0,58751370,1820656,60572026
2017-04,0,57021081,1820656,58841737
2017-05,5164422,59084018,1820656,66069096
2017-06,46436799,57123288,2429351,105989438
2017-07,75378898,57045662,3597591,136022151
2017-08,40431580,60556164,3011713,103999457
2017-09,4605991,55068493,1962583,61637067
2017-10,6605,58942466,1820656,60769726
2017-11,0,57041096,1820656,58861752
2017-12,0,58560274,1820656,60380930
2018-01,0,58993425,1820656,60814081
2018-02,0,54868493,1820656,56689149
2018-03,0,59978630,1820656,61799286
2018-04,0,57328767,1820656,59149423
2018-05,1357747,57549589,1820656,60727992
2018-06,50612137,59917808,2690505,113220451
2018-07,70805238,62849315,4876516,138531069
2018-08,55029202,60768493,3752651,119550346
2018-09,6192527,57589041,1826387,65607955
2018-10,170,58857534,1820656,60678361
2018-11,0,57178082,1820656,58998738
2018-12,0,60428767,1820656,62249423
2019-01,0,62042466,1820656,63863122
2019-02,0,53967123,1820656,55787779
2019-03,0,57640183,1820656,59460839
2019-04,5581966,55808219,1820656,63210841
2019-05,50521575,59876712,2040595,112438883
2019-06,72761697,61534247,4542597,138838541
2019-07,119065993,64675342,10252943,193994279
2019-08,51415180,59820091,4388053,115623324
2019-09,6171664,57493151,1825691,65490506
2019-10,889026,59791781,1820656,62501462
2019-11,0,56506849,1820656,58327505
2019-12,0,59905023,1820656,61725679
2020-01,0,58093151,1820656,59913807
2020-02,0,54980822,1820656,56801478
2020-03,0,59706849,1820656,61527505
2020-04,1286300,57575342,1820656,60682299
2020-05,12648761,57215525,1820656,71684942
2020-06,45020634,57821918,2572014,105414565
2020-07,77101849,60782648,5624816,143509314
2020-08,40520249,59409589,2625633,102555471
2020-09,662846,57095890,1824485,59583221
2020-10,2490916,56139726,1820656,60451298
2020-11,0,55123288,1820656,56943944
2020-12,0,58730137,1820656,60550793
