# Official name: Petermann Gletsjer, Foreign name: Petermann Gletsjer, Mouginot/Mankoff name: Petermann Gletscher, Mouginot region: NO, Mankoff discharge gate (2021): 27, closest NSIDC/MEASUREs ID: 93, distance to closest NSIDC/MEASUREs ID: 65873m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,964413982,39362654,1003776636
2010-02,0,875276564,39362654,914639218
2010-03,0,973315068,39362654,1012677722
2010-04,0,946520548,39362654,985883202
2010-05,3070736,982742466,39379791,1025192993
2010-06,1430066938,955643836,42975866,2428686640
2010-07,3321565694,1059095890,56484706,4437146290
2010-08,768804580,1156427397,42528456,1967760433
2010-09,2005,1104986301,39362654,1144350960
2010-10,0,1126616438,39362654,1165979092
2010-11,0,1075043194,39362654,1114405848
2010-12,0,1095632830,39362654,1134995484
2011-01,0,1079867423,39362654,1119230077
2011-02,0,961115811,39362654,1000478464
2011-03,0,1049838356,39362654,1089201010
2011-04,0,1000684932,39362654,1040047585
2011-05,0,1018753425,39362654,1058116078
2011-06,1334080415,970684932,43005409,2347770755
2011-07,4235946684,928726027,63842750,5228515462
2011-08,1327382453,1144197260,48465531,2520045245
2011-09,0,1092575342,39362654,1131937996
2011-10,0,1114301370,39362654,1153664023
2011-11,0,1063689493,39362654,1103052147
2011-12,0,1084495582,39362654,1123858236
2012-01,0,1069372603,39362654,1108735256
2012-02,0,986258016,39362654,1025620670
2012-03,0,1040156164,39362654,1079518818
2012-04,0,991972603,39362654,1031335256
2012-05,47587453,1010430137,39478335,1097495926
2012-06,2469196145,963287671,50861783,3483345600
2012-07,5459352254,1193032877,96078878,6748464009
2012-08,1866631325,1172054795,61211566,3099897685
2012-09,1367,1066931507,39362654,1106295527
2012-10,0,1035145205,39362654,1074507859
2012-11,0,945287671,39362654,984650325
2012-12,0,978945168,39362654,1018307822
2013-01,0,983851134,39362654,1023213788
2013-02,0,893008219,39362654,932370873
2013-03,0,992084932,39362654,1031447585
2013-04,0,963780822,39362654,1003143476
