# Official name: Porsild Gletsjer, Foreign name: Porsild Gletsjer, Mouginot/Mankoff name: Petermann Gletscher N, Mouginot region: NO, Mankoff discharge gate (2021): 26, closest NSIDC/MEASUREs ID: 93, distance to closest NSIDC/MEASUREs ID: 52696m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,33008712,855546,33864258
2010-02,0,27867892,855546,28723438
2010-03,0,28876712,855546,29732258
2010-04,0,25808219,855546,26663765
2010-05,0,24460274,855546,25315820
2010-06,0,21452055,1382191,22834246
2010-07,0,66246575,2441499,68688074
2010-08,0,77542466,1104279,78646745
2010-09,0,45205479,855546,46061026
2010-10,0,47221918,855546,48077464
2010-11,0,46223169,855546,47078715
2010-12,0,48295825,855546,49151371
2011-01,0,48853552,855546,49709098
2011-02,0,44637469,855546,45493015
2011-03,0,49939726,855546,50795272
2011-04,0,48904110,855546,49759656
2011-05,0,51128767,855546,51984313
2011-06,0,49972603,1293501,51266104
2011-07,0,30405479,3897897,34303377
2011-08,0,46712329,1644568,48356897
2011-09,0,43561644,855546,44417190
2011-10,0,43400000,855546,44255546
2011-11,0,40397667,855546,41253213
2011-12,0,40144780,855546,41000326
2012-01,0,38473973,855546,39329519
2012-02,0,34383191,855546,35238737
2012-03,0,35161644,855546,36017190
2012-04,0,32465753,855546,33321299
2012-05,0,31934247,859710,32793957
2012-06,0,29260274,1637231,30897505
2012-07,0,56054795,5821762,61876557
2012-08,0,52997260,2363423,55360683
2012-09,0,47095890,855546,47951436
2012-10,0,44419178,855546,45274724
2012-11,0,39452055,855546,40307601
2012-12,0,37890126,855546,38745672
2013-01,0,35227355,855546,36082901
2013-02,0,29457534,855546,30313080
2013-03,0,30235616,855546,31091163
2013-04,0,26712329,855546,27567875
2013-05,0,37964384,855546,38819930
2013-06,0,32054795,972810,33027604
2013-07,0,37794521,1858934,39653455
2013-08,0,55375342,1042219,56417562
2013-09,0,46438356,855546,47293902
2013-10,0,45098630,855546,45954176
2013-11,0,40849315,855546,41704861
2013-12,0,39408219,855546,40263765
2014-01,0,36520548,855546,37376094
2014-02,0,30378082,855546,31233628
2014-03,0,31000000,855546,31855546
2014-04,0,34109589,855546,34965135
2014-05,0,38728767,855546,39584313
2014-06,0,42246575,1156868,43403443
2014-07,0,47731507,2309826,50041332
2014-08,0,49005479,1354315,50359795
2014-09,0,37808219,855546,38663765
2014-10,0,37794521,855546,38650067
2014-11,0,37726027,855546,38581573
2014-12,0,40130137,855546,40985683
2015-01,0,41276712,855546,42132258
2015-02,0,36361644,855546,37217190
2015-03,0,40936986,855546,41792532
2015-04,0,39595385,855546,40450931
2015-05,0,40894521,855546,41750067
2015-06,0,43807031,1570869,45377900
2015-07,0,49430137,7168723,56598860
2015-08,0,47221918,1020750,48242668
2015-09,0,39780822,855546,40636368
2015-10,0,41913699,855546,42769245
2015-11,0,41044324,855546,41899870
2015-12,0,42635616,855546,43491163
2016-01,0,40724658,855546,41580204
2016-02,0,37708401,855546,38563947
2016-03,0,40172603,855546,41028149
2016-04,0,38963990,855546,39819536
2016-05,0,40512329,855546,41367875
2016-06,0,45052580,1271473,46324052
2016-07,0,52147945,3854871,56002816
2016-08,0,51213699,1039932,52253631
2016-09,0,42698630,855546,43554176
2016-10,0,45438356,855546,46293902
2016-11,0,42164384,855546,43019930
2016-12,0,43858630,855546,44714176
2017-01,0,43196164,855546,44051710
2017-02,0,39123288,855546,39978834
2017-03,0,42720548,855546,43576094
2017-04,0,41233287,855546,42088833
2017-05,0,42494064,855546,43349610
2017-06,0,40315068,987576,41302644
2017-07,0,45410046,2135677,47545723
2017-08,0,46415068,991889,47406958
2017-09,0,43315068,855546,44170615
2017-10,0,46202740,855546,47058286
2017-11,0,40109589,855546,40965135
2017-12,0,43230137,855546,44085683
2018-01,0,42856438,855546,43711984
2018-02,0,38221918,855546,39077464
2018-03,0,41310685,855546,42166231
2018-04,0,39123288,855546,39978834
2018-05,0,40597260,855546,41452806
2018-06,0,40315068,983587,41298656
2018-07,0,46344292,1313720,47658013
2018-08,0,46733562,1576963,48310525
2018-09,0,42712329,855546,43567875
2018-10,0,42508219,855546,43363765
2018-11,0,41178082,855546,42033628
2018-12,0,41319178,855546,42174724
2019-01,0,41828767,855546,42684313
2019-02,0,37282192,855546,38137738
2019-03,0,40455708,855546,41311254
2019-04,0,39589041,855546,40444587
2019-05,0,40002740,855546,40858286
2019-06,0,40684932,1633904,42318835
2019-07,0,45098630,4357182,49455812
2019-08,0,45608219,2239607,47847826
2019-09,0,41630137,856002,42486139
2019-10,0,43937900,855546,44793446
2019-11,0,41219178,855546,42074724
2019-12,0,42324201,855546,43179747
2020-01,0,41673059,855546,42528605
2020-02,0,38136986,855546,38992532
2020-03,0,41050228,855546,41905774
2020-04,0,39452055,855546,40307601
2020-05,0,40172603,855546,41028149
2020-06,0,39863014,1769107,41632121
2020-07,0,42975342,5020569,47995912
2020-08,0,42720548,1773310,44493858
2020-09,0,40301370,855546,41156916
2020-10,0,42890411,855546,43745957
2020-11,0,39232877,855546,40088423
2020-12,0,41149315,855546,42004861
