# Official name: Qaqujaarsuup Sermia, Foreign name: Heilprin Gletsjer, Mouginot/Mankoff name: Heilprin Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 40, closest NSIDC/MEASUREs ID: 80, distance to closest NSIDC/MEASUREs ID: 5271m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,143718123,3549671,147267794
2010-02,0,131084408,3549671,134634079
2010-03,0,146421918,3549671,149971589
2010-04,0,143095890,3549671,146645561
2010-05,46504777,149309589,3759978,199574345
2010-06,279262383,145890411,8727257,433880051
2010-07,309420651,144978082,8259516,462658249
2010-08,170683064,144298630,6990045,321971740
2010-09,1698273,138986301,3550772,144235347
2010-10,0,143024658,3549671,146574329
2010-11,0,137766822,3549671,141316493
2010-12,0,141684248,3549671,145233919
2011-01,0,140971111,3549671,144520782
2011-02,0,126684624,3549671,130234295
2011-03,0,139627397,3549671,143177068
2011-04,0,134465753,3549671,138015424
2011-05,20320030,138268493,3549671,162138194
2011-06,289878282,133068493,7964775,430911550
2011-07,611052002,128841096,18309609,758202707
2011-08,202996784,129775342,8320251,341092378
2011-09,277702,126410959,3549671,130238332
2011-10,0,131473973,3549671,135023644
2011-11,0,128085137,3549671,131634808
2011-12,0,133210497,3549671,136760168
2012-01,0,134106849,3549671,137656520
2012-02,0,126311653,3549671,129861324
2012-03,0,135890411,3549671,139440082
2012-04,0,132410959,3549671,135960630
2012-05,27056315,137758904,4106588,168921807
2012-06,371868124,134219178,9593159,515680461
2012-07,675884714,148375342,24433878,848693934
2012-08,239245757,147610959,10134313,396991029
2012-09,8003,142109589,3549671,145667263
2012-10,0,146082192,3549671,149631863
2012-11,0,140712329,3549671,144262000
2012-12,0,146028263,3549671,149577934
2013-01,0,147461268,3549671,151010939
2013-02,0,134476712,3549671,138026383
2013-03,0,149904110,3549671,153453781
2013-04,0,146054795,3549671,149604466
2013-05,6218060,154915068,3549671,164682800
2013-06,143010837,138246575,5300667,286558079
2013-07,277208926,157972603,9722297,444903826
2013-08,83719613,160350685,4613613,248683910
2013-09,200276,134547945,3549671,138297893
2013-10,0,141920548,3549671,145470219
2013-11,0,140136986,3549671,143686657
2013-12,0,147695890,3549671,151245561
2014-01,0,150583562,3549671,154133233
2014-02,0,138695890,3549671,142245561
2014-03,0,156273973,3549671,159823644
2014-04,0,147205479,3549671,150755151
2014-05,4182740,143619178,3552999,151354917
2014-06,223493104,151726027,6814593,382033725
2014-07,417582460,155594521,14025390,587202371
2014-08,190788746,143534247,6303725,340626718
2014-09,0,138616438,3549671,142166109
2014-10,3868,140391781,3549671,143945320
2014-11,0,136438356,3549671,139988027
2014-12,0,141495890,3549671,145045561
2015-01,0,143236986,3549671,146786657
2015-02,0,128569863,3549671,132119534
2015-03,0,145487671,3549671,149037342
2015-04,0,142525948,3549671,146075619
2015-05,18590375,148035616,3645211,170271202
2015-06,285242924,141487722,8492625,435223271
2015-07,760316263,142047945,28384958,930749166
2015-08,80464945,132110959,5086623,217662527
2015-09,268816,144821918,3549671,148640405
2015-10,0,138565753,3549671,142115424
2015-11,0,139296025,3549671,142845696
2015-12,0,149054795,3549671,152604466
2016-01,0,148800000,3549671,152349671
2016-02,0,139596050,3549671,143145721
2016-03,0,149819178,3549671,153368849
2016-04,0,145303862,3549671,148853533
2016-05,501344,150583562,3549671,154634576
2016-06,165449102,148771045,6038501,320258649
2016-07,482174025,156401370,17443714,656019109
2016-08,164292507,142047945,5965229,312305681
2016-09,141891,143794521,3549676,147486087
2016-10,0,144689315,3549671,148238986
2016-11,0,146219178,3549671,149768849
2016-12,0,150651507,3549671,154201178
2017-01,0,150294795,3549671,153844466
2017-02,0,135052055,3549671,138601726
2017-03,0,147462329,3549671,151012000
2017-04,0,144875891,3549671,148425562
2017-05,3039830,152452055,3549671,159041556
2017-06,122537983,148397260,4486621,275421864
2017-07,345637199,154660274,9129910,509427383
2017-08,158086174,141580822,5339231,305006227
2017-09,90174,134876712,3549671,138516558
2017-10,0,132238356,3549671,135788027
2017-11,0,128383562,3549671,131933233
2017-12,0,135444521,3549671,138994192
2018-01,0,138336438,3549671,141886109
2018-02,0,129221918,3549671,132771589
2018-03,0,141258082,3549671,144807753
2018-04,0,139273973,3549671,142823644
2018-05,391723,141767671,3549671,145709065
2018-06,120571349,143589041,4058087,268218477
2018-07,145178423,146365297,5160172,296703892
2018-08,150594053,141495890,6345386,298435329
2018-09,156575,134054795,3549671,137761040
2018-10,0,139712329,3549671,143262000
2018-11,0,137424658,3549671,140974329
2018-12,0,142833562,3549671,146383233
2019-01,0,141113699,3549671,144663370
2019-02,0,129452055,3549671,133001726
2019-03,0,145289498,3549671,148839169
2019-04,2395,142602740,3549671,146154806
2019-05,34953756,148205479,4060300,187219535
2019-06,243205079,141452055,6907297,391564431
2019-07,561219499,135083562,15940485,712243546
2019-08,284004008,135918721,11566239,431488968
2019-09,8123390,130191781,3561533,141876703
2019-10,313107,134899543,3549671,138762321
2019-11,0,134178082,3549671,137727753
2019-12,0,139599087,3549671,143148758
2020-01,0,142741553,3549671,146291224
2020-02,0,132367123,3549671,135916794
2020-03,0,140788128,3549671,144337799
2020-04,0,136767123,3549671,140316794
2020-05,546480,142175342,3549671,146271493
2020-06,214637499,144082192,6725481,365445172
2020-07,504267138,131842009,16965809,653074956
2020-08,153989837,119201370,7087087,280278294
2020-09,115,106438356,3549671,109988142
2020-10,0,108542466,3549671,112092137
2020-11,0,106082192,3549671,109631863
2020-12,0,114232877,3549671,117782548
