# Official name: Qeqertarsuup Sermia, Foreign name: Qeqertarsuup Sermia, Mouginot/Mankoff name: Qeqertarsuup Sermia, Mouginot region: NW, Mankoff discharge gate (2021): 127, closest NSIDC/MEASUREs ID: 29, distance to closest NSIDC/MEASUREs ID: 4658m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,71159306,4120906,75280212
2010-02,0,64933942,4120906,69054848
2010-03,0,72786301,4120906,76907207
2010-04,0,75369863,4120906,79490769
2010-05,29204666,67435616,4220559,100860842
2010-06,410865456,79479452,7848010,498192918
2010-07,573449308,83657534,10168410,667275252
2010-08,476181584,74400000,9449399,560030983
2010-09,14198551,73315068,4234524,91748144
2010-10,937879,77032877,4122728,82093483
2010-11,7272506,75823871,4144495,87240872
2010-12,7080,79627051,4120962,83755093
2011-01,0,80948780,4120906,85069685
2011-02,0,74315444,4120906,78436350
2011-03,0,83487671,4120906,87608577
2011-04,0,82109589,4120906,86230495
2011-05,0,86120548,4120906,90241454
2011-06,193322729,84575342,5947278,283845349
2011-07,745591110,88668493,12040127,846299731
2011-08,284955774,76438356,6951393,368345523
2011-09,4106907,72986301,4141143,81234352
2011-10,0,74484932,4120906,78605837
2011-11,0,71099288,4120906,75220194
2011-12,0,72461371,4120906,76582276
2012-01,9,71427397,4120906,75548312
2012-02,8,65874189,4120906,69995103
2012-03,9,69473973,4120906,73594887
2012-04,8,66246575,4120906,70367490
2012-05,18005473,67265753,4234652,89505878
2012-06,515667951,80876712,9614418,606159082
2012-07,769398688,87564384,13964185,870927256
2012-08,386194172,60301370,8489405,454984947
2012-09,5270341,61972603,4144307,71387251
2012-10,720039,67690411,4121939,72532389
2012-11,0,68630137,4120906,72751043
2012-12,0,70703017,4120906,74823923
2013-01,0,70212421,4120906,74333327
2013-02,0,62980822,4120906,67101728
2013-03,0,69389041,4120906,73509947
2013-04,0,66821918,4120906,70942824
2013-05,0,61660274,4120906,65781180
2013-06,188971574,73890411,5623780,268485765
2013-07,444094622,80600000,8610926,533305547
2013-08,139416234,64208219,5359395,208983848
2013-09,14458828,63452055,4211609,82122493
2013-10,0,64717808,4120906,68838714
2013-11,0,61808219,4120906,65929125
2013-12,0,63019178,4120906,67140084
2014-01,0,62169863,4120906,66290769
2014-02,0,55386301,4120906,59507207
2014-03,0,60556164,4120906,64677070
2014-04,0,69123288,4120906,73244193
2014-05,0,67690411,4120906,71811317
2014-06,211965213,73643836,6167102,291776150
2014-07,570042924,68794521,11072374,649909818
2014-08,317301920,57243836,7086643,381632398
2014-09,1432818,59260274,4152218,64845310
