# Official name: Qeqertat Timaanni Sermeq, Foreign name: Dooecker Smith Gletsjer, Mouginot/Mankoff name: Docker Smith Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 63, closest NSIDC/MEASUREs ID: 58, distance to closest NSIDC/MEASUREs ID: 5531m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,49710,119783531,2650840,122484081
2010-02,47,108228851,2650496,110879395
2010-03,52,119838356,2650495,122488903
2010-04,50,115972603,2650494,118623147
2010-05,6143852,111430137,2650495,120224484
2010-06,128670925,134136986,4378600,267186511
2010-07,203355448,128161644,5783424,337300515
2010-08,175447527,124424658,5436930,305309114
2010-09,4501261,119835616,2676537,127013414
2010-10,264,123235616,2650473,125886354
2010-11,55970,118678802,2650473,121385246
2010-12,207,122060497,2650473,124711178
2011-01,71,121471092,2650473,124121637
2011-02,64,109183972,2650473,111834509
2011-03,71,120347945,2650473,122998490
2011-04,69,115890411,2650473,118540953
2011-05,71,119158904,2650473,121809448
2011-06,76338151,114739726,3585209,194663086
2011-07,367599919,127821918,9123186,504545023
2011-08,118186992,127652055,4677163,250516210
2011-09,172311,123205479,2650478,126028269
2011-10,2495,127057534,2650478,129710508
2011-11,2256,122644225,2650478,125296960
2011-12,2331,126384398,2650478,129037208
2012-01,716,126038356,2650473,128689545
2012-02,666,117620050,2650473,120271189
2012-03,712,125443836,2650473,128095021
2012-04,689,121068493,2650473,123719655
2012-05,4884731,124849315,2661581,132395627
2012-06,150674476,123945205,4546489,279166170
2012-07,394549124,139712329,10172827,544434279
2012-08,201936003,128246575,6273075,336455653
2012-09,745218,123780822,2650476,127176516
2012-10,3704,127482192,2650473,130136369
2012-11,508,123123288,2650473,125774270
2012-12,418,125327228,2650473,127978120
2013-01,781,121491862,2650473,124143116
2013-02,705,106323288,2650473,108974466
2013-03,448,114997260,2650473,117648182
2013-04,400,108328767,2650473,110979641
2013-05,1884,120857534,2650473,123509892
2013-06,44603766,115643836,3153237,163400839
2013-07,163123682,118734247,5693605,287551533
2013-08,82920384,122301370,3803038,209024791
2013-09,438586,124356164,2650565,127445315
2013-10,28084,127906849,2650502,130585435
2013-11,6319,123123288,2650473,125780080
2013-12,6360,126717808,2650473,129374641
2014-01,8,126038356,2650568,128688932
2014-02,0,113304110,2650559,115954668
2014-03,0,124934247,2650568,127584814
2014-04,68,120328767,2650565,122979400
2014-05,0,123745205,2650568,126395773
2014-06,65804188,116054795,3219991,185078973
2014-07,252997733,136994521,8660141,398652395
2014-08,145110894,132408219,4534427,282053540
2014-09,747996,112808219,2650501,116206716
2014-10,410744,117035616,2650502,120096862
2014-11,753,113095890,2650501,115747144
2014-12,778,116695890,2650502,119347170
2015-01,1736,116610959,2650538,119263233
2015-02,1568,107320548,2650532,109972648
2015-03,1736,130284932,2650538,132937205
2015-04,1680,122966322,2650536,125618537
2015-05,3440,124000000,2650538,126653978
2015-06,77144494,121284244,3258480,201687218
2015-07,414886644,126590411,11756913,553233968
2015-08,58438433,124679452,3293669,186411554
2015-09,250175,129534247,2650517,132434939
2015-10,28834,125741096,2650519,128420449
2015-11,32404,122042836,2650517,124725757
2015-12,17493,126463014,2650519,129131026
2016-01,5663,125783562,2650481,128439706
2016-02,5297,119024120,2650481,121679898
2016-03,5663,128543836,2650481,131199980
2016-04,5480,121765613,2650481,124421574
2016-05,5663,123235616,2650481,125891760
2016-06,37471609,121624667,3088299,162184574
2016-07,288388334,128501370,8147845,425037549
2016-08,145231927,129180822,4709486,279122235
2016-09,387987,123493151,2650483,126531621
2016-10,13304,126564932,2650481,129228717
2016-11,6537,119383562,2650481,122040580
2016-12,6628,129350685,2650481,132007794
2017-01,7,129809315,2650473,132459796
2017-02,7,116449315,2650473,119099795
2017-03,7,126335616,2650473,128986097
2017-04,7,124583141,2650473,127233622
2017-05,7,131021005,2650473,133671485
2017-06,28742355,120904110,2960331,152606796
2017-07,185190501,131643836,4263029,321097366
2017-08,102951189,134021918,3600186,240573294
2017-09,1043256,127972603,2650475,131666333
2017-10,7,133639726,2650473,136290207
2017-11,7,121561644,2650473,124212124
2017-12,7,127991781,2650473,130642262
2018-01,19,127923836,2650473,130574328
2018-02,17,115336986,2650473,117987477
2018-03,8,120466849,2650473,123117331
2018-04,0,117164384,2650473,119814857
2018-05,6375,123456438,2650473,126113287
2018-06,43060420,121068493,3065983,167194896
2018-07,71468413,123518721,3285265,198272400
2018-08,134618006,126908904,4171936,265698845
2018-09,1527551,115863014,2657785,120048349
2018-10,321,120666438,2650473,123317233
2018-11,51,118191781,2650473,120842305
2018-12,0,119286301,2650473,121936775
2019-01,503,121154795,2650473,123805771
2019-02,454,111884932,2650473,114535859
2019-03,503,120234703,2650473,122885679
2019-04,224206,114849315,2650473,117723994
2019-05,13080968,115549315,2724604,131354887
2019-06,111410680,115287671,3770945,230469296
2019-07,376199261,120475342,10257929,506932533
2019-08,187285066,114063014,6802297,308150377
2019-09,9738991,108452055,2702716,120893762
2019-10,30796,112505936,2650473,115187205
2019-11,7758,108780822,2650473,111439054
2019-12,553,118734247,2650473,121385273
2020-01,1405,117884932,2650473,120536810
2020-02,1315,109564384,2650473,112216172
2020-03,1405,113978082,2650473,116629961
2020-04,1352,114000000,2650473,116651826
2020-05,131624,116327854,2650473,119109951
2020-06,54973952,109232877,3236673,167443501
2020-07,231456635,118507763,7712548,357676946
2020-08,108513291,117927397,4316850,230757538
2020-09,247349,111698630,2650473,114596453
2020-10,904746,121239726,2651511,124795983
2020-11,1159,115232877,2650622,117884658
2020-12,1198,120093151,2650473,122744822
