# Official name: Rimfaxe/Guldfaxe, Foreign name: Rimfaxe/Guldfaxe, Mouginot/Mankoff name: Rimfaxe, Mouginot region: SE, Mankoff discharge gate (2021): 303, closest NSIDC/MEASUREs ID: 193, distance to closest NSIDC/MEASUREs ID: 4375m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,20043,158367171,1718022,160105236
2010-02,1450,144901254,1718022,146620726
2010-03,212,161115068,1718022,162833302
2010-04,45,139150685,1718022,140868752
2010-05,73323282,166975342,2612020,242910645
2010-06,245268579,155095890,7899650,408264119
2010-07,420900318,136739726,12942448,570582492
2010-08,465515797,117969863,13320859,596806519
2010-09,244683579,115972603,6189971,366846152
2010-10,43054154,121621918,1911772,166587844
2010-11,158972,119459267,1718022,121336261
2010-12,475458,125187014,1723075,127385547
2011-01,4885,126988225,1718022,128711131
2011-02,193166,116334992,1718022,118246180
2011-03,1002,130454795,1718022,132173818
2011-04,307,128054795,1718022,129773123
2011-05,70565,153386301,1718022,155174888
2011-06,157932911,151890411,4817626,314640948
2011-07,416070067,138013699,11861426,565945192
2011-08,266562840,141410959,9342319,417316118
2011-09,35955631,122301370,2121483,160378484
2011-10,68479,128756164,1718023,130542667
2011-11,57988,127045183,1718022,128821193
2011-12,10731,133756608,1718022,135485360
2012-01,22286,136315068,1718022,138055377
2012-02,8295,129912419,1718022,131638736
2012-03,20963,141241096,1718022,142980082
2012-04,1632,139068493,1718022,140788147
2012-05,43785798,146167123,2049653,192002574
2012-06,369531260,145479452,12245837,527256549
2012-07,611573003,121027397,18855020,751455421
2012-08,414106553,116016438,13082061,543205053
2012-09,50847825,112273973,2097954,165219752
2012-10,759672,123235616,1722740,125718028
2012-11,27551,133643836,1718022,135389409
2012-12,569544,137150932,1718022,139438498
2013-01,23,134982044,1732928,136714996
2013-02,17,119978082,1734797,121712896
2013-03,2,131304110,1732412,133036524
2013-04,1277,138082192,1733683,139817152
2013-05,504439,134446575,1731166,136682180
2013-06,135876653,149013699,3853774,288744126
2013-07,273474192,137928767,10649582,422052541
2013-08,234340201,121282192,6989988,362612381
2013-09,31021739,127315068,1998213,160335021
2013-10,1009543,133597260,1718042,136324845
2013-11,337,137178082,1718022,138896441
2013-12,14029,142430137,1718022,144162188
2014-01,8118,143024658,1718022,144750797
2014-02,16233,129797260,1718022,131531516
2014-03,7516,154405479,1718022,156131017
2014-04,7271,136191781,1718026,137917077
2014-05,26206637,153131507,1834238,181172382
2014-06,228007592,147205479,7108387,382321459
2014-07,375902282,137164384,12029393,525096058
2014-08,454955260,118904110,13203256,587062626
2014-09,60866580,133890411,2358741,197115732
2014-10,2786,121027397,1731831,122762015
2014-11,8012,130767123,1718062,132493198
2014-12,1790,136867123,1718042,138586955
2015-01,71,140009589,1718517,141728177
2015-02,61,138235616,1720060,139955737
2015-03,0,148800000,1718295,150518295
2015-04,47,146442169,1718025,148160241
2015-05,2754,153726027,1718026,155446806
2015-06,113275088,146257871,4103136,263636095
2015-07,276780485,145997260,9926065,432703810
2015-08,263768847,138013699,8290396,410072941
2015-09,97548534,145890411,3350644,246789589
2015-10,66445,139924658,1718022,141709125
2015-11,44892,134522627,1718027,136285545
2015-12,102686,138735616,1718022,140556324
2016-01,2522,139839726,1718022,141560271
2016-02,296,130776097,1718022,132494414
2016-03,590,139754795,1718022,141473406
2016-04,155,139309839,1718695,141028689
2016-05,33236430,147950685,1820113,183007227
2016-06,288023370,137391595,8697705,434112670
2016-07,376989564,134913699,12690109,524593371
2016-08,309339538,133002740,9741689,452083967
2016-09,54768768,132000000,2419720,189188488
2016-10,10486635,135975342,1718507,148180484
2016-11,70636,132575342,1718094,134364072
2016-12,136341,143636164,1718150,145490655
2017-01,112345,145181918,1718026,147012289
2017-02,1315,136087671,1718026,137807012
2017-03,812,152579452,1718026,154298290
2017-04,3840,147980206,1718024,149702069
2017-05,68209439,153273059,2913343,224395841
2017-06,193828341,153328767,6825783,353982891
2017-07,361805897,147780822,10727406,520314126
2017-08,322909159,139032877,11021679,472963716
2017-09,103071486,146054795,4467146,253593427
2017-10,3799592,140519178,1866987,146185757
2017-11,40580,144041096,1718023,145799699
2017-12,17428,147653425,1718022,149388874
2018-01,838,148783014,1718030,150501882
2018-02,988,135473973,1718029,137192989
2018-03,923,146999452,1718030,148718405
2018-04,815,147698630,1718030,149417475
2018-05,138097,151432877,1718030,153289004
2018-06,144311504,148849315,5066654,298227474
2018-07,382681698,141127854,13118200,536927752
2018-08,318868103,121897945,9280477,450046526
2018-09,22037865,120876712,1817790,144732367
2018-10,624176,135019863,1718677,137362715
2018-11,100747,130849315,1718029,132668091
2018-12,69671,136145205,1718029,137932906
2019-01,8032,140094521,1718022,141820574
2019-02,4781,127342466,1718022,129065269
2019-03,5234,148828311,1718022,150551566
2019-04,5066,144465753,1718311,146189131
2019-05,50288524,157590411,2111765,209990700
2019-06,242937904,146602740,7271614,396812258
2019-07,466301068,127736986,16858904,610896959
2019-08,276822316,122414612,9109362,408346289
2019-09,71213471,125342466,2542011,199097947
2019-10,4859153,137957078,1723093,144539324
2019-11,116001,133397260,1718029,135231290
2019-12,156431,138551598,1718029,140426058
2020-01,86343,147016438,1718024,148820806
2020-02,455,140471233,1718024,142189711
2020-03,76090,155849315,1718024,157643429
2020-04,45809,150410959,1718024,152174791
2020-05,36022932,151093151,1931385,189047468
2020-06,233482022,145397260,7026188,385905470
2020-07,424662564,136428311,12697744,573788618
2020-08,374896307,126420548,10157402,511474257
2020-09,31309279,129561644,2141798,163012722
2020-10,1764586,138480822,1718025,141963433
2020-11,9482,135287671,1718024,137015177
2020-12,3451,139882192,1718024,141603667
