# Official name: Rink Gletsjer, Foreign name: Rink Gletsjer, Mouginot/Mankoff name: Rink Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 66, closest NSIDC/MEASUREs ID: 56, distance to closest NSIDC/MEASUREs ID: 5042m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,24757,97042484,1566225,98633466
2010-02,0,85593539,1566199,87159738
2010-03,0,92660274,1566198,94226472
2010-04,0,87369863,1566198,88936061
2010-05,4423008,81109589,1572704,87105301
2010-06,86695397,100438356,2936280,190070034
2010-07,134447832,124424658,3329204,262201694
2010-08,111315381,112109589,3247615,226672585
2010-09,2873994,108575342,1576043,113025380
2010-10,25,112279452,1566197,113845674
2010-11,179832,108726901,1566197,110472930
2010-12,465,112419160,1566197,113985822
2011-01,1,112479421,1566197,114045619
2011-02,1,101631591,1566197,103197789
2011-03,1,112534247,1566197,114100445
2011-04,1,108904110,1566197,110470308
2011-05,1,112619178,1566197,114185376
2011-06,50008804,109068493,2424747,161502044
2011-07,227323722,131558904,5044814,363927440
2011-08,75786382,112109589,2652327,190548298
2011-09,72772,105945205,1566200,107584177
2011-10,96,106928767,1566202,108495065
2011-11,51,100950345,1566216,102516611
2011-12,52,101796937,1566197,103363186
2012-01,1078,99200000,1566197,100767275
2012-02,1006,90382118,1566197,91949321
2012-03,1076,94189041,1566197,95756314
2012-04,1041,88602740,1566205,90169986
2012-05,3904263,89008219,1576344,94488826
2012-06,101743584,101835616,3205048,206784248
2012-07,226216746,124509589,5979890,356706225
2012-08,123351544,87309589,3808294,214469426
2012-09,327870,86136986,1566200,88031056
2012-10,1027,90621918,1566197,92189142
2012-11,130,89013699,1566197,90580025
2012-12,97,90736329,1566197,92302623
2013-01,0,87895983,1566197,89462180
2013-02,0,76865753,1566197,78431950
2013-03,0,83147945,1566197,84714142
2013-04,0,78328767,1566197,79894964
2013-05,0,91980822,1566197,93547019
2013-06,33186821,88931507,1872327,123990654
2013-07,115960198,98945205,3460029,218365432
2013-08,53597850,116526027,2184486,172308363
2013-09,293017,101671233,1566199,103530448
2013-10,5810,104720548,1566202,106292560
2013-11,742,100931507,1566215,102498463
2013-12,741,103956164,1566197,105523103
2014-01,1,103531507,1566204,105097712
2014-02,0,93205479,1566203,94771683
2014-03,0,102852055,1566204,104418259
2014-04,0,99123288,1566204,100689492
2014-05,0,99030137,1566204,100596341
2014-06,45492329,101917808,2039248,149449385
2014-07,158214630,110241096,4574919,273030645
2014-08,92403464,92915068,2715525,188034057
2014-09,720907,86219178,1566199,88506284
2014-10,168876,87904110,1566201,89639186
2014-11,376,86383562,1566199,87950137
2014-12,388,90579452,1566199,92146040
2015-01,67,91938356,1566202,93504625
2015-02,61,81506849,1566201,83073111
2015-03,67,92702740,1566202,94269009
2015-04,65,89586010,1566202,91152276
2015-05,4245,92447945,1566202,94018392
2015-06,55056097,89697338,2032421,146785856
2015-07,233228047,92915068,6193600,332336716
2015-08,39966542,86205479,2059639,128231660
2015-09,237196,89506849,1566200,91310246
2015-10,752,90834247,1566200,92401199
2015-11,907,88959107,1566200,90526214
2015-12,300,93254795,1566200,94821295
2016-01,225,93679452,1566198,95245875
2016-02,210,85341479,1566198,86907887
2016-03,225,89008219,1566198,90574642
2016-04,217,86667247,1566198,88233662
2016-05,225,90706849,1566198,92273272
2016-06,30264474,90566903,1852653,122684029
2016-07,182628737,95717808,4801089,283147635
2016-08,99415712,92405479,2901489,194722680
2016-09,66833,89589041,1566199,91222072
2016-10,571,87054795,1566198,88621563
2016-11,247,79767123,1566198,81333569
2016-12,225,85390137,1566198,86956560
2017-01,0,84184110,1566215,85750325
2017-02,0,79608219,1566197,81174416
2017-03,0,88817123,1566197,90383320
2017-04,0,83652810,1566197,85219007
2017-05,0,83402740,1566197,84968937
2017-06,22720969,79561644,1678889,103961502
2017-07,127538091,88951598,3198730,219688419
2017-08,71640847,95165753,2256501,169063101
2017-09,529447,87452055,1566248,89547750
2017-10,0,79241096,1566197,80807293
2017-11,0,74095890,1566197,75662087
2017-12,0,84549315,1566197,86115512
2018-01,0,87632329,1566197,89198526
2018-02,0,76789041,1566197,78355238
2018-03,0,80549041,1566197,82115238
2018-04,0,80712329,1566197,82278526
2018-05,0,80752877,1566197,82319074
2018-06,31350737,75739726,1716380,108806843
2018-07,45572388,77910502,1933598,125416488
2018-08,95128033,87967808,3019651,186115492
2018-09,1253431,74356164,1569378,77178973
2018-10,0,80175342,1566197,81741539
2018-11,0,76794521,1566197,78360717
2018-12,0,75228082,1566197,76794279
2019-01,251,78943836,1566197,80510284
2019-02,227,75523288,1566197,77089711
2019-03,251,81477626,1566197,83044074
2019-04,83943,76082192,1566197,77732331
2019-05,10773226,77839726,1597499,90210451
2019-06,79184989,79150685,2470269,160805942
2019-07,239844594,78986301,5759465,324590361
2019-08,115785962,79439269,3290174,198515405
2019-09,6206707,71589041,1586798,79382546
2019-10,4082,75079452,1566232,76649765
2019-11,534,75657534,1566197,77224266
2019-12,253,79977169,1566197,81543619
2020-01,5,78250228,1566197,79816430
2020-02,5,75558904,1566197,77125105
2020-03,5,75136073,1566197,76702275
2020-04,5,77342466,1566197,78908667
2020-05,244769,80062100,1566197,81873066
2020-06,40963735,75082192,2142275,118188201
2020-07,153150824,79127854,4276418,236555096
2020-08,71152125,81024658,2341716,154518499
2020-09,129925,67315068,1566197,69011191
2020-10,630606,84464384,1566255,86661244
2020-11,93,72000000,1566197,73566290
2020-12,96,75461644,1566197,77027937
