# Official name: Rolige Brae, Foreign name: Rolige Brae, Mouginot/Mankoff name: Eielson Hare Fjord-Rolige, Mouginot region: CE, Mankoff discharge gate (2021): 150, closest NSIDC/MEASUREs ID: 122, distance to closest NSIDC/MEASUREs ID: 4484m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,49642486,2626932,52269418
2010-02,0,45428853,2626932,48055786
2010-03,0,50534247,2626932,53161179
2010-04,0,48410959,2626932,51037891
2010-05,28657915,58517808,2736519,89912242
2010-06,521455397,52191781,5649164,579296342
2010-07,818570710,48495890,12797331,879863931
2010-08,412296763,52147945,6809246,471253954
2010-09,77904338,48575342,3266186,129745867
2010-10,0,50449315,2626932,53076247
2010-11,0,49034539,2626932,51661472
2010-12,0,50837286,2626932,53464218
2011-01,0,51042973,2626932,53669906
2011-02,0,46389615,2626932,49016547
2011-03,0,51808219,2626932,54435151
2011-04,0,52438356,2626932,55065288
2011-05,0,52063014,2626932,54689946
2011-06,176885976,48164384,3466502,228516862
2011-07,634244113,53336986,7678973,695260072
2011-08,324799814,47391781,5185492,377377087
2011-09,8830300,47095890,2638465,58564655
2011-10,0,50194521,2626932,52821453
2011-11,0,50118123,2626932,52745055
2011-12,0,53340149,2626932,55967081
2012-01,0,54950685,2626932,57577617
2012-02,0,52923475,2626932,55550407
2012-03,0,58093151,2626932,60720083
2012-04,0,57780822,2626932,60407754
2012-05,23250473,63104110,2728345,89082928
2012-06,583371039,60493151,9623877,653488067
2012-07,826969472,56224658,18134145,901328274
2012-08,486309752,44079452,11381153,541770357
2012-09,33386,40273973,2626969,42934328
2012-10,64,44504110,2626932,47131106
2012-11,62,45534247,2626932,48161241
2012-12,64,49384250,2626932,52011246
2013-01,0,51718695,2626932,54345627
2013-02,0,48789041,2626932,51415973
2013-03,0,56054795,2626932,58681727
2013-04,0,56383562,2626932,59010494
2013-05,0,55460274,2626932,58087206
2013-06,218180108,49479452,3633525,271293085
2013-07,619238387,58093151,8836665,686168203
2013-08,231713974,49175342,4409501,285298818
2013-09,1812129,49479452,2637404,53928985
2013-10,0,49430137,2626932,52057069
2013-11,0,46027397,2626932,48654329
2013-12,0,45778082,2626932,48405014
2014-01,0,43994521,2626932,46621453
2014-02,0,38049315,2626932,40676247
2014-03,0,50619178,2626932,53246110
2014-04,0,48000000,2626932,50626932
2014-05,0,49515068,2626932,52142001
2014-06,238508358,54739726,5448274,298696359
2014-07,550272141,53761644,6610205,610643990
2014-08,288276459,47391781,4454786,340123026
2014-09,20545615,44589041,2670139,67804795
2014-10,0,44843836,2626932,47470768
2014-11,0,44136986,2626932,46763918
2014-12,0,46287671,2626932,48914603
2015-01,0,46967123,2626932,49594055
2015-02,0,43112329,2626932,45739261
2015-03,0,49982192,2626932,52609124
2015-04,0,47548789,2626932,50175721
2015-05,0,48326027,2626932,50952960
2015-06,191610148,47546091,4589769,243746008
2015-07,705341647,49897260,11820482,767059389
2015-08,244088315,47179452,4263115,295530883
2015-09,27605693,49232877,2730900,79569470
2015-10,0,49897260,2626932,52524192
2015-11,0,48982426,2626932,51609358
2015-12,0,51298630,2626932,53925562
2016-01,0,50279452,2626932,52906384
2016-02,0,47389761,2626932,50016693
2016-03,0,51128767,2626932,53755699
2016-04,0,49671894,2626932,52298826
2016-05,5046226,51510959,2626932,59184117
2016-06,400736281,50244358,6487504,457468143
2016-07,823105355,52190411,13338617,888634383
2016-08,292941613,51086301,4317384,348345298
2016-09,3985152,49972603,2633413,56591167
2016-10,44,52793425,2626932,55420401
2016-11,0,53547945,2626932,56174877
2016-12,0,54305205,2626932,56932138
2017-01,0,54560000,2626932,57186932
2017-02,0,50093151,2626932,52720083
2017-03,0,54589726,2626932,57216658
2017-04,0,53003580,2626932,55630513
2017-05,7422399,55035616,2671199,65129215
2017-06,154219685,53424658,3256908,210901250
2017-07,372815984,54667580,5892889,433376453
2017-08,230919735,52275342,3871171,287066248
2017-09,10866939,50712329,2667525,64246793
2017-10,5,52615068,2626932,55242005
2017-11,0,53876712,2626932,56503645
2017-12,0,54971918,2626932,57598850
2018-01,0,54576986,2626932,57203918
2018-02,0,49230137,2626932,51857069
2018-03,0,54865753,2626932,57492686
2018-04,0,56671233,2626932,59298165
2018-05,0,55528219,2626932,58155151
2018-06,181486864,54698630,3595074,239780568
2018-07,493396823,48495890,8955942,550848655
2018-08,268219797,42699315,4748688,315667800
2018-09,40723365,41945205,2682397,85350967
2018-10,0,48134932,2626932,50761864
2018-11,0,48904110,2626932,51531042
2018-12,0,51128767,2626932,53755699
2019-01,0,52700000,2626932,55326932
2019-02,0,47983562,2626932,50610494
2019-03,0,53563470,2626932,56190403
2019-04,0,53123288,2626932,55750220
2019-05,23652275,53804110,2668610,80124995
2019-06,554388113,49287671,8491250,612167034
2019-07,895596912,53252055,14948636,963797603
2019-08,379879632,47731507,7518445,435129583
2019-09,4223382,44958904,2655389,51837675
2019-10,0,49288584,2626932,51915517
2019-11,0,50712329,2626932,53339261
2019-12,0,52204566,2626932,54831498
2020-01,0,52742466,2626932,55369398
2020-02,0,50015068,2626932,52642001
2020-03,0,53535160,2626932,56162092
2020-04,0,53219178,2626932,55846110
2020-05,1184559,53365297,2626932,57176788
2020-06,260480634,50958904,4632335,316071874
2020-07,550272261,51610046,9035572,610917879
2020-08,308138765,52402740,4101310,364642815
2020-09,2607866,49479452,2627931,54715250
2020-10,4,53294521,2626932,55921456
2020-11,0,53397260,2626932,56024192
2020-12,0,54653425,2626932,57280357
