# Official name: Rosenborg Gletsjer, Foreign name: Rosenborg Gletsjer, Mouginot/Mankoff name: Rosenborg, Mouginot region: CE, Mankoff discharge gate (2021): 186, closest NSIDC/MEASUREs ID: 146, distance to closest NSIDC/MEASUREs ID: 4953m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,3169864,441,3170306
2010-02,0,2901199,441,2901640
2010-03,0,3227397,441,3227839
2010-04,0,2547945,441,2548387
2010-05,5856513,4076712,56983,9990208
2010-06,92102544,3534247,723120,96359910
2010-07,112545752,3142466,961534,116649752
2010-08,87243401,2123288,688556,90055245
2010-09,99555216,1561644,711984,101828844
2010-10,4417487,1698630,19879,6135996
2010-11,0,1716102,441,1716543
2010-12,0,1838824,441,1839265
2011-01,0,1904120,441,1904561
2011-02,0,1780809,441,1781251
2011-03,0,2038356,441,2038798
2011-04,0,2054795,441,2055236
2011-05,0,1698630,441,1699071
2011-06,39490433,3616438,305513,43412384
2011-07,115574823,2802740,1025154,119402717
2011-08,67273969,1358904,566708,69199582
2011-09,39654533,1561644,269212,41485389
2011-10,323721,1783562,880,2108162
2011-11,1636552,1892701,1064,3530317
2011-12,0,2121047,441,2121488
2012-01,0,2293151,441,2293592
2012-02,0,2350019,441,2350460
2012-03,0,2632877,441,2633318
2012-04,0,2547945,441,2548387
2012-05,6509776,2632877,45347,9187999
2012-06,74542523,2547945,583394,77673862
2012-07,127527302,2802740,1041894,131371936
2012-08,88675476,1868493,736101,91280071
2012-09,11305721,493151,48078,11846949
2012-10,24063,1273973,441,1298477
2012-11,0,1890411,441,1890852
2012-12,0,1932221,441,1932663
2013-01,0,1890924,441,1891365
2013-02,0,1687671,441,1688113
2013-03,0,1868493,441,1868935
2013-04,0,2054795,441,2055236
2013-05,1946232,1443836,441,3390509
2013-06,68212960,1479452,580020,70272432
2013-07,118132974,1528767,1020981,120682722
2013-08,90391860,934247,775678,92101785
2013-09,14959552,1068493,102481,16130526
2013-10,10898793,1783562,71908,12754262
2013-11,0,1808219,441,1808661
2013-12,0,1953425,441,1953866
2014-01,0,1953425,441,1953866
2014-02,0,1841096,441,1841537
2014-03,0,2123288,441,2123729
2014-04,9481,1890411,441,1900333
2014-05,10112659,2038356,69543,12220558
2014-06,101629297,1150685,797854,103577836
2014-07,125878091,1443836,1019143,128341070
2014-08,86962392,2547945,757932,90268269
2014-09,48649303,1520548,338868,50508719
2014-10,6314317,2463014,7681,8785012
2014-11,9511020,1972603,11750,11495373
2014-12,0,1656164,441,1656606
2015-01,0,1273973,441,1274414
2015-02,0,1342466,441,1342907
2015-03,0,2123288,441,2123729
2015-04,0,2118279,441,2118720
2015-05,29725,2208219,441,2238386
2015-06,46452972,1995116,299295,48747383
2015-07,95406460,1868493,692290,97967243
2015-08,88129538,1783562,768937,90682037
2015-09,63219741,2301370,394325,65915436
2015-10,8531416,2038356,11157,10580929
2015-11,2,1774374,441,1774818
2015-12,0,1698630,441,1699071
2016-01,0,1613699,441,1614140
2016-02,0,1407333,441,1407775
2016-03,0,1443836,441,1444277
2016-04,0,1423707,3042,1426749
2016-05,13214794,1528767,99914,14843475
2016-06,107326497,1573252,932178,109831926
2016-07,118231979,1783562,981920,120997460
2016-08,87812756,2123288,742455,90678499
2016-09,28446156,1931507,137948,30515610
2016-10,35905588,1324932,145776,37376296
2016-11,667637,1356164,441,2024243
2016-12,0,1800548,441,1800989
2017-01,0,1987397,441,1987839
2017-02,0,1515068,441,1515510
2017-03,0,2335616,441,2336058
2017-04,0,2162611,441,2163052
2017-05,20576500,1981735,198723,22756958
2017-06,74096307,1068493,534377,75699177
2017-07,120394650,2010046,1057628,123462324
2017-08,68977809,2632877,630844,72241529
2017-09,75351220,2301370,480786,78133377
2017-10,7181839,1146575,26363,8354777
2017-11,0,2383562,441,2384003
2017-12,0,2335616,441,2336058
2018-01,0,2480000,441,2480441
2018-02,0,1342466,441,1342907
2018-03,0,3057534,441,3057976
2018-04,0,2136986,441,2137428
2018-05,2126833,2310137,441,4437411
2018-06,66669648,1232877,445194,68347719
2018-07,136099769,2010046,1122396,139232211
2018-08,74135254,1507534,537916,76180705
2018-09,26102276,1534247,178344,27814866
2018-10,138614,2654110,441,2793165
2018-11,2329642,2219178,441,4549262
2018-12,0,2378082,441,2378524
2019-01,122793,2760274,441,2883509
2019-02,0,2800000,441,2800441
2019-03,0,2915982,441,2916423
2019-04,13941994,2273973,71617,16287584
2019-05,30164724,2208219,181070,32554013
2019-06,113709846,1945205,896898,116551949
2019-07,155084232,2123288,1344253,158551772
2019-08,83535494,1698630,665757,85899881
2019-09,37559701,1273973,312554,39146227
2019-10,6767711,1811872,23211,8602794
2019-11,0,1808219,441,1808661
2019-12,312778,2208219,441,2521439
2020-01,0,2151598,441,2152040
2020-02,0,2065753,441,2066195
2020-03,0,2519635,441,2520076
2020-04,105416,1561644,441,1667502
2020-05,11718508,1783562,54290,13556360
2020-06,101391099,1479452,712493,103583044
2020-07,121376424,1500457,1001215,123878097
2020-08,104748116,1741096,857432,107346643
2020-09,9635866,1671233,56530,11363629
2020-10,15602442,1656164,99010,17357617
2020-11,0,1972603,441,1973044
2020-12,0,2675342,441,2675784
