# Official name: Ryder Gletsjer, Foreign name: Ryder Gletsjer, Mouginot/Mankoff name: Ryder Gletscher, Mouginot region: NO, Mankoff discharge gate (2021): 10, closest NSIDC/MEASUREs ID: 96, distance to closest NSIDC/MEASUREs ID: 9364m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,204345205,9977782,214322987
2010-02,0,184569863,9977782,194547645
2010-03,0,204345205,9977782,214322987
2010-04,0,197753425,9977782,207731206
2010-05,623150,204345205,9977782,214946137
2010-06,430981918,197753425,14678932,643414274
2010-07,1403189342,204345205,30394845,1637929393
2010-08,271623013,204430137,13425720,489478869
2010-09,0,197835616,9977782,207813398
2010-10,0,204430137,9977782,214407919
2010-11,0,197835616,9977782,207813398
2010-12,0,204430137,9977782,214407919
2011-01,0,204430137,9977782,214407919
2011-02,0,184646575,9977782,194624357
2011-03,0,204430137,9977782,214407919
2011-04,0,197917808,9977782,207895590
2011-05,0,204515068,9977782,214492850
2011-06,452455153,197917808,13457705,663830667
2011-07,1539668108,204515068,31749836,1775933012
2011-08,431616428,204515068,16784909,652916405
2011-09,0,197917808,9977782,207895590
2011-10,0,204515068,9977782,214492850
2011-11,0,197917808,9977782,207895590
2011-12,0,204515068,9977782,214492850
2012-01,0,204515068,9977782,214492850
2012-02,0,191362260,9977782,201340041
2012-03,0,204600000,9977782,214577782
2012-04,0,198000000,9977782,207977782
2012-05,8354756,204600000,10160331,223115088
2012-06,955694893,198000000,22812172,1176507065
2012-07,2100321250,204684932,49529987,2354536169
2012-08,784141223,204684932,24422416,1013248570
2012-09,0,198082192,9977782,208059973
2012-10,0,204684932,9977782,214662713
2012-11,0,198082192,9977782,208059973
2012-12,0,205095681,9977782,215073463
2013-01,0,206038108,9977782,216015890
2013-02,0,186947945,9977782,196925727
2013-03,0,207657534,9977782,217635316
2013-04,0,201616438,9977782,211594220
2013-05,0,209101370,9977782,219079152
2013-06,391669209,203013699,14239990,608922898
2013-07,964907712,210545205,20702984,1196155902
2013-08,256130562,211224658,13478486,480833705
2013-09,0,205150685,9977782,215128467
2013-10,0,212668493,9977782,222646275
2013-11,0,206465753,9977782,216443535
2013-12,0,214112329,9977782,224090110
2014-01,0,214791781,9977782,224769563
2014-02,0,194695890,9977782,204673672
2014-03,0,216150685,9977782,226128467
2014-04,0,209917808,9977782,219895590
2014-05,0,217594521,9977782,227572302
2014-06,521537229,211232877,15970315,748740421
2014-07,1120205155,218953425,25574733,1364733313
2014-08,516324832,219717808,16867025,752909666
2014-09,14,212958904,9977782,222936700
2014-10,0,219972603,9977782,229950384
2014-11,0,212876712,9977782,222854494
2014-12,0,219887671,9977782,229865453
2015-01,0,219887671,9977782,229865453
2015-02,0,198838356,9977782,208816138
2015-03,0,221543836,9977782,231521617
2015-04,0,216229891,9977782,226207672
2015-05,0,224516438,9977782,234494220
2015-06,641133975,212302027,16002504,869438506
2015-07,2311189891,213135616,53852084,2578177592
2015-08,339107051,211182192,13469030,563758273
2015-09,0,210164384,9977782,220142165
2015-10,0,207232877,9977782,217210658
2015-11,0,201774397,9977782,211752179
2015-12,0,211267123,9977782,221244905
2016-01,0,217084932,9977782,227062713
2016-02,0,202370355,9977782,212348137
2016-03,0,215641096,9977782,225618878
2016-04,0,212537663,9977782,222515445
2016-05,0,223412329,9977782,233390110
2016-06,865400287,213169752,21797489,1100367528
2016-07,1880189198,214706849,34755730,2129651777
2016-08,295726211,208421918,12450284,516598412
2016-09,9448,210000000,9977802,219987249
2016-10,0,210205479,9977782,220183261
2016-11,0,206958904,9977782,216936686
2016-12,0,215335342,9977782,225313124
2017-01,0,218307945,9977782,228285727
2017-02,0,200276712,9977782,210254494
2017-03,0,222711644,9977782,232689426
2017-04,0,217358205,9977782,227335986
2017-05,0,226993607,9977782,236971389
2017-06,391786847,222534247,13788000,628109094
2017-07,1372810867,230079452,26940070,1629830389
2017-08,407448502,230504110,15217846,653170457
2017-09,0,226767123,9977782,236744905
2017-10,0,230121918,9977782,240099700
2017-11,0,221054795,9977782,231032576
2017-12,0,231417123,9977782,241394905
2018-01,0,236738082,9977782,246715864
2018-02,0,211457534,9977782,221435316
2018-03,0,232151781,9977782,242129563
2018-04,0,226849315,9977782,236827097
2018-05,0,237315616,9977782,247293398
2018-06,302072794,236589041,11229002,549890837
2018-07,837848292,247037443,16202302,1101088037
2018-08,627229290,247320548,17426000,891975838
2018-09,1,231260274,9977782,241238057
2018-10,0,240143836,9977782,250121617
2018-11,0,232821918,9977782,242799700
2018-12,0,241269178,9977782,251246960
2019-01,0,244432877,9977782,254410658
2019-02,0,217441096,9977782,227418878
2019-03,0,241233790,9977782,251211572
2019-04,0,237753425,9977782,247731206
2019-05,1608966,247915068,9977782,259501816
2019-06,990252551,235890411,24814360,1250957322
2019-07,2005248223,218613699,42940329,2266802251
2019-08,848812050,204458447,25004924,1078275422
2019-09,658561,192452055,9978347,203088964
2019-10,0,206836530,9977782,216814311
2019-11,0,202767123,9977782,212744905
2019-12,0,210715068,9977782,220692850
2020-01,0,211394521,9977782,221372302
2020-02,0,198789041,9977782,208766823
2020-03,0,210092237,9977782,220070019
2020-04,0,206054795,9977782,216032576
2020-05,203,221246575,9977782,231224560
2020-06,763326491,213328767,19925572,996580831
2020-07,1511183370,215641096,29432630,1756257095
2020-08,449187875,211819178,16083333,677090387
2020-09,0,201671233,9977782,211649015
2020-10,0,210672603,9977782,220650384
2020-11,0,207534247,9977782,217512028
2020-12,0,218358904,9977782,228336686
