# Official name: Salliarutsip Sermia, Foreign name: Inngia Isbrae, Mouginot/Mankoff name: Inngia Isbrae, Mouginot region: NW, Mankoff discharge gate (2021): 141, closest NSIDC/MEASUREs ID: 19, distance to closest NSIDC/MEASUREs ID: 8319m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,4,56933816,1505706,58439526
2010-02,4,52272127,1505706,53777837
2010-03,4,58602740,1505706,60108450
2010-04,4,57369863,1505706,58875573
2010-05,18116918,60216438,1508333,79841689
2010-06,268876460,70684932,3643413,343204805
2010-07,399497894,61150685,5293897,465942475
2010-08,234724181,59027397,5394900,299146479
2010-09,30816546,58356164,1635357,90808067
2010-10,1583955,61575342,1506063,64665361
2010-11,421,60852972,1505745,62359138
2010-12,240,64137747,1505706,65643693
2011-01,0,65437005,1505706,66942711
2011-02,0,60287014,1505706,61792720
2011-03,0,67945205,1505706,69450911
2011-04,0,67068493,1505706,68574199
2011-05,0,69134247,1505706,70639953
2011-06,149718749,71753425,2023537,223495711
2011-07,472845240,75334247,8379698,556559185
2011-08,161584270,73635616,4026618,239246504
2011-09,17965,62794521,1510859,64323344
2011-10,3030,65906849,1505709,67415588
2011-11,1637,64712057,1505707,66219400
2011-12,1316,67802512,1505706,69309534
2012-01,48,69049315,1505706,70555069
2012-02,45,66542709,1505706,68048460
2012-03,48,73465753,1505706,74971508
2012-04,47,73397260,1505706,74903013
2012-05,18799712,78052055,1547682,98399448
2012-06,387535084,82109589,8623619,478268291
2012-07,579979659,72701370,16481289,669162317
2012-08,280419594,67690411,6695031,354805036
2012-09,2693620,67890411,1505706,72089736
2012-10,1572520,73635616,1505706,76713842
2012-11,9896,74136986,1505706,75652588
2012-12,10226,76146085,1505706,77662017
2013-01,10339,75074144,1505706,76590189
2013-02,6819,66816438,1505706,68328963
2013-03,4504,73126027,1505706,74636237
2013-04,3149,73232877,1505706,74741731
2013-05,3200,77712329,1505706,79221235
2013-06,81307435,71095890,1517851,153921177
2013-07,298067517,77627397,5175346,380870261
2013-08,109219989,81873973,3244801,194338763
2013-09,1621743,79643836,1506265,82771844
2013-10,3,82213699,1505706,83719408
2013-11,0,79479452,1505706,80985158
2013-12,0,82043836,1505706,83549542
2014-01,1104,82043836,1505706,83550646
2014-02,998,74180822,1505706,75687525
2014-03,1104,82213699,1505706,83720509
2014-04,1069,79972603,1505706,81479378
2014-05,1104,79835616,1505706,81342427
2014-06,130240594,80547945,1896511,212685050
2014-07,430881966,81958904,7730689,520571560
2014-08,199695607,87479452,3758072,290933132
2014-09,2136226,75493151,1506195,79135572
2014-10,0,78136986,1505706,79642692
2014-11,0,76520548,1505706,78026254
2014-12,0,79920548,1505706,81426254
2015-01,90,78221918,1505706,79727713
2015-02,81,71265753,1505706,72771540
2015-03,3949,80600000,1505706,82109655
2015-04,170,78647144,1505706,80153019
2015-05,74,81916438,1505706,83422219
2015-06,162467040,81769497,3161487,247398024
2015-07,534427882,86460274,12919914,633808070
2015-08,60460725,85441096,1909897,147811718
2015-09,313264,88191781,1505741,90010786
2015-10,11,90961644,1505706,92467361
2015-11,0,85325593,1505706,86831299
2015-12,0,85653425,1505706,87159131
2016-01,95,88710959,1505706,90216760
2016-02,89,81986593,1505706,83492388
2016-03,95,86672603,1505706,88178403
2016-04,2115142,84739893,1505706,88360740
2016-05,40,88413699,1505706,89919445
2016-06,106726461,85371965,2395986,194494412
2016-07,445216978,87734247,11676728,544627953
2016-08,206160502,86163014,3905712,296229227
2016-09,56260,82232877,1505742,83794879
2016-10,95,85390137,1505706,86895938
2016-11,92,82232877,1505706,83738674
2016-12,95,85033425,1505706,86539225
2017-01,0,85576986,1505706,87082692
2017-02,0,74526027,1505706,76031733
2017-03,0,82808219,1505706,84313925
2017-04,0,80980267,1505706,82485973
2017-05,0,85271233,1505706,86776939
2017-06,64006863,86465753,1511779,151984396
2017-07,194327981,96991781,2591076,293910838
2017-08,123125358,95972603,2050410,221148371
2017-09,5859652,91726027,1506522,99092201
2017-10,552,102554795,1505706,104061052
2017-11,67,92136986,1505706,93642759
2017-12,13,95038356,1505706,96544075
2018-01,0,91420274,1505706,92925980
2018-02,0,79167123,1505706,80672829
2018-03,0,85186301,1505706,86692007
2018-04,0,84945205,1505706,86450911
2018-05,0,86562192,1505706,88067898
2018-06,63812329,88109589,1511603,153433522
2018-07,136057766,89914155,1811821,227783742
2018-08,153294106,88562329,3525141,245381575
2018-09,2141645,84328767,1505945,87976357
2018-10,0,87139726,1505706,88645432
2018-11,0,84657534,1505706,86163240
2018-12,0,88180137,1505706,89685843
2019-01,48,87352055,1505706,88857808
2019-02,300,78591781,1505706,80097786
2019-03,0,83119635,1505706,84625341
2019-04,0,80273973,1505706,81779679
2019-05,26050329,91726027,1508615,119284971
2019-06,195089067,89780822,2741365,287611254
2019-07,588183753,90112329,15183461,693479543
2019-08,201919301,82468493,5890482,290278276
2019-09,1943458,87616438,1506003,91065900
2019-10,0,93849315,1505706,95355021
2019-11,12,88643836,1505706,90149554
2019-12,0,90112329,1505706,91618035
2020-01,0,86063927,1505706,87569633
2020-02,0,79491781,1505706,80997487
2020-03,0,85129680,1505706,86635386
2020-04,0,84287671,1505706,85793377
