# Official name: Saqqarliup Sermia, Foreign name: Saqqarliup Sermia, Mouginot/Mankoff name: Saqqarliup Alangorliup, Mouginot region: CW, Mankoff discharge gate (2021): 195, closest NSIDC/MEASUREs ID: 1, distance to closest NSIDC/MEASUREs ID: 3978m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,21942,24105756,11916604,36044302
2010-02,0,23858675,11916604,35775279
2010-03,0,28536986,11916604,40453590
2010-04,0,29917808,11916604,41834412
2010-05,178347540,25649315,15177753,219174608
2010-06,415954408,18986301,33779384,468720094
2010-07,445886254,16816438,55764271,518466964
2010-08,385566850,12739726,41724755,440031331
2010-09,99404310,9863014,18180195,127447519
2010-10,28400646,10531507,12324666,51256818
2010-11,21306525,10427903,12040623,43775051
2010-12,1372093,10927161,11916660,24215914
2011-01,0,11113058,11916604,23029662
2011-02,0,10339207,11916604,22255811
2011-03,0,11975342,11916604,23891946
2011-04,0,27041096,11916604,38957700
2011-05,98239,32104110,11916604,44118952
2011-06,260469779,27205479,26533180,314208439
2011-07,515629922,19194521,57744633,592569076
2011-08,267468324,11975342,27996841,307440507
2011-09,12527225,7808219,11999973,32335417
2011-10,0,9257534,11916604,21174138
2011-11,1083424,10149538,11941815,23174776
2011-12,0,11679205,11916604,23595809
2012-01,0,12909589,11916604,24826193
2012-02,0,13220554,11916604,25137158
2012-03,28,15287671,11916604,27204303
2012-04,3519384,16027397,11988727,31535508
2012-05,86614451,17750685,13638486,118003622
2012-06,438962188,20547945,50759370,510269503
2012-07,532694076,17241096,82407215,632342387
2012-08,319216053,7558904,40403877,367178835
2012-09,61643435,11260274,12365991,85269700
2012-10,11190445,14523288,11971177,37684910
2012-11,0,16438356,11916604,28354960
2012-12,0,17804010,11916604,29720614
2013-01,0,18325654,11916604,30242258
2013-02,0,17030137,11916604,28946741
2013-03,619200,19449315,11916604,31985118
2013-04,227397,13561644,11916604,25705645
2013-05,162921,29980822,11916604,42060347
2013-06,317927459,24246575,21981220,364155254
2013-07,405928697,31084932,36797628,473811257
2013-08,182426372,15542466,24218902,222187739
2013-09,39865986,22109589,12366115,74341690
2013-10,1322432,19619178,11916604,32858214
2013-11,0,18246575,11916604,30163179
2013-12,0,18005479,11916604,29922083
2014-01,0,17241096,11916604,29157700
2014-02,0,14882192,11916604,26798795
2014-03,0,30065753,11916604,41982357
2014-04,17695,31232877,11916604,43167176
2014-05,4677229,28112329,11916604,44706161
2014-06,323271836,31561644,22167734,377001213
2014-07,432593762,20978082,40612151,494183995
2014-08,354816149,18175342,32740725,405732216
2014-09,39910968,18246575,12560120,70717663
2014-10,0,25564384,11916604,37480987
2014-11,0,20630137,11916604,32546741
2014-12,0,17071233,11916604,28987837
2015-01,0,17495890,11916604,29412494
2015-02,0,14536986,11916628,26453614
2015-03,0,19789041,11916640,31705681
2015-04,0,20595388,11916664,32512052
2015-05,7350476,21912329,11918693,41181498
2015-06,279359211,21327110,20716688,321403009
2015-07,425671582,22082192,44805803,492559577
2015-08,193928659,19024658,16271058,229224374
2015-09,44193079,14383562,13230805,71807445
2015-10,0,18345205,11916604,30261809
2015-11,1301433,15290203,11916604,28508239
2015-12,0,13376712,11916604,25293316
2016-01,0,15032877,11916604,26949480
2016-02,0,13228782,11916604,25145386
2016-03,0,13334247,11916604,25250850
2016-04,23154841,13619918,12048426,48823185
2016-05,79983248,14778082,13064269,107825599
2016-06,306314855,14048039,32545684,352908578
2016-07,456539387,13843836,55092179,525475401
2016-08,264510979,11253425,33731858,309496262
2016-09,13427843,9780822,12077471,35286136
2016-10,1829596,9121644,11921640,22872880
2016-11,195040,9616438,11916626,21728105
2016-12,0,9274521,11916627,21191148
2017-01,0,10446575,11916604,22363179
2017-02,0,10336986,11916604,22253590
2017-03,0,13928767,11916604,25845371
2017-04,292,14485385,11916604,26402281
