# Official name: Sermeq Avanarleq, Foreign name: Sermeq Avanarleq, Mouginot/Mankoff name: Ussing Braeer N, Mouginot region: NW, Mankoff discharge gate (2021): 122, closest NSIDC/MEASUREs ID: 31, distance to closest NSIDC/MEASUREs ID: 6502m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,63942405,720460,64662864
2010-02,0,59096377,720460,59816837
2010-03,0,67010959,720460,67731419
2010-04,0,68301370,720460,69021830
2010-05,2756617,63358904,771597,66887118
2010-06,32268132,87945205,2094287,122307624
2010-07,40042486,78136986,2851248,121030720
2010-08,37665659,67435616,2467775,107569050
2010-09,1734307,54821918,758970,57315194
2010-10,113654,57753425,720460,58587539
2010-11,1023502,57004945,720460,58748908
2010-12,336,60027360,720460,60748155
2011-01,0,61186376,720460,61906836
2011-02,0,56303474,720460,57023933
2011-03,0,63358904,720460,64079364
2011-04,0,62383562,720460,63104021
2011-05,0,65567123,720460,66287583
2011-06,17016615,86876712,1384604,105277932
2011-07,59055073,92490411,3491725,155037209
2011-08,21837051,75079452,1785759,98702263
2011-09,562395,72164384,720460,73447239
2011-10,0,74060274,720460,74780734
2011-11,0,71147339,720460,71867798
2011-12,0,72988495,720460,73708955
2012-01,0,72446575,720460,73167035
2012-02,0,67276058,720460,67996518
2012-03,0,71427397,720460,72147857
2012-04,0,68630137,720460,69350597
2012-05,1327535,62934247,809712,65071494
2012-06,35490827,71260274,2774150,109525252
2012-07,46278274,84082192,4024190,134384656
2012-08,29397790,82043836,2296266,113737892
2012-09,442985,77424658,725716,78593358
2012-10,52678,78052055,720460,78825192
2012-11,0,73890411,720460,74610871
2012-12,0,74852444,720460,75572903
2013-01,0,73378710,720460,74099170
2013-02,0,64975342,720460,65695802
2013-03,0,70663014,720460,71383473
2013-04,0,66986301,720460,67706761
2013-05,0,66161644,720460,66882103
2013-06,16128562,60000000,1339958,77468520
2013-07,34277326,69813699,2420882,106511907
2013-08,12800899,67350685,1182466,81334051
2013-09,1405746,66493151,726967,68625864
2013-10,0,70068493,720460,70788953
2013-11,0,69123288,720460,69843747
2013-12,0,72871233,720460,73591693
2014-01,0,74230137,720460,74950597
2014-02,0,68350685,720460,69071145
2014-03,0,76947945,720460,77668405
2014-04,0,64931507,720460,65651967
2014-05,0,67690411,720460,68410871
2014-06,17925123,72164384,1494926,91584433
2014-07,34953679,75589041,3164743,113707463
2014-08,27797296,65482192,1843520,95123008
2014-09,45601,72000000,720460,72766061
2014-10,138,73550685,720460,74271283
2014-11,0,72739726,720460,73460186
2014-12,0,76735616,720460,77456076
2015-01,0,74867123,720460,75587583
2015-02,0,66010959,720460,66731419
2015-03,0,75546575,720460,76267035
2015-04,0,71151644,720460,71872103
2015-05,359,71597260,720460,72318079
2015-06,18378692,72887765,1408553,92675010
2015-07,49515388,78858904,3861372,132235664
2015-08,13410324,71809589,1197886,86417799
2015-09,712194,74630137,727423,76069755
2015-10,0,73805479,720460,74525939
2015-11,0,70291745,720460,71012205
2015-12,0,72191781,720460,72912240
2016-01,0,75206849,720460,75927309
2016-02,0,68978312,720460,69698772
2016-03,0,72404110,720460,73124569
2016-04,0,70272869,720460,70993329
2016-05,23180,73126027,720460,73869667
2016-06,12652415,73210495,1196307,87059217
2016-07,44639110,77754795,3201428,125595332
2016-08,29243635,75291781,1858837,106394253
2016-09,16044,74424658,720483,75161184
2016-10,0,70883836,720460,71604295
2016-11,0,68589041,720460,69309501
2016-12,0,73822466,720460,74542925
2017-01,0,72939178,720460,73659638
2017-02,0,65723288,720460,66443747
2017-03,0,71130137,720460,71850597
2017-04,0,69923364,720460,70643824
2017-05,190,73324201,720460,74044851
2017-06,10683602,69698630,1135295,81517527
2017-07,42690004,79184475,2423738,124298217
2017-08,23979294,81661644,1650095,107291033
2017-09,370888,75780822,724976,76876686
2017-10,48,73593151,720460,74313658
2017-11,106,71424658,720460,72145223
2017-12,0,76417123,720460,77137583
2018-01,0,72854247,720460,73574706
2018-02,0,65569863,720460,66290323
2018-03,0,72531507,720460,73251967
2018-04,0,69410959,720460,70131419
2018-05,3039,72973151,720460,73696649
2018-06,16908094,67890411,1236755,86035260
2018-07,21636908,75645662,1669957,98952526
2018-08,28249008,73635616,2065406,103950031
2018-09,877417,66438356,720885,68036658
2018-10,0,69495205,720460,70215665
2018-11,0,64410959,720460,65131419
2018-12,0,71023973,720460,71744432
2019-01,0,70450685,720460,71171145
2019-02,0,62213699,720460,62934158
2019-03,0,68539726,720460,69260186
2019-04,141140,66849315,720460,67710915
2019-05,9658922,69473973,796064,79928959
2019-06,28656044,69123288,1758295,99537627
2019-07,59877835,69219178,3806813,132903826
2019-08,25413835,66699543,1893864,94007242
2019-09,3313539,64561644,769154,68644336
2019-10,122828,66954338,720460,67797625
2019-11,0,66246575,720460,66967035
2019-12,0,66303196,720460,67023656
2020-01,0,67945205,720460,68665665
2020-02,0,63283562,720460,64004021
2020-03,0,65623744,720460,66344204
2020-04,0,65178082,720460,65898542
2020-05,33,66982648,720460,67703141
2020-06,8643264,66698630,1089051,76430944
2020-07,36516632,70889498,2471860,109877990
2020-08,19567362,68582192,1537968,89687523
2020-09,54020,66082192,722550,66858761
2020-10,417436,66713699,720460,67851595
2020-11,0,63890411,720460,64610871
2020-12,0,68667123,720460,69387583
