# Official name: Sermeq Avannarleq, Foreign name: Lille Gletsjer, Mouginot/Mankoff name: Lille Gletscher, Mouginot region: CW, Mankoff discharge gate (2021): 162, closest NSIDC/MEASUREs ID: 10, distance to closest NSIDC/MEASUREs ID: 5131m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,14270415,264414,14534828
2010-02,0,12105632,264414,12370046
2010-03,0,12739726,264414,13004140
2010-04,0,11753425,264414,12017838
2010-05,17560920,15457534,417597,33436051
2010-06,85302492,17095890,1384816,103783198
2010-07,90950769,15117808,1585391,107653968
2010-08,77244020,9257534,1344538,87846092
2010-09,12330577,15287671,442539,28060787
2010-10,3295087,15287671,302466,18885225
2010-11,836230,14310168,267093,15413491
2010-12,185,14317152,264418,14581755
2011-01,0,13837517,264414,14101930
2011-02,0,12062702,264414,12327115
2011-03,0,12909589,264414,13174003
2011-04,0,12000000,264414,12264414
2011-05,279,8238356,264414,8503049
2011-06,60915808,15287671,904326,77107805
2011-07,129526086,14523288,1942399,145991773
2011-08,57079894,16391781,913224,74384899
2011-09,765035,11095890,265114,12126039
2011-10,0,12145205,264414,12409619
2011-11,20408,12396109,264488,12681005
2011-12,0,13435977,264414,13700390
2012-01,0,14098630,264414,14363044
2012-02,0,13844201,264414,14108615
2012-03,0,15457534,264414,15721948
2012-04,9,15616438,264414,15880861
2012-05,10432695,18769863,340679,29543237
2012-06,100170549,17589041,1505907,119265497
2012-07,122987070,12739726,2045959,137772756
2012-08,70819712,14098630,1121460,86039802
2012-09,3646634,13479452,274977,17401063
2012-10,165192,13843836,264574,14273602
2012-11,0,13315068,264414,13579482
2012-12,0,14295881,264414,14560295
2013-01,0,15522373,264414,15786786
2013-02,0,15112329,264414,15376742
2013-03,38,17580822,264414,17845273
2013-04,1,16273973,264414,16538387
2013-05,15,12909589,264414,13174017
2013-06,49865419,11013699,810497,61689615
2013-07,84710454,15287671,1375529,101373654
2013-08,29108368,10276712,651400,40036480
2013-09,3231254,19232877,293289,22757419
2013-10,0,14013699,264414,14278112
2013-11,0,12986301,264414,13250715
2013-12,0,12824658,264414,13089071
2014-01,0,12230137,264414,12494551
2014-02,0,10509589,264414,10774003
2014-03,0,11380822,264414,11645236
2014-04,0,13808219,264414,14072633
2014-05,73,11041096,264414,11305582
2014-06,53241139,18000000,949901,72191041
2014-07,86216435,14268493,1478925,101963853
2014-08,62702257,18260274,1108553,82071084
2014-09,4546166,11424658,308506,16279330
2014-10,0,15287671,264414,15552085
2014-11,1,13726027,264414,13990442
2014-12,0,13206849,264414,13471263
2015-01,0,13334247,264414,13598660
2015-02,0,14000000,264414,14264414
2015-03,0,12017808,264414,12282222
2015-04,0,11697994,264414,11962408
2015-05,111680,12272603,264414,12648697
2015-06,45079843,13701755,789656,59571254
2015-07,96053547,15839726,1608434,113501707
2015-08,29901622,14395890,599217,44896730
2015-09,2032977,13890411,301789,16225178
2015-10,0,14183562,264414,14447975
2015-11,0,14083931,264414,14348345
2015-12,0,14905479,264414,15169893
2016-01,0,13546575,264414,13810989
2016-02,0,12871960,264414,13136373
2016-03,0,13971233,264414,14235647
2016-04,2087531,13550820,279718,15918069
2016-05,3074222,14013699,289246,17377167
2016-06,55175314,13393218,989669,69558201
2016-07,108741465,13673973,1796844,124212282
2016-08,57379347,14523288,1058908,72961543
2016-09,267180,12904110,266219,13437509
2016-10,78287,12671781,264507,13014575
2016-11,0,12780822,264414,13045236
2016-12,0,13334247,264414,13598660
2017-01,0,13334247,264414,13598660
2017-02,0,12101370,264414,12365783
2017-03,0,13164384,264414,13428797
2017-04,0,12571284,264414,12835697
2017-05,927329,12909589,271567,14108485
2017-06,44386960,13972603,760288,59119851
2017-07,76734844,15032877,1181138,92948860
2017-08,40037700,13843836,711322,54592857
2017-09,4512219,14465753,330658,19308630
2017-10,7038,13886301,264420,14157760
2017-11,0,12616438,264414,12880852
2017-12,0,13716438,264414,13980852
2018-01,0,13130411,264414,13394825
2018-02,0,12331507,264414,12595920
2018-03,0,12977534,264414,13241948
2018-04,0,13068493,264414,13332907
2018-05,231587,14404384,264616,14900587
2018-06,40325024,14219178,839789,55383991
2018-07,70401875,14126941,1264572,85793388
2018-08,53711698,13631507,995515,68338720
2018-09,4051604,12520548,303301,16875453
2018-10,2,13589041,264414,13853457
2018-11,0,13890411,264414,14154825
2018-12,0,13673973,264414,13938386
2019-01,0,13504110,264414,13768523
2019-02,0,12312329,264414,12576742
2019-03,0,13730594,264414,13995007
2019-04,2133277,13342466,279695,15755439
2019-05,49147896,13928767,789677,63866341
2019-06,78780430,13150685,1357573,93288688
2019-07,124410089,13504110,2292900,140207099
2019-08,49296007,12796347,1023369,63115723
2019-09,4487039,12534247,310996,17332281
2019-10,537897,13249315,268018,14055231
2019-11,0,12780822,264414,13045236
2019-12,0,13419178,264414,13683592
2020-01,0,13107763,264414,13372176
2020-02,0,13467123,264414,13731537
2020-03,0,14268493,264414,14532907
2020-04,94659,12575342,264450,12934452
2020-05,3395926,13164384,266818,16827127
2020-06,45605430,14136986,831222,60573638
2020-07,81208885,13362557,1341889,95913331
2020-08,38610562,12994521,714300,52319383
2020-09,540267,12356164,270198,13166629
2020-10,2510728,12909589,271686,15692003
2020-11,0,12630137,264414,12894551
2020-12,0,13419178,264414,13683592
