# Official name: Sermeq Avannarleq, Foreign name: Sermeq Avannarleq, Mouginot/Mankoff name: Sermeq Avannarleq2, Mouginot region: CW, Mankoff discharge gate (2021): 167, closest NSIDC/MEASUREs ID: 8, distance to closest NSIDC/MEASUREs ID: 5402m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,9198,218666904,11493633,230169735
2010-02,0,204763857,11493633,216257490
2010-03,0,233052055,11493633,244545688
2010-04,0,231452055,11493633,242945688
2010-05,144148873,219887671,13061520,377098065
2010-06,806404109,220602740,24497844,1051504693
2010-07,1223719883,211054795,34636531,1469411208
2010-08,864821742,166890411,27199895,1058912048
2010-09,186524664,188136986,14611512,389273162
2010-10,31079451,189652055,11738494,232470000
2010-11,8921092,178757297,11496788,199175176
2010-12,28834,179923581,11493675,191446090
2011-01,0,174972791,11493633,186466423
2011-02,0,153585097,11493633,165078730
2011-03,0,165616438,11493633,177110071
2011-04,0,155589041,11493633,167082674
2011-05,32067,164682192,11493633,176207892
2011-06,507930174,234575342,18105665,760611182
2011-07,1594549312,179290411,37895233,1811734956
2011-08,567456983,141495890,19245320,728198193
2011-09,11197664,132000000,11499624,154697288
2011-10,0,142005479,11493633,153499112
2011-11,325802,143039394,11494747,154859942
2011-12,0,153428560,11493633,164922193
2012-01,0,159246575,11493633,170740208
2012-02,0,154426459,11493633,165920092
2012-03,0,170542466,11493633,182036098
2012-04,332971,170712329,11493633,182538932
2012-05,93993716,160265753,12503569,266763038
2012-06,1219305427,215342466,31204280,1465852173
2012-07,1771985047,153046575,46708201,1971739824
2012-08,832033875,130624658,27066904,989725437
2012-09,39757712,156000000,11557485,207315197
2012-10,3953843,177931507,11493633,193378982
2012-11,0,186246575,11493633,197740208
2012-12,0,191425092,11493633,202918724
2013-01,0,189075342,11493633,200568974
2013-02,0,168690411,11493633,180184044
2013-03,11432,185150685,11493633,196655750
2013-04,6579,208027397,11493633,219527609
2013-05,188333,149734247,11493633,161416212
2013-06,412263565,206054795,15984314,634302674
2013-07,864881531,210035616,25999469,1100916616
2013-08,373596591,208931507,17067037,599595134
2013-09,38303878,200794521,11722767,250821166
2013-10,85800,170542466,11493641,182121906
2013-11,83,174575342,11493633,186069058
2013-12,0,189906849,11493633,201400482
2014-01,1,199758904,11493633,211252538
2014-02,1,189402740,11493633,200896374
2014-03,1,218953425,11493633,230447059
2014-04,1,188054795,11493633,199548428
2014-05,812852,208082192,11493633,220388676
2014-06,452938357,216246575,18237152,687422084
2014-07,1026314415,210800000,28664286,1265778700
2014-08,791795130,195172603,25193791,1012161523
2014-09,44146220,195534247,11800979,251481445
2014-10,1482,200353425,11493633,211848540
2014-11,452,196684932,11493633,208179016
2014-12,398,206086301,11493633,217580332
2015-01,46,204090411,11493633,215584090
2015-02,41,187906849,11493633,199400523
2015-03,46,193983562,11493633,205477240
2015-04,44,183685988,11493633,195179665
2015-05,2395006,188335616,11493633,202224255
2015-06,466364081,197881732,17598766,681844578
2015-07,1332127427,219845205,32803297,1584775930
2015-08,271794826,186382192,14690901,472867918
2015-09,31980278,195041096,12019125,239040499
2015-10,56,182050685,11493633,193544374
2015-11,22,183783210,11493633,195276864
2015-12,22,201754795,11493633,213248450
2016-01,1,209993151,11493633,221486784
2016-02,1,197855170,11493633,209348804
2016-03,1,212541096,11493633,224034729
2016-04,12331488,208127741,11515953,231975182
2016-05,34478561,216702740,11550647,262731948
2016-06,565702364,184977410,20427942,771107716
2016-07,1366869156,147271233,35688418,1549828806
2016-08,706176833,102342466,22273996,830793295
2016-09,7027004,135452055,11498111,153977169
2016-10,3529350,107421370,11493633,122444353
2016-11,91782,116794521,11493633,128379935
2016-12,0,134140822,11493633,145634455
2017-01,0,140833425,11493633,152327057
2017-02,0,132021918,11493633,143515551
2017-03,0,161794521,11493633,173288153
2017-04,0,163322124,11493633,174815757
2017-05,20969385,174336073,11570096,206875554
2017-06,316368933,176876712,14699925,507945571
2017-07,666913309,185830137,20191037,872934482
2017-08,382767815,170797260,16220121,569785196
2017-09,45369691,172931507,12267615,230568812
2017-10,623502,176615068,11493633,188732203
2017-11,7945,182095890,11493633,193597468
2017-12,0,191329452,11493633,202823085
2018-01,0,193304110,11493633,204797742
2018-02,0,177013699,11493633,188507331
2018-03,0,199504110,11493633,210997742
2018-04,0,196150685,11493633,207644318
2018-05,11119927,202935342,11493633,225548902
2018-06,342344921,206876712,15908910,565130543
2018-07,812025058,206496804,24281548,1042803409
2018-08,580086593,193346575,19993911,793427079
2018-09,34592747,187178082,11632277,233403106
2018-10,94591,195597260,11493633,207185484
2018-11,13705,190164384,11493633,201671721
2018-12,0,204366438,11493633,215860071
2019-01,0,208549315,11493633,220042948
2019-02,0,191052055,11493633,202545688
2019-03,0,209101370,11493633,220595003
2019-04,22969654,201863014,11503739,236336407
2019-05,341370595,225875342,14344960,581590898
2019-06,977242278,194109589,26308310,1197660177
2019-07,2018375240,162006849,48126630,2228508720
2019-08,706478322,146478539,22528474,875485334
2019-09,34332494,144082192,11646825,190061510
2019-10,7524094,131643836,11498817,150666746
2019-11,139,130520548,11493633,142014320
2019-12,93,144440183,11493633,155933909
2020-01,139,158482192,11493633,169975963
2020-02,0,155805479,11493633,167299112
2020-03,0,174505936,11493633,185999569
2020-04,7968597,180780822,11493633,200243052
2020-05,46892492,195399087,11495152,253786731
2020-06,436157200,197013699,17887013,651057911
2020-07,997411512,193105936,28740801,1219258249
2020-08,300981323,177846575,14819276,493647174
2020-09,11800334,165589041,11554148,188943524
2020-10,17484235,179375342,11498682,208358259
2020-11,742,178849315,11493633,190343690
2020-12,0,188760274,11493633,200253907
