# Official name: Sermeq Avannarleq, Foreign name: Sermeq Avannarleq, Mouginot/Mankoff name: Sermeq Avannarleq, Mouginot region: CW, Mankoff discharge gate (2021): 182, closest NSIDC/MEASUREs ID: 4, distance to closest NSIDC/MEASUREs ID: 3776m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,7947,11930081,1624011,13562039
2010-02,3160,9986609,1624011,11613781
2010-03,3499,10361644,1624011,11989154
2010-04,2947,9369863,1624011,10996821
2010-05,123531988,11126027,2301601,136959616
2010-06,712233019,14876712,5579014,732688746
2010-07,1059143916,12654795,7731991,1079530702
2010-08,767893233,12400000,6102425,786395659
2010-09,174768827,9780822,2524943,187074592
2010-10,31776495,10276712,1781380,43834587
2010-11,4171638,10076403,1642313,15890355
2010-12,152836,10524428,1624046,12301311
2011-01,888,10633725,1624011,12258624
2011-02,802,9709355,1624011,11334169
2011-03,888,10871233,1624011,12496132
2011-04,860,10684932,1624011,12309802
2011-05,8024,9682192,1624011,11314227
2011-06,404447791,10931507,3936888,419316186
2011-07,1288613430,13843836,8546837,1311004102
2011-08,465068573,9682192,4447315,479198079
2011-09,12802853,10109589,1705671,24618113
2011-10,577,10276712,1624011,11901300
2011-11,230768,9797981,1631877,11660625
2011-12,312,9988477,1624011,11612800
2012-01,77,9852055,1624011,11476143
2012-02,1,9096548,1624011,10720559
2012-03,22,9597260,1624011,11221293
2012-04,1045276,9123288,1635949,11804512
2012-05,99239343,10191781,2006119,111437243
2012-06,1032729917,13232877,7053932,1053016726
2012-07,1587356290,13419178,9928030,1610703498
2012-08,723137557,9682192,5669977,738489726
2012-09,56473241,9698630,1846683,68018554
2012-10,7548383,9936986,1673033,19158402
2012-11,39,9534247,1624011,11158296
2012-12,34,9896421,1624011,11520466
2013-01,0,9999776,1624011,11623787
2013-02,0,9128767,1624011,10752778
2013-03,21480,10191781,1624011,11837272
2013-04,21394,13232877,1624011,14878281
2013-05,20500,12994521,1624011,14639032
2013-06,334654950,14383562,3740542,352779054
2013-07,682516994,12824658,5855243,701196894
2013-08,328717117,10191781,3338225,342247123
2013-09,37168378,9205479,1846811,48220668
2013-10,486739,9767123,1624011,11877873
2013-11,728,10602740,1624011,12227479
2013-12,752,12230137,1624011,13854901
2014-01,2391,13419178,1624011,15045580
2014-02,2173,13271233,1624011,14897417
2014-03,2406,11041096,1624011,12667513
2014-04,2328,11506849,1624011,13133189
2014-05,201104,12484932,1624011,14310046
2014-06,373736121,12739726,3908573,390384421
2014-07,795577321,14608219,6446714,816632254
2014-08,678765696,11890411,5571023,696227130
2014-09,45303163,8917808,1895560,56116531
2014-10,3978,9342466,1624011,10970455
2014-11,1275,9205479,1624011,10830766
2014-12,1318,9682192,1624011,11307521
2015-01,885,9852055,1624011,11476951
2015-02,800,10010959,1624011,11635770
2015-03,885,10701370,1624011,12326266
2015-04,857,10235401,1624011,11860269
2015-05,442712,10531507,1624011,12598230
2015-06,360518934,10718110,3410505,374647550
2015-07,1025481619,11593151,7017017,1044091787
2015-08,220419598,9639726,3053880,233113204
2015-09,38711735,10191781,1898205,50801720
2015-10,3337,10276712,1624011,11904061
2015-11,60943,9925273,1624011,11610228
2015-12,3328,10234247,1624011,11861585
2016-01,0,9045205,1624011,10669217
2016-02,0,9064972,1624011,10688984
2016-03,0,10616438,1624011,12240449
2016-04,1867982,11074233,1624555,14566770
2016-05,22637850,11890411,1769295,36297556
2016-06,522396089,11072353,4459535,537927976
2016-07,1067056328,10489041,7500721,1085046090
2016-08,596494181,8663014,4810561,609967755
2016-09,8147953,7808219,1678874,17635047
2016-10,420558,8917808,1624011,10962377
2016-11,7586,8794521,1624011,10426117
2016-12,0,8663014,1624011,10287025
2017-01,0,9478356,1624011,11102367
2017-02,0,7997260,1624011,9621271
2017-03,0,9979452,1624011,11603463
2017-04,3002,10276286,1624011,11903299
2017-05,21785968,10899543,1800934,34486446
2017-06,265951947,10561644,3346286,279859877
2017-07,531418674,10474886,4754454,546648015
2017-08,313967902,9172603,3738673,326879178
2017-09,43554506,9863014,1920285,55337805
2017-10,1918255,8705479,1625910,12249644
2017-11,51403,9082192,1624011,10757606
2017-12,0,9576027,1624011,11200039
2018-01,66,9835068,1624011,11459146
2018-02,60,8649315,1624011,10273386
2018-03,66,9580274,1624011,11204352
2018-04,64,10109589,1624011,11733665
2018-05,3299190,9716164,1624011,14639365
2018-06,280010075,10150685,3344220,293504980
2018-07,672997543,9257534,5521920,687776998
2018-08,464591950,7813699,4411834,476817482
2018-09,25617029,7808219,1773635,35198883
2018-10,4056,7919863,1624011,9547930
2018-11,64,8164384,1624011,9788459
2018-12,66,8620548,1624011,10244626
2019-01,0,9087671,1624011,10711682
2019-02,0,7824658,1624011,9448669
2019-03,0,8719635,1624011,10343646
2019-04,18559468,8876712,1665824,29102004
2019-05,256484240,9724658,2941227,269150124
2019-06,793040873,9095890,5974316,808111079
2019-07,1624020200,7941096,10021534,1641982829
2019-08,584433633,6851142,4722958,596007732
2019-09,32146200,6821918,1811002,40779119
2019-10,6184581,8096804,1640036,15921421
2019-11,850,7726027,1624011,9350889
2019-12,881,8323288,1624011,9948179
2020-01,79,8634703,1624011,10258794
2020-02,0,8620548,1624011,10244559
2020-03,0,9144292,1624011,10768303
2020-04,2416892,9000000,1624011,13040903
2020-05,54917219,9427397,1826120,66170737
2020-06,371164770,9821918,3695596,384682284
2020-07,861609734,8464840,6438613,876513188
2020-08,265441431,7346575,3225262,276013268
2020-09,13537660,7150685,1716783,22405128
2020-10,13907465,8365753,1670291,23943509
2020-11,207,7972603,1624011,9596820
2020-12,183,8875342,1624011,10499536
