# Official name: Sermeq Kujalleq, Foreign name: Store Gletsjer, Mouginot/Mankoff name: Store Gletscher, Mouginot region: CW, Mankoff discharge gate (2021): 165, closest NSIDC/MEASUREs ID: 9, distance to closest NSIDC/MEASUREs ID: 3166m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,806823892,17336461,824160354
2010-02,0,737952845,17336461,755289306
2010-03,0,825109589,17336461,842446050
2010-04,0,806054795,17336461,823391256
2010-05,175321223,837679452,19281602,1032282277
2010-06,876714081,736109589,29845615,1642669284
2010-07,1125862797,695079452,36016960,1856959209
2010-08,855804154,740432877,30914107,1627151137
2010-09,168100219,717452055,20027634,905579908
2010-10,31914253,748331507,17635059,797880818
2010-11,11065856,731129215,17392037,759587109
2010-12,3143,762423185,17336678,779763006
2011-01,4,769566985,17336461,786903450
2011-02,4,701540628,17336461,718877093
2011-03,4,783153425,17336461,800489890
2011-04,4,764794521,17336461,782130986
2011-05,4,791901370,17336461,809237835
2011-06,553429009,778438356,23836540,1355703905
2011-07,1469968477,745953425,39127698,2255049600
2011-08,572484697,656350685,24517551,1253352934
2011-09,12010076,667232877,17452654,696695606
2011-10,25,685057534,17336461,702394021
2011-11,679061,658575848,17350225,676605134
2011-12,24,676171633,17336461,693508118
2012-01,0,671723288,17336461,689059749
2012-02,0,624316740,17336461,641653202
2012-03,0,663315068,17336461,680651530
2012-04,0,637643836,17336461,654980297
2012-05,103134273,738139726,18505857,859779857
2012-06,1106981902,740465753,35119028,1882566684
2012-07,1537051118,686926027,49443503,2273420649
2012-08,766005510,658049315,31096841,1455151666
2012-09,34594551,648082192,17600778,700277520
2012-10,3477248,701619178,17359089,722455515
2012-11,0,705863014,17336461,723199475
2012-12,0,745239061,17336461,762575523
2013-01,188,757766462,17336461,775103111
2013-02,169,695397260,17336461,712733891
2013-03,188,781454795,17336461,798791444
2013-04,182,765698630,17336461,783035273
2013-05,188,740008219,17336461,757344868
2013-06,443464867,722547945,22199488,1188212300
2013-07,874014394,693295890,30832620,1598142905
2013-08,323981880,794704110,22398420,1141084409
2013-09,38692649,766356164,17772628,822821441
2013-10,159,758353425,17336479,775690063
2013-11,11,748109589,17336461,765446061
2013-12,0,787230137,17336461,804566598
2014-01,0,801923288,17336461,819259749
2014-02,0,737589041,17336461,754925503
2014-03,0,791052055,17336461,808388516
2014-04,0,754191781,17336461,771528242
2014-05,0,770413699,17336461,787750160
2014-06,516418132,777041096,24479982,1317939209
2014-07,962721162,714104110,32010872,1708836144
2014-08,704494172,695928767,28417501,1428840441
2014-09,41335020,712808219,17670087,771813326
2014-10,43,747227397,17336461,764563902
2014-11,33,736602740,17336461,753939234
2014-12,33,774915068,17336461,792251563
2015-01,58,784300000,17336461,801636520
2015-02,53,704717808,17336461,722054322
2015-03,58,782558904,17336461,799895424
2015-04,56,754536049,17336461,771872567
2015-05,1168776,776953425,17336461,795458662
2015-06,498230992,762059096,24372759,1284662846
2015-07,1192188048,797464384,38721573,2028374005
2015-08,299107388,769776712,21172628,1090056728
2015-09,28778011,747863014,17861261,794502286
2015-10,42,778567123,17336461,795903627
2015-11,68,755817163,17336461,773153692
2015-12,99,783450685,17336461,800787245
2016-01,1401,790032877,17336461,807370739
2016-02,1019,732222312,17336461,749559793
2016-03,1089,776104110,17336461,793441660
2016-04,20848831,754605427,17516071,792970330
2016-05,43429299,783238356,17748090,844415745
2016-06,560121560,750824855,25868430,1336814845
2016-07,1260339583,761071233,40190578,2061601394
2016-08,624976639,737375342,27069460,1389421442
2016-09,4157033,714780822,17409912,736347767
2016-10,1594478,748025753,17349549,766969780
2016-11,846,701712329,17336461,719049636
2016-12,874,709025205,17336461,726362541
2017-01,0,734436712,17336461,751773174
2017-02,0,684101370,17336461,701437831
2017-03,0,749669178,17336461,767005640
2017-04,0,728672234,17336461,746008696
2017-05,12425794,757843836,17533782,787803412
2017-06,361362431,736520548,21694310,1119577290
2017-07,733468574,767667580,26929049,1528065203
2017-08,410561342,753172603,22570231,1186304176
