# Official name: Sermeq Kujalleq, Foreign name: Sermeq Kujalleq, Mouginot/Mankoff name: Sermeq Kujalleq, Mouginot region: CW, Mankoff discharge gate (2021): 169, closest NSIDC/MEASUREs ID: 7, distance to closest NSIDC/MEASUREs ID: 2528m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,21851,656877491,28115969,685015311
2010-02,0,593296056,28115969,621412024
2010-03,0,656860274,28115969,684976243
2010-04,0,635671233,28115969,663787202
2010-05,41765604,686161644,30516504,758443752
2010-06,95584881,663041096,44916470,803542447
2010-07,99473508,671468493,56416850,827358851
2010-08,81902139,662890411,47654110,792446660
2010-09,23108633,614136986,32229692,669475311
2010-10,8707506,642761644,28472503,679941653
2010-11,4721854,630099763,28179988,663001605
2010-12,67215,659132337,28116149,687315701
2011-01,0,667399446,28115969,695515415
2011-02,0,610265693,28115969,638381662
2011-03,0,683104110,28115969,711220078
2011-04,0,669041096,28115969,697157065
2011-05,75864,660852055,28116424,689044343
2011-06,68957519,645287671,37875523,752120714
2011-07,135160049,612186301,62065530,809411880
2011-08,66718329,611846575,36681251,715246156
2011-09,5742925,568520548,28139353,602402826
2011-10,0,592227397,28115969,620343366
2011-11,184112,577896074,28118393,606198579
2011-12,0,601934929,28115969,630050897
2012-01,0,606835616,28115969,634951585
2012-02,0,572208221,28115969,600324189
2012-03,0,616178082,28115969,644294051
2012-04,420767,600986301,28142555,629549623
2012-05,21278607,643186301,29509208,693974117
2012-06,104122401,634356164,54334182,792812747
2012-07,118135369,620679452,73923917,812738737
2012-08,71168330,582969863,47099009,701237202
2012-09,12385615,575917808,28277989,616581413
2012-10,2341968,614309589,28139754,644791310
2012-11,0,610520548,28115987,638636535
2012-12,0,628969795,28115988,657085783
2013-01,0,624644242,28115969,652760211
2013-02,0,560383562,28115969,588499530
2013-03,35862,617536986,28115975,645688823
2013-04,15564,597369863,28116223,625501650
2013-05,207610,634268493,28116713,662592816
2013-06,88303491,638383562,34660214,761347267
2013-07,98395798,638600000,46264472,783260271
2013-08,44406665,637326027,35296045,717028737
2013-09,11356351,623013699,28366334,662736383
2013-10,218089,643865753,28116290,672200132
2013-11,0,621369863,28115969,649485832
2013-12,0,640298630,28115969,668414599
2014-01,0,638430137,28115969,666546106
2014-02,0,574958904,28115969,603074873
2014-03,0,692956164,28115969,721072133
2014-04,0,650958904,28115969,679074873
2014-05,973722,656605479,28120788,685699989
2014-06,85358514,663698630,36896251,785953395
2014-07,106546897,676394521,49256967,832198385
2014-08,77027730,642506849,44275456,763810036
2014-09,10245511,621739726,28542906,660528143
2014-10,2100,642931507,28115969,671049575
2014-11,494,622109589,28115979,650226062
2014-12,0,642846575,28115969,670962544
2015-01,0,636094521,28115969,664210489
2015-02,0,561956164,28115969,590072133
2015-03,0,622972603,28115969,651088571
2015-04,0,605041300,28115969,633157269
2015-05,2907291,629045205,28126644,660079140
2015-06,72511266,619950459,37015114,729476838
2015-07,100973059,649386301,58718268,809077628
2015-08,42039042,637495890,31905556,711440488
2015-09,9885413,626712329,28999725,665597466
2015-10,0,671298630,28115969,699414599
2015-11,0,637854056,28115969,665970025
2015-12,0,647517808,28115969,675633777
2016-01,0,651339726,28115969,679455695
2016-02,0,603916157,28115969,632032126
2016-03,0,640341096,28115969,668457065
2016-04,7805646,632443157,28295201,668544004
2016-05,19712454,666075342,28535384,714323180
2016-06,78497456,642833475,41803634,763134565
2016-07,121487133,659153425,62221514,842862072
2016-08,69846172,627686301,43836362,741368836
2016-09,3887356,615986301,28137798,648011456
2016-10,2510891,648621918,28131092,679263900
2016-11,70188,646356164,28116326,674542679
2016-12,0,652511781,28115969,680627750
2017-01,0,638803836,28115969,666919804
2017-02,0,573021918,28115969,601137887
2017-03,0,631444521,28115969,659560489
2017-04,0,607602664,28115969,635718633
2017-05,11102896,625888584,28445932,665437413
2017-06,65217871,624041096,32853153,722112119
2017-07,88166404,643242922,39586115,770995441
2017-08,53729251,627006849,34058416,714794516
2017-09,9233261,611589041,29188946,650011248
2017-10,570679,620934247,28119526,649624452
2017-11,18796,627205479,28116197,655340472
2017-12,0,640935616,28115969,669051585
2018-01,0,637512877,28115969,665628845
2018-02,0,574824658,28115969,602940626
2018-03,0,632196164,28115969,660312133
2018-04,0,598068493,28115969,626184462
2018-05,10971937,616008219,28158532,655138689
2018-06,72716716,620301370,33990518,727008603
2018-07,79744947,635684018,45016582,760445547
2018-08,68092745,624416438,39223487,731732671
2018-09,12040659,617123288,28425691,657589638
2018-10,116635,634969178,28115971,663201785
2018-11,35845,606876712,28116319,635028876
2018-12,0,627304110,28115969,655420078
2019-01,0,607005479,28115969,635121448
2019-02,0,535375342,28115969,563491311
2019-03,0,585631050,28115969,613747019
2019-04,14194649,564027397,28361186,606583232
2019-05,71477961,594987671,32117251,698582884
2019-06,90818717,579452055,46752688,717023460
2019-07,130472761,608576712,78395581,817445054
2019-08,60754890,589821005,44951513,695527408
2019-09,10492816,577931507,28417735,616842058
2019-10,3558917,614451142,28138491,646148550
2019-11,0,605753425,28115969,633869393
2019-12,0,632201826,28115969,660317795
2020-01,0,621132420,28115969,649248389
2020-02,0,578013699,28115969,606129667
2020-03,0,618273059,28115969,646389028
2020-04,5520693,593835616,28134734,627491044
2020-05,23780571,625831963,28457947,678070482
2020-06,65966369,633616438,36873760,736456568
2020-07,92111210,652500457,49977321,794588988
2020-08,51656168,641572603,31806093,725034863
2020-09,4689948,621205479,28205109,654100536
2020-10,8237765,637708219,28171212,674117196
2020-11,1755,617178082,28115969,645295806
2020-12,0,643610959,28115969,671726928
