# Official name: Sermeq Kujalleq, Foreign name: Jakobshavn Isbrae, Mouginot/Mankoff name: Jakobshavn Isbrae, Mouginot region: CW, Mankoff discharge gate (2021): 184, closest NSIDC/MEASUREs ID: 3, distance to closest NSIDC/MEASUREs ID: 7560m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,277102,4124835698,126178556,4251291356
2010-02,1381,3714593341,126178556,3840773277
2010-03,1529,4102956164,126178556,4229136249
2010-04,302,3961726027,126178556,4087904885
2010-05,615761734,4139136986,137765601,4892664322
2010-06,3044587198,4242575342,201451674,7488614215
2010-07,5005279839,4250227397,275764989,9531272226
2010-08,3130629176,3957213699,221671939,7309514813
2010-09,800076957,3654575342,148930757,4603583057
2010-10,113368614,3735712329,127625833,3976706776
2010-11,26890705,3566985774,126432609,3720309087
2010-12,4116587,3630655781,126178901,3760951269
2011-01,531,3577168047,126178556,3703347134
2011-02,480,3195906938,126178556,3322085973
2011-03,531,3525082192,126178556,3651261279
2011-04,514,3510410959,126178556,3636590029
2011-05,524173,3572643836,126178556,3699346565
2011-06,1972667056,3589890411,172383391,5734940857
2011-07,5818330741,3855465753,291328002,9965124497
2011-08,2004357467,4173109589,175187517,6352654573
2011-09,36456407,4203698630,126685894,4366840931
2011-10,472,4247084932,126178556,4373263959
2011-11,339594,4013687637,126186304,4140213535
2011-12,359,4051456178,126178556,4177635092
2012-01,119,3953391781,126178556,4079570455
2012-02,3533,3608426967,126178556,3734609055
2012-03,11344,3768071233,126178556,3894261132
2012-04,13006952,3553972603,126413702,3693393257
2012-05,372233162,4040531507,131316654,4544081323
2012-06,4579759570,4540356164,252751427,9372867162
2012-07,7368483843,4598276712,379871200,12346631756
2012-08,3144870063,4252945205,225005408,7622820676
2012-09,160150219,3850438356,127368147,4137956722
2012-10,22215349,4188991781,126364964,4337572094
2012-11,90,4230082192,126178571,4356260852
2012-12,93,4351145588,126178571,4477324252
2013-01,0,4305521402,126178556,4431699957
2013-02,0,3848043836,126178556,3974222391
2013-03,2076609,4228230137,126179575,4356486321
2013-04,821057,3871150685,126178589,3998150330
2013-05,1024330,3989912329,126179026,4117115684
2013-06,1602799815,3828575342,157689382,5589064539
2013-07,3118603944,4344671233,205610091,7668885269
2013-08,1424104812,4940805479,163454454,6528364745
2013-09,109683367,4737534247,127752416,4974970030
2013-10,3479400,4888912329,126193825,5018585554
2013-11,34,4516767123,126178556,4642945713
2013-12,35,4453043836,126178556,4579222426
2014-01,1002,4232052055,126178556,4358231612
2014-02,906,3623353425,126178556,3749532886
2014-03,1003,3997386301,126178556,4123565860
2014-04,19275,3597205479,126178556,3723403310
2014-05,10905590,4059641096,126183983,4196730669
2014-06,1716282060,4185698630,162436048,6064416738
2014-07,3475383713,4669109589,218895525,8363388827
2014-08,2910717247,4834895890,198261341,7943874479
2014-09,167641566,4069191781,128586051,4365419398
2014-10,152746,4672336986,126178556,4798668288
2014-11,0,4365369863,126178556,4491548419
2014-12,0,4352102740,126178556,4478281295
2015-01,451,4175275342,126178579,4301454372
2015-02,408,3643106849,126178577,3769285834
2015-03,451,3926383562,126178579,4052562592
2015-04,437,3675106694,126178579,3801285710
2015-05,20122391,3727091781,126196333,3873410505
2015-06,1699120503,3939855635,159681265,5798657403
2015-07,4902760871,4538060274,253482430,9694303574
2015-08,876723013,4767035616,141195262,5784953891
2015-09,195142701,4089698630,130096974,4414938306
2015-10,1456,4500180822,126178556,4626360834
2015-11,5007689,4256864521,126178556,4388050765
2015-12,932,4227338356,126178556,4353517844
2016-01,1545,4059471233,126178556,4185651334
2016-02,1446,3730474986,126178556,3856654987
2016-03,42254,3959973973,126178556,4086194782
2016-04,46183190,3884442334,126735171,4057360695
2016-05,217448042,4117649315,130022385,4465119742
2016-06,2664817467,4168475881,197736733,7031030081
2016-07,4755513745,4437416438,271375880,9464306063
2016-08,2725883332,4379323288,200509123,7305715742
2016-09,29686459,3837082192,126590166,3993358817
2016-10,5727470,3903774795,126189138,4035691402
2016-11,374399,3543780822,126178556,3670333776
2016-12,302,3565594521,126178556,3691773379
2017-01,0,3424981918,126178622,3551160540
2017-02,0,2984991781,126178556,3111170336
2017-03,0,3231155479,126178556,3357334035
2017-04,208827,3105095166,126178556,3231482549
2017-05,206237962,3193962557,129038927,3529239446
2017-06,1283806354,3073890411,148340576,4506037341
2017-07,2516098048,3456797260,182098699,6154994007
2017-08,1560952277,3605724658,157444469,5324121403
2017-09,206994046,3199561644,131297454,3537853143
2017-10,23117012,3606743836,126316309,3756177157
2017-11,4397470,3256397260,126178557,3386973288
2017-12,6,3286212329,126178556,3412390890
2018-01,993,3164802740,126178556,3290982288
2018-02,896,2785597260,126178556,2911776712
2018-03,993,3039562740,126178556,3165742288
2018-04,961,2806397260,126178556,2932576776
2018-05,72380718,2942706849,126654200,3141741768
2018-06,1448824631,2921917808,157873008,4528615447
2018-07,3353982122,3013426484,212862392,6580270998
2018-08,2086930347,3161617808,181769604,5430317760
2018-09,100952052,3235150685,127376224,3463478961
2018-10,152421,3229371918,126178556,3355702894
2018-11,15775,2971616438,126178556,3097810769
2018-12,993,2889391096,126178556,3015570644
2019-01,0,2860110959,126178556,2986289514
2019-02,0,2529972603,126178556,2656151158
2019-03,0,2818423744,126178556,2944602300
2019-04,75930883,2749917808,126741953,2952590644
2019-05,1101210684,3112017808,140066499,4353294991
2019-06,3932424873,3303232877,227555628,7463213378
2019-07,7514401112,3608102740,374349946,11496853797
2019-08,2685967455,3434516895,211193734,6331678084
2019-09,109863911,3475561644,127566981,3712992536
2019-10,25324943,3393834703,126267663,3545427310
2019-11,5783,3156328767,126178556,3282513106
2019-12,5935,3105577169,126178556,3231761659
2020-01,588,2942027397,126178556,3068206541
2020-02,476,2695132877,126178556,2821311908
2020-03,508,2809307763,126178556,2935486827
2020-04,33224636,2811287671,126334324,2970846631
2020-05,172866679,3130094064,128558199,3431518942
2020-06,1798840059,3439109589,169848687,5407798335
2020-07,4015454187,4040956164,242671499,8299081850
2020-08,997258654,4030424658,142447244,5170130556
2020-09,63145979,3655698630,126824630,3845669239
2020-10,50342076,3854531507,126435667,4031309250
2020-11,17951,3639123288,126178556,3765319794
2020-12,35796,3666153425,126178556,3792367776
