# Official name: Sermeq Kujalleq, Foreign name: Sermeq Kujalleq, Mouginot/Mankoff name: Ussing Braeer, Mouginot region: NW, Mankoff discharge gate (2021): 125, closest NSIDC/MEASUREs ID: 30, distance to closest NSIDC/MEASUREs ID: 5555m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,164480403,4334853,168815256
2010-02,0,150848504,4334853,155183357
2010-03,0,167909589,4334853,172244442
2010-04,0,155589041,4334853,159923894
2010-05,434380,151857534,4588245,156880159
2010-06,3526760,173260274,8482519,185269554
2010-07,3817965,158821918,10957788,173597671
2010-08,3299963,158991781,10222686,172514430
2010-09,155165,153945205,4478273,158578643
2010-10,7851,159246575,4337641,163592067
2010-11,159259,154248836,4369634,158777729
2010-12,125,159518446,4334905,163853477
2011-01,0,159639607,4334853,163974459
2011-02,0,144290377,4334853,148625230
2011-03,0,159841096,4334853,164175949
2011-04,0,154767123,4334853,159101976
2011-05,0,160095890,4334853,164430743
2011-06,2232230,161013699,6523943,169769871
2011-07,5593137,157378082,13389335,176360554
2011-08,2256119,160605479,7581444,170443042
2011-09,130306,155178082,4374926,159683314
2011-10,0,160095890,4334853,164430743
2011-11,0,154657696,4334853,158992549
2011-12,0,159530257,4334853,163865110
2012-01,0,159246575,4334853,163581428
2012-02,0,148722965,4334853,153057818
2012-03,0,158736986,4334853,163071839
2012-04,0,153369863,4334853,157704716
2012-05,229618,162728767,4536138,167494522
2012-06,3885729,153123288,10982804,167991821
2012-07,4697841,153810959,16435893,174944694
2012-08,2855604,154150685,9376517,166382806
2012-09,95722,153534247,4375827,158005796
2012-10,59413,163153425,4344423,167557261
2012-11,0,161589041,4334853,165923894
2012-12,0,166330970,4334853,170665823
2013-01,0,164859180,4334853,169194033
2013-02,0,147594521,4334853,151929373
2013-03,0,162389041,4334853,166723894
2013-04,0,156082192,4334853,160417045
2013-05,0,168928767,4334853,173263620
2013-06,2273654,171287671,6011981,179573306
2013-07,3738549,176402740,9357786,189499075
2013-08,1490879,148375342,5667407,155533628
2013-09,326459,144328767,4446251,149101477
2013-10,0,150073973,4334853,154408825
2013-11,0,146136986,4334853,150471839
2013-12,0,151942466,4334853,156277319
2014-01,0,152876712,4334853,157211565
2014-02,0,138926027,4334853,143260880
2014-03,0,154660274,4334853,158995127
2014-04,0,154109589,4334853,158444442
2014-05,0,150583562,4334853,154918414
2014-06,2728404,172438356,6316815,181483575
2014-07,3653758,158652055,12090195,174396008
2014-08,3247837,145402740,7513146,156163723
2014-09,72324,148109589,4374699,152556613
2014-10,7158,152197260,4335865,156540283
2014-11,0,149424658,4334853,153759510
2014-12,0,156571233,4334853,160906086
2015-01,0,155254795,4334853,159589647
2015-02,0,139117808,4334853,143452661
2015-03,0,157463014,4334853,161797867
2015-04,0,153967521,4334853,158302374
2015-05,11233,159756164,4350209,164117606
2015-06,2675643,151555860,6551254,160782756
2015-07,4716277,150286301,14943643,169946221
2015-08,1586206,140052055,5659114,147297375
2015-09,187563,152547945,4409253,157144761
2015-10,0,148672603,4334853,153007456
2015-11,0,144411978,4334853,148746831
2015-12,0,149819178,4334853,154154031
2016-01,0,149904110,4334853,154238962
2016-02,0,142196802,4334853,146531655
2016-03,0,154278082,4334853,158612935
2016-04,377,150087020,4339414,154426812
2016-05,5969,155424658,4336681,159767308
2016-06,2158138,149377522,5840981,157376641
2016-07,4623164,152027397,12648503,169299064
2016-08,2748195,147143836,7415012,157307042
2016-09,3159,149835616,4343612,154182388
2016-10,0,151381918,4334853,155716771
2016-11,0,152465753,4334853,156800606
2016-12,0,159042740,4334853,163377593
2017-01,0,158227397,4334853,162562250
2017-02,0,145484932,4334853,149819784
2017-03,0,156167808,4334853,160502661
2017-04,0,152457468,4334853,156792321
2017-05,2388,160577169,4351064,164930621
2017-06,1971568,161876712,5581389,169429669
2017-07,4532896,164399087,8867715,177799698
2017-08,2568214,150413699,6791440,159773353
2017-09,89416,155178082,4382455,159649953
2017-10,314,154915068,4334853,159250236
2017-11,1017,150739726,4334853,155075596
2017-12,0,160180822,4334853,164515675
2018-01,0,162304110,4334853,166638962
2018-02,0,146808219,4334853,151143072
2018-03,0,164359452,4334853,168694305
2018-04,0,165739726,4334853,170074579
2018-05,27373,166686575,4353610,171067559
2018-06,2164842,164465753,5603391,172233986
2018-07,2674998,165276712,6084842,174036553
2018-08,2613845,151708904,8376952,162699701
2018-09,144875,145698630,4387618,150231123
2018-10,0,151411644,4334853,155746497
2018-11,0,151972603,4334853,156307456
2018-12,0,162346575,4334853,166681428
2019-01,0,163832877,4334853,168167730
2019-02,0,144526027,4334853,148860880
2019-03,0,163691324,4334853,168026177
2019-04,52211,159150685,4349883,163552779
2019-05,1825716,164639726,4900630,171366072
2019-06,3394688,155671233,7292234,166358156
2019-07,5852271,145530137,14870404,166252812
2019-08,2732681,139768950,8324779,150826410
2019-09,467035,138082192,4499065,143048292
2019-10,33832,148007306,4341367,152382505
2019-11,0,144739726,4334853,149074579
2019-12,0,151914155,4334853,156249008
2020-01,0,155905936,4334853,160240789
2020-02,0,142179452,4334853,146514305
2020-03,0,155169863,4334853,159504716
2020-04,0,154684932,4334853,159019784
2020-05,4594,161313242,4335189,165653025
2020-06,1666980,157602740,5671149,164940869
2020-07,3655102,152423744,9748695,165827541
2020-08,2155477,150116438,6729182,159001098
2020-09,18705,142082192,4344770,146445667
2020-10,149785,155127397,4362027,159639208
2020-11,0,153369863,4334853,157704716
2020-12,0,154278082,4334853,158612935
