# Official name: Sermeq Silarleq, Foreign name: Sermeq Silarleq, Mouginot/Mankoff name: Sermeq Silarleq, Mouginot region: CW, Mankoff discharge gate (2021): 155, closest NSIDC/MEASUREs ID: 13, distance to closest NSIDC/MEASUREs ID: 6710m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,285012751,10748068,295760819
2010-02,0,257657610,10748068,268405678
2010-03,0,285454795,10748068,296202863
2010-04,0,276410959,10748068,287159027
2010-05,131071341,295136986,11578386,437786712
2010-06,565886871,267863014,17711211,851461095
2010-07,834457759,272630137,23769658,1130857554
2010-08,609657493,268978082,19470128,898105703
2010-09,114666405,269013699,12441059,396121163
2010-10,18967032,288767123,10885911,318620066
2010-11,7890534,290249494,10756456,308896484
2010-12,1979,310729458,10748079,321479516
2011-01,1945,321895397,10748068,332645410
2011-02,1756,300823895,10748068,311573720
2011-03,1945,343123288,10748068,353873301
2011-04,1882,342821918,10748068,353571868
2011-05,2897036,349832877,10748068,363477981
2011-06,369874375,360082192,14176960,744133527
2011-07,1058783795,360024658,27218392,1446026845
2011-08,370226385,324778082,14973763,709978230
2011-09,9688103,368794521,10749532,389232155
2011-10,611,379473973,10748068,390222652
2011-11,126866,365601674,10748068,376476608
2011-12,538,376149279,10748068,386897885
2012-01,478,374463014,10748071,385211563
2012-02,448,348746073,10748071,359494592
2012-03,478,371235616,10748071,381984166
2012-04,238614,357616438,10748068,368603121
2012-05,78355560,367923288,11262852,457541700
2012-06,901397475,366821918,23697534,1291916926
2012-07,1317348798,364695890,37406315,1719451003
2012-08,616899033,375142466,21586235,1013627734
2012-09,18347591,363863014,10796034,393006639
2012-10,2531384,376926027,10748248,390205660
2012-11,13838,365506849,10748075,376268763
2012-12,1508,376319609,10748068,387069185
2013-01,193,373195110,10748068,383943371
2013-02,174,334312329,10748068,345060571
2013-03,393170,368008219,10748068,379149457
2013-04,12962,340684932,10748068,351445961
2013-05,256750,353145205,10748068,364150024
2013-06,290403716,341506849,13336690,645247256
2013-07,600037742,359854795,19680101,979572638
2013-08,235141037,347115068,14511090,596767195
2013-09,22991097,384164384,10943623,418099103
2013-10,259,399602740,10748068,410351067
2013-11,97,381452055,10748068,392200221
2013-12,89,388986301,10748068,399734459
2014-01,3,383465753,10748068,394213824
2014-02,2,341216438,10748068,351964509
2014-03,3,372679452,10748068,383427523
2014-04,2,340027397,10748068,350775468
2014-05,900700,334545205,10748068,346193974
2014-06,351181361,348575342,14817098,714573801
2014-07,717567598,349832877,21845944,1089246418
2014-08,502159825,361213699,18875772,882249296
2014-09,20988573,381410959,10908565,413308097
2014-10,1174,365120548,10748068,375869791
2014-11,7421,388356164,10748068,399111654
2014-12,191,436760274,10748068,447508533
2015-01,711,453321918,10748068,464070697
2015-02,642,414860274,10748068,425608985
2015-03,711,454086301,10748068,464835081
2015-04,688,424738782,10748068,435487538
2015-05,14767601,425464384,10748068,450980053
2015-06,371501616,407147901,15364261,794013778
2015-07,1010912072,418797260,28351354,1458060686
2015-08,188329136,430263014,12965079,631557228
2015-09,13640225,382520548,10947417,407108189
2015-10,386,438926027,10748071,449674484
2015-11,899,419427574,10748068,430176542
2015-12,1473,420156164,10748068,430905706
2016-01,6086,381300000,10748068,392054155
2016-02,5402,351594839,10748068,362348309
2016-03,5774,373019178,10748068,383773021
2016-04,22855679,357381614,10835970,391073264
2016-05,45020161,367371233,10880984,423272378
2016-06,363580231,357899557,15509601,736989390
2016-07,1112791426,372169863,29992655,1514953943
2016-08,425739610,358623288,16429966,800792863
2016-09,3162988,375123288,10753199,389039474
2016-10,2407849,387848219,10748068,401004136
2016-11,6816,404465753,10748068,415220637
2016-12,3553,407620274,10748068,418371895
2017-01,1261,401216438,10748068,411965768
2017-02,1139,356290411,10748068,367039618
2017-03,1261,388285616,10748068,399034946
2017-04,1221,370648096,10748068,381397385
2017-05,35926541,378794521,10931842,425652904
2017-06,217442524,363287671,13190325,593920520
2017-07,483313217,380436530,16405846,880155593
2017-08,240688491,394591781,13538205,648818477
2017-09,27085040,393616438,11090447,431791925
2017-10,209909,420665753,10748068,431623731
2017-11,136,419178082,10748068,429926286
2017-12,140,430156849,10748068,440905058
2018-01,0,416164384,10748068,426912452
2018-02,0,371613699,10748068,382361767
2018-03,0,403577534,10748068,414325603
2018-04,0,363616438,10748068,374364507
2018-05,19644073,390056438,10748068,420448579
2018-06,248262869,382191781,13461715,643916365
2018-07,560172868,404075799,18358979,982607646
2018-08,402167685,403084932,16064481,821317098
2018-09,26551255,384630137,10906100,422087492
2018-10,19062,399305479,10748068,410072610
2018-11,0,387232877,10748068,397980945
2018-12,0,390897260,10748068,401645329
2019-01,0,384952055,10748068,395700123
2019-02,0,340104110,10748068,350852178
2019-03,0,358269406,10748068,369017475
2019-04,27793630,359890411,10851470,398535510
2019-05,226896757,372934247,12639704,612470708
2019-06,553293087,366739726,18156970,938189783
2019-07,1634579729,381130137,36770248,2052480115
2019-08,558877677,355863014,18287832,933028523
2019-09,26675099,357780822,10933387,395389308
2019-10,5214232,372622831,10758200,388595263
2019-11,2893,357821918,10748068,368572879
2019-12,2977,381682192,10748068,392433237
2020-01,20,385758904,10748068,396506992
2020-02,0,354594521,10748068,365342589
2020-03,0,360024658,10748068,370772726
2020-04,11754225,361438356,10748068,383940649
2020-05,38347968,377237443,10772869,426358280
2020-06,280286819,363534247,13921551,657742617
2020-07,672347835,378681279,20804522,1071833636
2020-08,220178058,370980822,12984012,604142892
2020-09,4815013,368931507,10773615,384520135
2020-10,14079326,384442466,10769175,409290967
2020-11,0,373726027,10748068,384474096
2020-12,0,377563014,10748068,388311082
