# Official name: Sermeq, Foreign name: Upernavik Isstroem, Mouginot/Mankoff name: Upernavik Isstroem S, Mouginot region: NW, Mankoff discharge gate (2021): 136, closest NSIDC/MEASUREs ID: 21, distance to closest NSIDC/MEASUREs ID: 6107m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,237274701,6495023,243769724
2010-02,0,218249812,6495023,224744835
2010-03,0,245282192,6495023,251777215
2010-04,0,241232877,6495023,247727900
2010-05,61654839,242904110,7192212,311751161
2010-06,495770040,269424658,15122435,780317132
2010-07,654381385,240865753,18815304,914062442
2010-08,483959664,250802740,16919765,751682168
2010-09,24925025,242547945,6868139,274341109
2010-10,2288841,250463014,6537240,259289095
2010-11,4267774,242226260,6541939,253035974
2010-12,4293,250150246,6495088,256649626
2011-01,0,249997772,6495023,256492795
2011-02,0,225665068,6495023,232160091
2011-03,0,249698630,6495023,256193653
2011-04,0,241479452,6495023,247974475
2011-05,0,249358904,6499056,255857960
2011-06,297486875,241150685,11844458,550482018
2011-07,913272154,249019178,25708024,1187999356
2011-08,325123034,212668493,12501920,550293447
2011-09,4291051,206136986,6535887,216963924
2011-10,0,213432877,6495023,219927900
2011-11,0,206916309,6495023,213411332
2011-12,0,214158569,6495023,220653592
2012-01,0,214536986,6495023,221032010
2012-02,0,201100863,6495023,207595886
2012-03,0,215386301,6495023,221881325
2012-04,0,208849315,6495023,215344338
2012-05,21729879,223709589,6907534,252347003
2012-06,651145618,224465753,20257506,895868878
2012-07,998847796,220057534,28446218,1247351548
2012-08,476908022,207742466,16012235,700662723
2012-09,7722093,197260274,6599910,211582277
2012-10,1744728,221161644,6509878,229416250
2012-11,0,228493151,6495023,234988174
2012-12,0,232918867,6495023,239413891
2013-01,1681106,225611821,6495023,233787950
2013-02,892338,197227397,6495023,204614759
2013-03,13014,213178082,6495023,219686120
2013-04,0,200794521,6495023,207289544
2013-05,0,208931507,6495023,215426530
2013-06,227957302,249123288,9662587,486743176
2013-07,566499440,251227397,16213639,833940476
2013-08,175433662,244857534,9361418,429652613
2013-09,16501617,230794521,6642187,253938324
2013-10,0,241375342,6495023,247870366
2013-11,0,236465753,6495023,242960777
2013-12,0,247235616,6495023,253730640
2014-01,0,250208219,6495023,256703242
2014-02,0,228679452,6495023,235174475
2014-03,0,255898630,6495023,262393653
2014-04,0,237534247,6495023,244029270
2014-05,0,255473973,6497793,261971766
2014-06,279120828,258493151,10958869,548572847
2014-07,705077748,258446575,21897968,985422291
2014-08,384279213,231947945,13287525,629514684
2014-09,5594027,222739726,6549325,234883078
2014-10,53929,214621918,6495084,221170932
2014-11,0,209589041,6495023,216084064
2014-12,0,218528767,6495023,225023790
2015-01,0,216023288,6495023,222518311
2015-02,0,207852055,6495023,214347078
2015-03,0,234878082,6495023,241373105
2015-04,0,234631790,6495023,241126813
2015-05,1835350,247065753,6514435,255415538
2015-06,305810934,239189045,12410679,557410658
2015-07,901449895,247193151,27739583,1176382629
2015-08,129026626,223879452,8552688,361458767
2015-09,4215056,231945205,6533068,242693330
2015-10,0,222817808,6495023,229312831
2015-11,0,225377758,6495023,231872781
2015-12,0,242479452,6495023,248974475
2016-01,0,224261644,6495023,230756667
2016-02,0,213589383,6495023,220084406
2016-03,0,233391781,6495023,239886804
2016-04,5496577,228222980,6581413,240300970
2016-05,16798716,237595890,6698531,261093137
2016-06,239548263,231721089,9988845,481258197
2016-07,803282693,240398630,24619277,1068300600
2016-08,384376493,233349315,12980884,630706693
2016-09,1726468,223643836,6520230,231890535
2016-10,60041,229416986,6496396,235973423
2016-11,0,225904110,6495023,232399133
2016-12,0,236466301,6495023,242961325
2017-01,0,240101370,6495023,246596393
2017-02,0,213816438,6495023,220311462
2017-03,0,237171233,6495023,243666256
2017-04,0,230074921,6495023,236569945
2017-05,1636878,238912329,6570538,247119745
2017-06,130181960,248342466,8187682,386712107
2017-07,478034171,247320548,14563504,739918223
2017-08,265325091,223624658,10745222,499694970
2017-09,11791986,227589041,6683355,246064381
2017-10,62766,213687671,6497804,220248241
2017-11,70,221876712,6495602,228372384
2017-12,0,235026712,6495023,241521736
2018-01,0,230436164,6495023,236931188
2018-02,0,210326027,6495023,216821051
2018-03,0,227633425,6495023,234128448
2018-04,0,220767123,6495023,227262147
2018-05,1965728,230843836,6535567,239345130
2018-06,186049993,226602740,9444788,422097521
2018-07,301586662,242564384,11655364,555806409
2018-08,349158998,239167123,13358723,601684844
2018-09,8049136,225095890,6594016,239739042
2018-10,0,238445205,6495023,244940229
2018-11,0,221123288,6495023,227618311
2018-12,0,227977397,6495023,234472420
2019-01,0,237850685,6495023,244345708
2019-02,0,213873973,6495023,220368996
2019-03,0,235090411,6495023,241585434
2019-04,2788729,229945205,6520583,239254517
2019-05,156702573,234071233,8415876,399189682
2019-06,409111963,226410959,13348488,648871409
2019-07,979219996,220015068,28484147,1227719212
2019-08,398120205,194663014,13920727,606703945
2019-09,18372590,185835616,6722543,210930750
2019-10,2256301,196050228,6508972,204815502
2019-11,0,195369863,6495023,201864886
2019-12,0,208110502,6495023,214605526
2020-01,0,216009132,6495023,222504156
2020-02,0,202920548,6495023,209415571
2020-03,0,222350685,6495023,228845708
2020-04,814741,216739726,6516737,224071204
2020-05,11063141,218189041,6642986,235895167
2020-06,173837372,216287671,9783190,399908233
2020-07,552532912,227871233,17468389,797872534
2020-08,206132198,210460274,10470752,427063224
2020-09,1222636,195835616,6519160,203577413
2020-10,3672767,209441096,6536767,219650629
2020-11,0,204191781,6495023,210686804
2020-12,0,220184932,6495023,226679955
