# Official name: Sermersuaq, Foreign name: Humboldt Gletsjer, Mouginot/Mankoff name: Humboldt Gletscher, Mouginot region: NO, Mankoff discharge gate (2021): 30, closest NSIDC/MEASUREs ID: 92, distance to closest NSIDC/MEASUREs ID: 33104m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,17618005,2309538,19927543
2010-02,0,15900490,2309538,18210029
2010-03,0,17580822,2309538,19890360
2010-04,0,16931507,2309538,19241045
2010-05,623678,17495890,2317496,20437065
2010-06,108882867,16931507,3198680,129013054
2010-07,302909247,17410959,6330729,326650935
2010-08,72276286,17410959,3320325,93007570
2010-09,41054,16849315,2309666,19200035
2010-10,0,17326027,2309538,19635566
2010-11,0,16742602,2309538,19052141
2010-12,0,17287779,2309538,19597318
2011-01,0,17278279,2309538,19587817
2011-02,0,15593641,2309538,17903179
2011-03,0,17241096,2309538,19550634
2011-04,0,16602740,2309538,18912278
2011-05,0,17156164,2309538,19465703
2011-06,132078543,16602740,3607429,152288712
2011-07,451199649,17071233,9550055,477820937
2011-08,154015995,17071233,4784585,175871813
2011-09,37,16520548,2309538,18830124
2011-10,0,16986301,2309538,19295840
2011-11,0,16396556,2309538,18706095
2011-12,0,16913249,2309538,19222788
2012-01,0,16901370,2309538,19210908
2012-02,0,15810959,2309538,18120497
2012-03,0,16901370,2309538,19210908
2012-04,0,16273973,2309538,18583511
2012-05,4610120,16816438,2336764,23763322
2012-06,228975968,16191781,5482055,250649804
2012-07,665397282,16731507,15244038,697372827
2012-08,232884661,16731507,6071882,255688050
2012-09,0,16109589,2309538,18419128
2012-10,0,16646575,2309538,18956114
2012-11,0,16109589,2309538,18419128
2012-12,0,16699754,2309538,19009293
2013-01,0,16831184,2309538,19140723
2013-02,0,15342466,2309538,17652004
2013-03,0,17156164,2309538,19465703
2013-04,0,16684932,2309538,18994470
2013-05,0,17410959,2309538,19720497
2013-06,56154049,16931507,2625269,75710825
2013-07,191606247,17665753,4982143,214254143
2013-08,108745560,17750685,4042723,130538968
2013-09,0,17342466,2309539,19652004
2013-10,0,18005479,2309538,20315018
2013-11,0,17589041,2309538,19898580
2013-12,0,18260274,2309538,20569812
2014-01,0,18345205,2309538,20654744
2014-02,0,16723288,2309538,19032826
2014-03,0,18600000,2309538,20909538
2014-04,0,18164384,2309538,20473922
2014-05,0,18854795,2309538,21164333
2014-06,99046155,18410959,3577483,121034596
2014-07,340665522,19109589,8369702,368144813
2014-08,156039651,19279452,4606237,179925341
2014-09,0,18616438,2309538,20925977
2014-10,0,18939726,2309538,21249265
2014-11,0,18082192,2309538,20391730
2014-12,0,18430137,2309538,20739675
2015-01,0,18175342,2309538,20484881
2015-02,0,17643836,2309538,19953374
2015-03,0,19194521,2309538,21504059
2015-04,0,18060984,2309538,20370522
2015-05,0,18345205,2309538,20654744
2015-06,137818333,18813258,4498512,161130103
2015-07,744987636,20553425,16870975,782412036
2015-08,90726603,20638356,3743123,115108082
2015-09,14084,18575342,2310420,20899847
2015-10,0,19364384,2309538,21673922
2015-11,0,18697620,2309538,21007158
2015-12,0,19279452,2309538,21588991
2016-01,0,19704110,2309538,22013648
2016-02,0,18391165,2309538,20700704
2016-03,0,19619178,2309538,21928717
2016-04,0,19033668,2309538,21343207
2016-05,0,19789041,2309538,22098580
2016-06,109867450,19733486,3404924,133005859
2016-07,519004166,21063014,11316776,551383955
2016-08,145758263,21317808,4111699,171187770
2016-09,912,19726027,2309539,22036478
2016-10,0,20519452,2309538,22828991
2016-11,0,19068493,2309538,21378032
2016-12,0,20196712,2309538,22506251
2017-01,0,20383562,2309538,22693100
2017-02,0,18852055,2309538,21161593
2017-03,0,20723288,2309538,23032826
2017-04,0,20141983,2309538,22451521
2017-05,0,21034703,2309538,23344242
2017-06,43072112,21041096,2661934,66775142
2017-07,229508656,21968950,4969842,256447448
2017-08,124775396,22421918,4001925,151199238
2017-09,0,21205479,2309538,23515018
2017-10,0,21317808,2309538,23627347
2017-11,0,20712329,2309538,23021867
2017-12,0,21827397,2309538,24136936
2018-01,0,21759452,2309538,24068991
2018-02,0,19926027,2309538,22235566
2018-03,0,21861370,2309538,24170908
2018-04,0,21863014,2309538,24172552
2018-05,0,22370959,2309538,24680497
2018-06,62569550,21205479,2791121,86566150
2018-07,117153315,23271233,3529415,143953963
2018-08,107753466,24141781,4066554,135961801
2018-09,0,22630137,2309538,24939675
2018-10,0,23143836,2309538,25453374
2018-11,0,22465753,2309538,24775292
2018-12,0,23419863,2309538,25729401
2019-01,0,24332877,2309538,26642415
2019-02,0,21095890,2309538,23405429
2019-03,0,23214612,2309538,25524150
2019-04,0,23287671,2309538,25597210
2019-05,0,23143836,2309630,25453465
2019-06,172638698,22301370,5265453,200205521
2019-07,514210975,23738356,11852920,549802252
2019-08,271267121,24262100,8529216,304058438
2019-09,1779117,20178082,2326716,24283914
2019-10,1,21289498,2309538,23599037
2019-11,0,20671233,2309538,22980771
2019-12,0,21940639,2309538,24250178
2020-01,0,21742466,2309538,24052004
2020-02,0,19664384,2309538,21973922
2020-03,0,22280365,2309538,24589904
2020-04,0,21287671,2309538,23597210
2020-05,0,22620091,2309538,24929630
2020-06,136478316,22684932,4390972,163554219
2020-07,560638444,23639269,14062492,598340205
2020-08,137701392,23653425,4642023,165996840
2020-09,0,21315068,2309538,23624607
2020-10,0,22761644,2309538,25071182
2020-11,0,22164384,2309538,24473922
2020-12,0,22634247,2309538,24943785
