# Official name: Sermersuaq, Foreign name: Steenstrup Gletsjer, Mouginot/Mankoff name: Steenstrup-Dietrichson, Mouginot region: NW, Mankoff discharge gate (2021): 94, closest NSIDC/MEASUREs ID: 44, distance to closest NSIDC/MEASUREs ID: 4812m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,371,302743430,4885877,307629678
2010-02,335,272607132,4885877,277493344
2010-03,371,300997260,4885877,305883508
2010-04,359,290465753,4885877,295351989
2010-05,16969504,278575342,4932529,300477375
2010-06,460431940,312246575,8955484,781634000
2010-07,613195075,322230137,10526067,945951279
2010-08,603782508,319342466,10404080,933529054
2010-09,9279838,258493151,4935187,272708176
2010-10,489,272035616,4885877,276921982
2010-11,3783268,268206835,4892083,276882186
2010-12,8308,282109002,4885915,287003225
2011-01,108,287234625,4885877,292120610
2011-02,98,264049585,4885877,268935559
2011-03,108,296920548,4885877,301806533
2011-04,105,292191781,4885877,297077762
2011-05,108,306857534,4885877,311743519
2011-06,259634794,325397260,6835631,591867685
2011-07,1075331542,312208219,14100139,1401639900
2011-08,362672505,280613699,8091043,651377246
2011-09,2036871,266794521,4894553,273725944
2011-10,121,284180822,4885877,289066819
2011-11,109,283533605,4885877,288419591
2011-12,113,301518973,4885877,306404962
2012-01,0,310339726,4885877,315225603
2012-02,0,298577685,4885877,303463561
2012-03,0,327410959,4885877,332296835
2012-04,0,325315068,4885877,330200945
2012-05,25922695,329279452,5037211,360239358
2012-06,573152201,345205479,9815314,928172995
2012-07,1237510936,344057534,16968760,1598537231
2012-08,627257761,272715068,10488379,910461209
2012-09,2664889,241890411,4895949,249451250
2012-10,247694,271610959,4886696,276745349
2012-11,271,281013699,4885877,285899846
2012-12,280,292469874,4885877,297356030
2013-01,3899,293529464,4885877,298419240
2013-02,3522,266038356,4885877,270927755
2013-03,1005,295731507,4885877,300618388
2013-04,6,287424658,4885877,292310540
2013-05,6,291654795,4885877,296540677
2013-06,183915587,294821918,6263362,485000867
2013-07,543237161,324353425,10129505,877720090
2013-08,162086381,268978082,6038099,437102563
2013-09,2791327,288739726,4896412,296427466
2013-10,3326,299128767,4885877,304017969
2013-11,3015,290136986,4885877,295025878
2013-12,2372,300572603,4885877,305460851
2014-01,0,301336986,4885877,306222863
2014-02,0,272865753,4885877,277751630
2014-03,0,302780822,4885877,307666698
2014-04,0,286520548,4885877,291406424
2014-05,0,297430137,4885877,302316014
2014-06,238821002,309205479,6707145,554733627
2014-07,880820757,310339726,13255348,1204415830
2014-08,345761264,289531507,7412533,642705304
2014-09,926708,292397260,4890047,298214015
2014-10,406032,292589041,4886102,297881175
2014-11,13,283397260,4885877,288283150
2014-12,0,293013699,4885877,297899575
2015-01,0,293226027,4885877,298111904
2015-02,0,264120548,4885877,269006424
2015-03,0,296665753,4885877,301551630
2015-04,0,286054904,4885877,290940780
2015-05,44606,292886301,4886125,297817032
2015-06,267896035,271040798,6859727,545796560
2015-07,1323282683,260230137,15491306,1599004126
2015-08,144958558,238700000,5807220,389465779
2015-09,3732409,256684932,4896417,265313757
2015-10,0,241884932,4885877,246770808
2015-11,0,245450908,4885877,250336784
2015-12,0,264816438,4885877,269702315
2016-01,0,261334247,4885877,266220123
2016-02,0,245865276,4885877,250751153
2016-03,0,265580822,4885877,270466698
2016-04,0,261045432,4885877,265931309
2016-05,0,274668493,4885877,279554370
2016-06,98675125,271887278,5909790,376472193
2016-07,964248692,284647945,13711624,1262608261
2016-08,367592922,255516438,7521502,630630862
2016-09,459370,252369863,4889193,257718426
2016-10,4,269946301,4885877,274832182
2016-11,0,266465753,4885877,271351630
2016-12,0,277895890,4885877,282781767
2017-01,10,262812055,4885877,267697941
2017-02,0,215254795,4885877,220140671
2017-03,0,245006164,4885877,249892041
2017-04,0,244502303,4885877,249388180
2017-05,0,259210959,4885877,264096835
2017-06,109956945,255452055,5734449,371143449
2017-07,571681857,275715982,9189223,856587062
2017-08,372990846,265963014,7252532,646206391
2017-09,3367561,266876712,4896201,275140474
2017-10,128160,271398630,4886318,276413108
2017-11,0,275506849,4885877,280392726
2017-12,0,280613699,4885877,285499575
2018-01,0,278150685,4885877,283036561
2018-02,0,250734247,4885877,255620123
2018-03,0,278796164,4885877,283682041
2018-04,0,269383562,4885877,274269438
2018-05,90450,281785753,4886714,286762918
2018-06,129872492,273287671,5679780,408839943
2018-07,211285086,285596347,6491026,503372458
2018-08,454806973,273224658,8711983,736743614
2018-09,5716063,260821918,4901108,271439089
2018-10,0,272205479,4885877,277091356
2018-11,0,268821918,4885877,273707794
2018-12,0,276579452,4885877,281465329
2019-01,0,279000000,4885877,283885877
2019-02,0,250043836,4885877,254929712
2019-03,0,276084018,4885877,280969895
2019-04,111314,263780822,4887101,268779237
2019-05,44722700,275560274,5187395,325470369
2019-06,344468493,266931507,7455237,618855237
2019-07,1189096364,253265753,15038823,1457400941
2019-08,536231770,238997260,9347281,784576311
2019-09,22447188,229726027,5015450,257188666
2019-10,80604,241573516,4886413,246540532
2019-11,0,237986301,4885877,242872178
2019-12,0,248254795,4885877,253140671
2020-01,0,252869406,4885877,257755283
2020-02,0,236687671,4885877,241573548
2020-03,0,255049315,4885877,259935192
2020-04,30,251301370,4885877,256187277
2020-05,537155,243894977,4885877,249318009
2020-06,182244488,228328767,6034052,416607307
2020-07,716193547,244885845,10681811,971761203
2020-08,317464638,242649315,7169309,567283262
2020-09,852370,231452055,4889971,237194396
2020-10,2850580,252331507,4894432,260076519
2020-11,0,245287671,4885877,250173548
2020-12,0,249571233,4885877,254457109
