# Official name: Sermiligaarsuup Sermia, Foreign name: Sermiligaarsuk Brae, Mouginot/Mankoff name: Sermiligaarssuk Brae, Mouginot region: SW, Mankoff discharge gate (2021): 327, closest NSIDC/MEASUREs ID: 204, distance to closest NSIDC/MEASUREs ID: 4254m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,3926739,51533142,5127220,60587101
2010-02,204464,54488964,5141310,59834738
2010-03,7087,63528767,5125165,68661019
2010-04,2845084,55479452,5155276,63479812
2010-05,536483712,69643836,12403837,618531385
2010-06,850609263,45452055,22204444,918265762
2010-07,1884290901,24969863,54593276,1963854040
2010-08,2107358413,27857534,65358697,2200574644
2010-09,363748635,46849315,13158514,423756464
2010-10,64338259,19449315,5351339,89138912
2010-11,33711480,22418931,5223777,61354188
2010-12,3327200,31632758,5121800,40081758
2011-01,263999,41971488,5122932,47358419
2011-02,1694,45547868,5122201,50671763
2011-03,405658,53506849,5121322,59033830
2011-04,2831,49068493,5121321,54192644
2011-05,357330,50279452,5121322,55758105
2011-06,657601186,48246575,19146671,724994433
2011-07,1566267459,49430137,46078378,1661775974
2011-08,1098288563,18939726,33742244,1150970533
2011-09,81110920,21616438,5658691,108386048
2011-10,186336,27093151,5122283,32401769
2011-11,80634,30259111,5121597,35461342
2011-12,1869,34978871,5122629,40103369
2012-01,18077,38813699,5121281,43953056
2012-02,704101,39641071,5121281,45466452
2012-03,8837054,46457534,5121281,60415869
2012-04,84659823,52767123,5507869,142934815
2012-05,266134731,58687671,8224347,333046749
2012-06,1673124226,53013699,39971995,1766109920
2012-07,4373438076,21997260,124928522,4520363859
2012-08,1736462546,21402740,53384201,1811249486
2012-09,161478013,25479452,5970541,192928006
2012-10,78822327,31424658,5694346,115941330
2012-11,19056014,34684932,5299885,59040831
2012-12,32527,36172314,5121696,41326537
2013-01,3058,36302817,5122493,41428368
2013-02,3873,33063014,5122202,38189089
2013-03,3682,38219178,5122142,43345002
2013-04,344517,43643836,5122143,49110495
2013-05,7354344,48835616,5121995,61311955
2013-06,364147725,53671233,9877971,427696929
2013-07,903164838,53591781,26986685,983743303
2013-08,843160405,39578082,25536207,908274694
2013-09,120017527,27287671,6332329,153637527
2013-10,9428962,33887671,5176124,48492758
2013-11,24910,34602740,5129532,39757182
2013-12,26911,38643836,5141701,43812448
2014-01,45626,45353425,5122933,50521984
2014-02,38188,42345205,5122593,47505987
2014-03,34978,46202740,5122806,51360523
2014-04,1370365,46109589,5122507,52602461
2014-05,57472500,50619178,5638452,113730129
2014-06,667854482,48164384,19610854,735629720
2014-07,1477369604,48495890,42682162,1568547657
2014-08,1325141805,30745205,41928741,1397815751
2014-09,200606443,35589041,7309073,243504557
2014-10,4752428,32868493,5122448,42743369
2014-11,18351,35589041,5133853,40741245
2014-12,17548,37242466,5122448,42382462
2015-01,15314,41956164,5121281,47092759
2015-02,1450413,37934247,5121281,44505941
2015-03,8527,49472603,5121281,54602410
2015-04,8252,50687974,5121281,55817507
2015-05,114409,54271233,5121281,59506923
2015-06,300249092,54848779,9854316,364952187
2015-07,1070543250,57965753,31763524,1160272528
2015-08,753081251,55672603,18948172,827702026
2015-09,427249280,48904110,13418059,489571448
2015-10,14078072,31000000,5164679,50242751
2015-11,3929,34108043,5121281,39233253
2015-12,4035,39323288,5121281,44448604
2016-01,16061,39365753,5121281,44503095
2016-02,15206,39661549,5121281,44798035
2016-03,16331,46542466,5121281,51680077
2016-04,81898798,48232485,5387773,135519056
2016-05,224363506,51553425,7219619,283136550
2016-06,1152239814,38900652,32085562,1223226028
2016-07,1559952949,29386301,49681665,1639020915
2016-08,1659933643,31636986,49998300,1741568929
2016-09,73573833,38136986,5807141,117517960
2016-10,18137084,36605479,5173507,59916071
2016-11,20425648,38589041,5125654,64140343
2016-12,22449,41803288,5121686,46947422
2017-01,8247,45302466,5140798,50451511
2017-02,7449,43572603,5121381,48701433
2017-03,25153,47752740,5121330,52899223
2017-04,7947,50665076,5121329,55794351
2017-05,170330221,56734247,7113814,234178281
2017-06,450784371,51410959,12873241,515068571
2017-07,953105262,54129680,27037149,1034272092
2017-08,1351527001,41616438,41127235,1434270674
2017-09,499045577,37643836,23416864,560106276
2017-10,24241774,29471233,5405782,59118789
2017-11,8123353,31397260,5122706,44643320
2017-12,20760,34184932,5138334,39344026
2018-01,7193,37403836,5121366,42532395
2018-02,6497,35517808,5122731,40647037
2018-03,4999,41293699,5121366,46420065
2018-04,4817,42945205,5121364,48071386
2018-05,724090,46882192,5121366,52727648
2018-06,478094694,51575342,11817729,541487766
2018-07,1562967413,42380822,47213699,1652561934
2018-08,807374300,21211644,22603985,851189929
2018-09,65757523,24438356,5597476,95793355
2018-10,291713,30702740,5124588,36119041
2018-11,9233,32739726,5121447,37870406
2018-12,11901,38686301,5126934,43825136
2019-01,1855,42210959,5121281,47334095
2019-02,4429,39813699,5123309,44941437
2019-03,24050,46344292,5121281,51489623
2019-04,19345,51863014,5121281,57003639
2019-05,162980084,59664384,6245685,228890152
2019-06,1004514763,51890411,25036057,1081441231
2019-07,1789952670,28791781,55607836,1874352288
2019-08,1134749690,30631963,31039820,1196421473
2019-09,126854092,32876712,6511794,166242599
2019-10,2897097,39493151,5121510,47511758
2019-11,545899,40520548,5121298,46187745
2019-12,683102,45353425,5121299,51157826
2020-01,56,47476712,5121372,52598140
2020-02,0,45009589,5121366,50130955
2020-03,480206,50477626,5121372,56079204
2020-04,2681818,53465753,5121311,61268882
2020-05,129748156,59112329,5684119,194544604
2020-06,701215011,51739726,18183026,771137764
2020-07,2035657401,39634703,67090992,2142383096
2020-08,1566634674,23228767,52701407,1642564848
2020-09,204520795,22712329,7408149,234641273
2020-10,56297020,30702740,5197193,92196953
2020-11,2041511,32273973,5121450,39436933
2020-12,418898,37072603,5121455,42612955
