# Official name: Sermilik, Foreign name: Sermilik Isbrae, Mouginot/Mankoff name: Lille Gletscher, Mouginot region: CW, Mankoff discharge gate (2021): 161, closest NSIDC/MEASUREs ID: 11, distance to closest NSIDC/MEASUREs ID: 5412m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,48855458,580828,49436286
2010-02,0,44171265,580828,44752093
2010-03,0,48920548,580828,49501376
2010-04,0,47342466,580828,47923294
2010-05,22489854,55035616,767402,78292872
2010-06,212592961,55397260,2027360,270017581
2010-07,315944659,57328767,2559708,375833134
2010-08,230068254,50958904,2074035,283101194
2010-09,38944378,45452055,848801,85245234
2010-10,2850864,46967123,630061,50448048
2010-11,160177,45435930,583970,46180077
2010-12,28,46908341,580833,47489201
2011-01,32,46846890,580828,47427750
2011-02,28,42249564,580828,42830420
2011-03,32,46712329,580828,47293188
2011-04,31,45123288,580828,45704146
2011-05,62231,42041096,580828,42684155
2011-06,136717913,57534247,1384615,195636774
2011-07,419723044,61490411,2976824,484190280
2011-08,144154880,50109589,1426821,195691291
2011-09,163872,46602740,580841,47347453
2011-10,135,48410959,580828,48991922
2011-11,3113,47075203,580828,47659144
2011-12,124,48858136,580828,49439088
2012-01,303,49090411,580828,49671542
2012-02,283,46166952,580828,46748063
2012-03,303,49600000,580828,50181131
2012-04,1673,48246575,580828,48829076
2012-05,19280593,54695890,672853,74649336
2012-06,309758120,57780822,2333696,369872638
2012-07,460714076,56054795,3515647,520284518
2012-08,209623110,51043836,1913283,262580228
2012-09,2223438,47671233,593448,50488119
2012-10,37942,47476712,580828,48095482
2012-11,296,44465753,580828,45046877
2012-12,303,46143958,580828,46725089
2013-01,12,46595845,580828,47176685
2013-02,11,42498630,580828,43079469
2013-03,8455,47391781,580828,47981064
2013-04,286,46027397,580828,46608512
2013-05,2638,47646575,580828,48230041
2013-06,75713304,51452055,1248031,128413390
2013-07,215490738,50704110,2042077,268236925
2013-08,78635998,48241096,1124115,128001209
2013-09,4052096,42821918,616028,47490042
2013-10,10,46372603,580828,46953441
2013-11,1,44794521,580828,45375349
2013-12,0,46202740,580828,46783568
2014-01,0,46117808,580828,46698636
2014-02,0,41578082,580828,42158910
2014-03,0,47561644,580828,48142472
2014-04,0,50383562,580828,50964390
2014-05,15279,43824658,580828,44420765
2014-06,104144408,56794521,1443450,162382379
2014-07,257630267,56309589,2205310,316145166
2014-08,175611019,56054795,1796865,233462678
2014-09,4805119,47054795,638101,52498015
2014-10,0,46797260,580828,47378088
2014-11,149,45616438,580828,46197415
2014-12,0,47391781,580828,47972609
2015-01,136,48453425,580828,49034388
2015-02,123,44876712,580828,45457663
2015-03,136,48410959,580828,48991923
2015-04,132,46849315,580828,47430275
2015-05,156955,48410959,580828,49148742
2015-06,110257342,47207219,1286730,158751292
2015-07,333177640,49132877,2744133,385054650
2015-08,65002668,48835616,1022564,114860848
2015-09,1660122,44794521,628241,47082883
2015-10,0,46202740,580828,46783568
2015-11,219,45573873,580828,46154920
2015-12,453,48071233,580828,48652514
2016-01,113,48241096,580828,48822037
2016-02,86,44920209,580828,45501123
2016-03,92,47816438,580828,48397358
2016-04,1382905,46330346,600758,48314010
2016-05,977752,47986301,610817,49574871
2016-06,129695687,46633722,1547777,177877186
2016-07,362425154,48326027,3039663,413790844
2016-08,172056530,46415068,1632991,220104590
2016-09,153813,44342466,582646,45078925
2016-10,30456,46933151,580828,47544435
2016-11,94,45164384,580828,45745306
2016-12,22,45812055,580828,46392905
2017-01,0,47289863,580828,47870691
2017-02,0,41731507,580828,42312335
2017-03,0,47285616,580828,47866444
2017-04,0,47294260,580828,47875088
2017-05,419328,49798174,590282,50807784
2017-06,58506123,47547945,1204478,107258546
2017-07,164244928,51100457,1763769,217109154
2017-08,86502681,48368493,1147583,136018758
2017-09,7714992,46109589,657335,54481917
2017-10,4075,47561644,580828,48146547
2017-11,0,45369863,580828,45950691
2017-12,0,47243151,580828,47823979
2018-01,0,48309041,580828,48889869
2018-02,0,43457534,580828,44038362
2018-03,0,46185753,580828,46766581
2018-04,0,45205479,580828,45786307
2018-05,235572,47714521,580828,48530920
2018-06,53549949,49068493,1297840,103916282
2018-07,192314805,50166210,1919757,244400772
2018-08,134031544,47519178,1564803,183115526
2018-09,3352459,43041096,630673,47024228
2018-10,410,45162329,580828,45743567
2018-11,0,44383562,580828,44964390
2018-12,0,45565753,580828,46146581
2019-01,0,46754795,580828,47335622
2019-02,0,40465753,580828,41046581
2019-03,0,44730594,580828,45311422
2019-04,469214,44301370,599703,45370287
2019-05,59721883,47519178,1262798,108503859
2019-06,220283248,46739726,1951789,268974763
2019-07,459814796,47561644,3892105,511268545
2019-08,156215084,43796347,1710452,201721882
2019-09,2942163,42041096,640861,45624120
2019-10,217132,43060274,585249,43862655
2019-11,3,41219178,580828,41800009
2019-12,3,43569863,580828,44150694
2020-01,0,42522374,580828,43103202
2020-02,0,42268493,580828,42849321
2020-03,0,44334247,580828,44915074
2020-04,115534,41876712,580828,42573074
2020-05,563777,44504110,581049,45648935
2020-06,80979313,44958904,1312256,127250473
2020-07,227796144,46032877,2141598,275970619
2020-08,76549689,45480822,1148129,123178640
2020-09,332805,44465753,587860,45386418
2020-10,1411631,44631507,589376,46632513
2020-11,0,43369863,580828,43950691
2020-12,0,46032877,580828,46613705
