# Official name: Sermilik, Foreign name: Sermilik Brae, Mouginot/Mankoff name: Sermilik, Mouginot region: SW, Mankoff discharge gate (2021): 344, closest NSIDC/MEASUREs ID: 203, distance to closest NSIDC/MEASUREs ID: 70370m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,848955,6710098,971994,8531047
2010-02,6333230,5976964,972986,13283181
2010-03,3094762,6539726,977412,10611899
2010-04,5883627,6246575,973446,13103648
2010-05,185500336,5860274,5182137,196542747
2010-06,181567457,5095890,8378385,195041732
2010-07,187744266,4671233,13706626,206122125
2010-08,234152180,4161644,15711926,254025750
2010-09,116017381,5589041,4998573,126604995
2010-10,50233801,7389041,1273634,58896476
2010-11,18714240,6818791,971660,26504691
2010-12,16817657,6264883,971660,24054200
2011-01,1018531,5310935,971670,7301137
2011-02,0,4092208,971669,5063877
2011-03,1368010,4246575,971670,6586256
2011-04,53881,4520548,971670,5546099
2011-05,11957100,4926027,971670,17854798
2011-06,126589430,5013699,4681267,136284396
2011-07,205890808,5435616,12993034,224319459
2011-08,156968058,5690411,8944298,171602767
2011-09,62277854,5260274,2118504,69656633
2011-10,1554796,5095890,971886,7622573
2011-11,0,5024187,971723,5995910
2011-12,0,5394519,971969,6366488
2012-01,0,5605479,971717,6577197
2012-02,189524,5408387,971713,6569624
2012-03,8177759,5945205,971717,15094682
2012-04,44788120,5917808,1892861,52598789
2012-05,92122934,6284932,2738081,101145947
2012-06,163205500,6246575,9799155,179251230
2012-07,293186869,5860274,21854119,320901262
2012-08,170580708,4501370,11479950,186562028
2012-09,105908196,5342466,3668941,114919603
2012-10,54724086,5010959,2170896,61905941
2012-11,12134894,4438356,1177453,17750703
2012-12,1226376,3978024,971901,6176301
2013-01,0,3294366,971719,4266084
2013-02,0,2684932,971723,3656655
2013-03,0,3142466,971724,4114190
2013-04,1409575,4191781,971729,6573085
2013-05,21398590,3652055,971689,26022335
2013-06,135993771,4356164,4015438,144365373
2013-07,164237083,5265753,9193726,178696563
2013-08,138936987,4586301,7645609,151168897
2013-09,59071785,6410959,2195501,67678244
2013-10,13754486,3821918,973053,18549457
2013-11,1013993,5095890,971671,7081554
2013-12,1,4246575,971671,5218248
2014-01,0,4501370,973172,5474542
2014-02,0,4219178,971689,5190867
2014-03,0,3482192,971692,4453884
2014-04,359971,4438356,971691,5770018
2014-05,49609151,5690411,1888665,57188227
2014-06,168714324,6410959,6907379,182032662
2014-07,174646177,4756164,11927023,191329364
2014-08,139164695,3652055,10732917,153549667
2014-09,110338884,4397260,4056139,118792283
2014-10,5140257,4926027,971709,11037993
2014-11,0,3780822,971706,4752527
2014-12,0,4331507,972642,5304149
2015-01,0,4161644,971720,5133364
2015-02,0,3260274,971714,4231988
2015-03,0,5095890,971720,6067611
2015-04,0,4110433,971720,5082153
2015-05,3626423,3439726,971720,8037869
2015-06,106775896,4465639,3469107,114710643
2015-07,147340955,5732877,8883764,161957596
2015-08,161250220,4713699,8171406,174135325
2015-09,114100600,3534247,5416866,123051712
2015-10,16846143,4501370,1214485,22561999
2015-11,23572,4211060,972343,5206975
2015-12,0,4076712,972073,5048785
2016-01,1610640,3736986,971660,6319287
2016-02,0,3659291,971663,4630953
2016-03,586375,4161644,971660,5719680
2016-04,25845475,4241069,971663,31058207
2016-05,97611370,4501370,2170285,104283025
2016-06,201260997,4173783,10554427,215989207
2016-07,187418139,4076712,11781190,203276041
2016-08,159401009,3991781,10481857,173874647
2016-09,46163927,3287671,1548385,50999984
2016-10,13302068,3278356,1023929,17604353
2016-11,19348537,3780822,1132349,24261709
2016-12,3093222,3176438,971766,7241426
2017-01,41308,3193425,976312,4211045
2017-02,0,2665753,971690,3637443
2017-03,0,3545890,971678,4517568
2017-04,345194,3245537,971678,4562409
2017-05,77154518,3170776,3550016,83875310
2017-06,142871440,3246575,6094294,152212309
2017-07,187048974,3680365,10649823,201379162
2017-08,175827845,2802740,10737251,189367836
2017-09,87221120,3205479,6023845,96450444
2017-10,11168143,3609589,975178,15752910
2017-11,1802679,2753425,972032,5528136
2017-12,36,3078767,975738,4054541
2018-01,0,2904658,971826,3876484
2018-02,0,2589041,972127,3561168
2018-03,265981,2870685,971816,4108482
2018-04,5461391,2712329,971811,9145530
2018-05,9861957,3108493,971816,13942265
2018-06,155579226,3000000,4357033,162936259
2018-07,207273250,3142466,11885774,222301490
2018-08,158105241,3163699,7814481,169083421
2018-09,60488780,2712329,1987294,65188403
2018-10,756113,2717808,973771,4447692
2018-11,0,2520548,971812,3492360
2018-12,1381776,2972603,976821,5331199
2019-01,0,2717808,971660,3689469
2019-02,0,2454795,972143,3426938
2019-03,0,2717808,971660,3689469
2019-04,1780478,2547945,971660,5300084
2019-05,111876828,2547945,2729137,117153910
2019-06,189874334,2410959,8271487,200556780
2019-07,193055370,2420548,12332771,207808689
2019-08,151157601,2632877,8311147,162101625
2019-09,76651011,2917808,2932039,82500858
2019-10,21989416,2831050,1081139,25901606
2019-11,272972,2547945,972113,3793030
2019-12,1428778,2717808,971660,5118247
2020-01,0,2746119,971731,3717849
2020-02,0,2304110,971726,3275836
2020-03,2932040,2887671,971731,6791442
2020-04,4902203,3246575,971715,9120493
2020-05,71652883,2944292,1932494,76529670
2020-06,143354245,2794521,5987558,152136324
2020-07,191087311,2576256,13558690,207222257
2020-08,156558521,2208219,10633889,169400630
2020-09,94420411,2356164,2850079,99626655
2020-10,29284720,2632877,1316216,33233812
2020-11,1371668,2219178,971725,4562571
2020-12,38080,2717808,971707,3727596
