# Official name: Sigurd Berg Gletsjer, Foreign name: Sigurd Berg Gletsjer, Mouginot/Mankoff name: Petermann Gletscher N, Mouginot region: NO, Mankoff discharge gate (2021): 25, closest NSIDC/MEASUREs ID: 93, distance to closest NSIDC/MEASUREs ID: 34222m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,7005090,30143,7035233
2010-02,0,5896672,30143,5926815
2010-03,0,6115068,30143,6145211
2010-04,0,5506849,30143,5536992
2010-05,0,5180822,30143,5210965
2010-06,0,4602740,97284,4700024
2010-07,0,9257534,209825,9467359
2010-08,0,11805479,63776,11869255
2010-09,0,16438356,30143,16468499
2010-10,0,16391781,30143,16421924
2010-11,0,15230380,30143,15260523
2010-12,0,15082690,30143,15112833
2011-01,0,14392334,30143,14422477
2011-02,0,12373421,30143,12403564
2011-03,0,13079452,30143,13109595
2011-04,0,12000000,30143,12030143
2011-05,0,11720548,30143,11750691
2011-06,0,10684932,111074,10796005
2011-07,0,14353425,338567,14691991
2011-08,0,13673973,124425,13798398
2011-09,0,12657534,30143,12687677
2011-10,0,12484932,30143,12515075
2011-11,0,11479978,30143,11510121
2011-12,0,11254646,30143,11284789
2012-01,0,10616438,30143,10646581
2012-02,0,9310128,30143,9340271
2012-03,0,9342466,30143,9372609
2012-04,0,8465753,30143,8495896
2012-05,0,8153425,31489,8184913
2012-06,0,7232877,145740,7378616
2012-07,0,14013699,592973,14606672
2012-08,0,11380822,178557,11559378
2012-09,0,9863014,30143,9893157
2012-10,0,9087671,30143,9117814
2012-11,0,7808219,30143,7838362
2012-12,0,7871901,30143,7902044
2013-01,0,7765159,30143,7795302
2013-02,0,6904110,30143,6934253
2013-03,0,7473973,30143,7504116
2013-04,0,7150685,30143,7180828
2013-05,0,8493151,30143,8523294
2013-06,0,9698630,53428,9752058
2013-07,0,13164384,171040,13335423
2013-08,0,13079452,58170,13137622
2013-09,0,11260274,30143,11290417
2013-10,0,10871233,30143,10901376
2013-11,0,9863014,30143,9893157
2013-12,0,9427397,30143,9457540
2014-01,0,8747945,30143,8778088
2014-02,0,7210959,30143,7241102
2014-03,0,7389041,30143,7419184
2014-04,0,6410959,30143,6441102
2014-05,0,8323288,30143,8353431
2014-06,0,8958904,81854,9040758
2014-07,0,12569863,197107,12766970
2014-08,0,10786301,96784,10883086
2014-09,0,9246575,30143,9276718
2014-10,0,10361644,30143,10391787
2014-11,0,9123288,30143,9153431
2014-12,0,8535616,30143,8565759
2015-01,0,7643836,30143,7673979
2015-02,0,7709589,30143,7739732
2015-03,0,7898630,30143,7928773
2015-04,0,7712215,30143,7742358
2015-05,0,8153425,30143,8183568
2015-06,0,9504417,138758,9643174
2015-07,0,11295890,720039,12015930
2015-08,0,10531507,72940,10604447
2015-09,0,8219178,30143,8249321
2015-10,0,8747945,30143,8778088
2015-11,0,8526761,30143,8556904
2015-12,0,8832877,30143,8863020
2016-01,0,8663014,30143,8693157
2016-02,0,7831911,30143,7862054
2016-03,0,8195890,30143,8226033
2016-04,0,7965025,30143,7995168
2016-05,0,8323288,30143,8353431
2016-06,0,9199298,91181,9290479
2016-07,0,10573973,278155,10852127
2016-08,0,10149315,51734,10201049
2016-09,0,8095890,30143,8126033
2016-10,0,9172603,30143,9202746
2016-11,0,8054795,30143,8084938
2016-12,0,8340274,30143,8370417
2017-01,0,8629041,30143,8659184
2017-02,0,7920548,30143,7950691
2017-03,0,8365753,30143,8395896
2017-04,0,8059688,30143,8089831
2017-05,0,8294977,30143,8325120
2017-06,0,7808219,68239,7876458
2017-07,0,9653881,196789,9850670
2017-08,0,10021918,51405,10073323
2017-09,0,9041096,30143,9071239
2017-10,0,9682192,30143,9712335
2017-11,0,8260274,30143,8290417
2017-12,0,8599315,30143,8629458
2018-01,0,8442192,30143,8472335
2018-02,0,7747945,30143,7778088
2018-03,0,7796712,30143,7826855
2018-04,0,7479452,30143,7509595
2018-05,0,8306301,30143,8336444
2018-06,0,8301370,81212,8382582
2018-07,0,9823744,121611,9945356
2018-08,0,9724658,115078,9839736
2018-09,0,7726027,30143,7756170
2018-10,0,8471918,30143,8502061
2018-11,0,8219178,30143,8249321
2018-12,0,8471918,30143,8502061
2019-01,0,8026027,30143,8056170
2019-02,0,7210959,30143,7241102
2019-03,0,8266667,30143,8296810
2019-04,0,7397260,30143,7427403
2019-05,0,8280822,30143,8310965
2019-06,0,8684932,122462,8807393
2019-07,0,9724658,361850,10086507
2019-08,0,9484018,186284,9670303
2019-09,0,9082192,30302,9112494
2019-10,0,8153425,30143,8183568
2019-11,0,8178082,30143,8208225
2019-12,0,8238356,30143,8268499
2020-01,0,8408219,30143,8438362
2020-02,0,7309589,30143,7339732
2020-03,0,7785388,30143,7815531
2020-04,0,7849315,30143,7879458
2020-05,0,7757078,30143,7787221
2020-06,0,8054795,150538,8205333
2020-07,0,8832877,499324,9332201
2020-08,0,8747945,123645,8871590
2020-09,0,7178082,30143,7208225
2020-10,0,8068493,30143,8098636
2020-11,0,7369863,30143,7400006
2020-12,0,8323288,30143,8353431
