# Official name: Sisoortartukassak/Kangilleq, Foreign name: Sisoortartukassak/Kangilleq, Mouginot/Mankoff name: Cw Noname2, Mouginot region: CW, Mankoff discharge gate (2021): 157, closest NSIDC/MEASUREs ID: 12, distance to closest NSIDC/MEASUREs ID: 7613m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,73804461,2212767,76017228
2010-02,0,66829634,2212767,69042401
2010-03,0,74145205,2212767,76357973
2010-04,0,71917808,2212767,74130575
2010-05,32475255,84336986,2522166,119334408
2010-06,121511922,81698630,5253688,208464240
2010-07,130309705,75843836,7069308,213222849
2010-08,114035259,66926027,5862331,186823618
2010-09,19299473,68876712,2935068,91111254
2010-10,4878570,70323288,2277939,77479797
2010-11,1619703,67194682,2217772,71032157
2010-12,398,68566722,2212773,70779893
2011-01,0,67669946,2212767,69882713
2011-02,0,60318405,2212767,62531173
2011-03,0,65991781,2212767,68204548
2011-04,0,63041096,2212767,65253863
2011-05,1007133,66671233,2212767,69891133
2011-06,82513410,79643836,3701158,165858403
2011-07,183202738,80260274,8057893,271520905
2011-08,77673976,66586301,4076309,148336586
2011-09,2518055,67972603,2213641,72704298
2011-10,0,70153425,2212767,72366192
2011-11,45200,67788845,2212767,70046812
2011-12,0,69935811,2212767,72148578
2012-01,8,69813699,2212767,72026473
2012-02,7,65192685,2212767,67405459
2012-03,8,69558904,2212767,71771679
2012-04,26301,67150685,2212767,69389753
2012-05,18585226,73805479,2376872,94767577
2012-06,137733949,77342466,6458960,221535374
2012-07,170195089,77797260,10386389,258378738
2012-08,95155394,67095890,5809835,168061119
2012-09,5057385,66493151,2241385,73791920
2012-10,567117,70323288,2212768,73103173
2012-11,12,69452055,2212767,71664834
2012-12,8,72798669,2212767,75011444
2013-01,0,73705257,2212767,75918024
2013-02,0,67353425,2212767,69566192
2013-03,136707,75334247,2212767,77683721
2013-04,4444,63863014,2212767,66080225
2013-05,45916,69219178,2212767,71477862
2013-06,71199828,75369863,3302993,149872684
2013-07,114173643,70068493,5371801,189613937
2013-08,39949865,74145205,3383644,117478714
2013-09,5932181,65095890,2276373,73304444
2013-10,0,68539726,2212767,70752493
2013-11,0,66000000,2212767,68212767
2013-12,0,67860274,2212767,70073041
2014-01,0,67520548,2212767,69733315
2014-02,0,60679452,2212767,62892219
2014-03,0,66841096,2212767,69053863
2014-04,0,65506849,2212767,67719617
2014-05,252306,75673973,2212767,78139046
2014-06,80406228,73397260,3895616,157699104
2014-07,120257678,74315068,5712622,200285369
2014-08,87109726,67095890,5064409,159270025
2014-09,6121620,64931507,2304679,73357807
2014-10,0,64547945,2212767,66760712
2014-11,2407,64767123,2212767,66982298
2014-12,0,69346575,2212767,71559343
2015-01,0,63613699,2212767,65826466
2015-02,0,57610959,2212767,59823726
2015-03,0,65142466,2212767,67355233
2015-04,0,64123975,2212767,66336743
2015-05,2723864,66798630,2212767,71735261
2015-06,71688132,64146612,4058507,139893251
2015-07,136676900,65439726,8141885,210258511
2015-08,42000246,64675342,3204075,109879664
2015-09,3667284,66575342,2317663,72560290
2015-10,0,62000000,2212767,64212767
2015-11,0,63915891,2212767,66128658
2015-12,0,69898630,2212767,72111397
2016-01,0,66246575,2212767,68459343
2016-02,0,59993263,2212767,62206031
2016-03,0,63231507,2212767,65444274
2016-04,5631226,63260818,2265219,71157263
2016-05,12030165,68242466,2292080,82564711
2016-06,71319471,67706129,4324910,143350511
2016-07,148057050,70790411,8612711,227460173
2016-08,74355045,59919178,4832530,139106753
2016-09,840750,63452055,2215827,66508632
2016-10,511622,64344110,2212767,67068499
2016-11,1161,61931507,2212767,64145435
2016-12,0,65567123,2212767,67779890
2017-01,0,65652055,2212767,67864822
2017-02,0,58378082,2212767,60590849
2017-03,0,65885616,2212767,68098384
2017-04,0,64502427,2212767,66715194
2017-05,7463216,67350685,2322427,77136328
2017-06,54846943,66246575,3313090,124406608
2017-07,104902666,70379909,4455280,179737854
2017-08,57887250,72021918,3150391,133059559
2017-09,6827290,64684932,2336255,73848476
2017-10,66151,66926027,2212767,69204945
2017-11,0,63452055,2212767,65664822
2017-12,0,65906849,2212767,68119617
2018-01,0,66008767,2212767,68221534
2018-02,0,58071233,2212767,60284000
2018-03,0,63002192,2212767,65214959
2018-04,0,62424658,2212767,64637425
2018-05,4015277,63715616,2212767,69943660
2018-06,62554809,65342466,3365141,131262416
2018-07,101100305,63896804,5215024,170212133
2018-08,79273861,61915068,4260479,145449408
2018-09,7483514,59369863,2303538,69156914
2018-10,6631,60173973,2212767,62393371
2018-11,0,60164384,2212767,62377151
2018-12,0,63104110,2212767,65316877
2019-01,0,60895890,2212767,63108658
2019-02,0,56460274,2212767,58673041
2019-03,0,60867580,2212767,63080347
2019-04,5957138,59342466,2274468,67574072
2019-05,60149378,67265753,3206088,130621219
2019-06,103998309,66958904,4719166,175676379
2019-07,176258674,68879452,11110243,256248369
2019-08,68411990,65397260,5155190,138964440
2019-09,6532700,54986301,2320250,63839251
2019-10,1088892,59820091,2218813,63127797
2019-11,0,59342466,2212767,61555233
2019-12,0,61377169,2212767,63589936
2020-01,0,61405479,2212767,63618247
2020-02,0,56887671,2212767,59100438
2020-03,0,61518721,2212767,63731489
2020-04,2019836,59136986,2212767,63369590
2020-05,7539198,61660274,2227566,71427038
2020-06,53748423,62547945,3650379,119946747
2020-07,112813490,65482192,5648271,183943952
2020-08,53884129,65694521,3110877,122689526
2020-09,1105904,62027397,2225654,65358955
2020-10,3840399,64123288,2225362,70189048
2020-11,0,61726027,2212767,63938795
2020-12,0,63358904,2212767,65571671
