# Official name: Soendre Parallelgletsjer, Foreign name: Soendre Parallelgletsjer, Mouginot/Mankoff name: Unnamed Polaric S, Mouginot region: CE, Mankoff discharge gate (2021): 206, closest NSIDC/MEASUREs ID: 158, distance to closest NSIDC/MEASUREs ID: 5219m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,52291817,157477,52449294
2010-02,0,48317039,157477,48474516
2010-03,0,53931507,157477,54088984
2010-04,0,52109589,157477,52267066
2010-05,379782,53931507,514559,54825848
2010-06,2048257,54657534,5616404,62322195
2010-07,2862730,57243836,13369189,73475755
2010-08,2223351,49430137,9025970,60679458
2010-09,2857839,49068493,5402952,57329284
2010-10,257775,50194521,264191,50716486
2010-11,0,47998471,157480,48155950
2010-12,0,48951154,157477,49108631
2011-01,0,48330929,164854,48495783
2011-02,0,43249580,208679,43458260
2011-03,0,47731507,157477,47888984
2011-04,0,50383562,157477,50541038
2011-05,22007,53167123,157477,53346607
2011-06,1284286,45369863,2339797,48993947
2011-07,2588232,58772603,10033206,71394041
2011-08,1796352,48920548,5196873,55913773
2011-09,1125774,46027397,853412,48006583
2011-10,19174,48156164,173609,48348947
2011-11,14441,47228499,159066,47402007
2011-12,0,49445474,160586,49606060
2012-01,0,50109589,157477,50267066
2012-02,0,47489761,157477,47647238
2012-03,0,51383562,157477,51541038
2012-04,0,50383562,157830,50541392
2012-05,60741,52827397,172854,53060992
2012-06,2036881,53342466,7366375,62745722
2012-07,2713348,58008219,12674906,73396474
2012-08,2440988,49939726,8165762,60546476
2012-09,354918,46027397,444100,46826416
2012-10,24274,50109589,164300,50298164
2012-11,0,50547945,157478,50705423
2012-12,0,52951675,157478,53109153
2013-01,0,53415944,157477,53573420
2013-02,0,48635616,157477,48793093
2013-03,0,54271233,157477,54428710
2013-04,0,48904110,157477,49061586
2013-05,43722,49769863,157477,49971061
2013-06,1549815,47671233,2903670,52124718
2013-07,2313438,47731507,8111663,58156608
2013-08,2075972,50364384,5086576,57526932
2013-09,359470,49561644,431517,50352631
2013-10,234551,49854795,229597,50318942
2013-11,0,48739726,157477,48897203
2013-12,0,50873973,157477,51031449
2014-01,0,51298630,157492,51456123
2014-02,0,46794521,157487,46952008
2014-03,0,52317808,157495,52475303
2014-04,409,51041096,157510,51199014
2014-05,100810,54865753,157477,55124040
2014-06,1900384,55232877,3481291,60614551
2014-07,2918330,56394521,9035444,68348294
2014-08,2704235,48410959,7610328,58725522
2014-09,866289,49232877,1627645,51726811
2014-10,182726,48920548,196060,49299334
2014-11,49844,47917808,157477,48125129
2014-12,0,50109589,157477,50267066
2015-01,0,50704110,157477,50861587
2015-02,0,48175342,157477,48332819
2015-03,0,54441096,157477,54598573
2015-04,532,52674057,157477,52832065
2015-05,30828,54398630,157477,54586934
2015-06,1346821,52139745,2043053,55529619
2015-07,2296365,52742466,8908068,63946899
2015-08,2107656,50109589,5730428,57947673
2015-09,1644408,52356164,2540047,56540619
2015-10,143689,46457534,160694,46761917
2015-11,3693,44078278,160566,44242537
2015-12,0,45268493,160923,45429416
2016-01,0,48071233,157513,48228746
2016-02,0,44699098,157477,44856575
2016-03,0,47349315,157477,47506792
2016-04,1073,45401119,157477,45559669
2016-05,333613,46669863,319508,47322984
2016-06,2114118,45875882,7000880,54990881
2016-07,2706243,48495890,12095110,63297243
2016-08,2625556,49217808,6316902,58160266
2016-09,861847,47794521,466684,49123051
2016-10,551330,49141370,300835,49993535
2016-11,3075,46109589,157495,46270159
2016-12,1,46525479,157495,46682976
2017-01,0,45217534,157503,45375037
2017-02,0,43419178,157500,43576679
2017-03,1,44950000,165177,45115178
2017-04,1,45513885,157502,45671388
2017-05,511461,49373516,383317,50268294
2017-06,1928293,48246575,3184475,53359344
2017-07,2522629,49458447,6838540,58819617
2017-08,1642736,49642466,4295096,55580298
2017-09,1757504,52356164,1987917,56101585
2017-10,221318,50067123,199034,50487475
2017-11,2,43191781,160769,43352551
2017-12,0,47837671,158407,47996078
2018-01,3,49735890,159080,49894973
2018-02,0,43860274,158860,44019134
2018-03,5,44096438,161143,44257586
2018-04,6201,37479452,160114,37645767
2018-05,45134,44555068,157477,44757679
2018-06,1369248,44958904,1896749,48224901
2018-07,2564450,46372603,8648421,57585473
2018-08,1385201,44143151,4693113,50221465
2018-09,904444,38821918,1001133,40727495
2018-10,12249,42232192,157477,42401918
2018-11,13750,41589041,157477,41760268
2018-12,1,42678082,157477,42835559
2019-01,2,43697260,157493,43854755
2019-02,3,38893151,157491,39050644
2019-03,1,42833790,157493,42991284
2019-04,339390,44109589,206281,44655261
2019-05,783522,44334247,489797,45607566
2019-06,2485782,41123288,5920032,49529102
2019-07,3688988,41149315,15965949,60804253
2019-08,2226414,40285845,5603307,48115565
2019-09,1049802,40849315,892021,42791138
2019-10,111763,42324201,177435,42613399
2019-11,5,40109589,157587,40267181
2019-12,281,41786301,157544,41944126
2020-01,0,44758904,157752,44916656
2020-02,0,40798630,157653,40956283
2020-03,0,40314155,157641,40471796
2020-04,9333,44712329,176357,44898019
2020-05,279277,45325114,243044,45847435
2020-06,2399536,44712329,3896007,51007872
2020-07,2770112,42578995,8999287,54348395
2020-08,2615672,39832877,6080399,48528948
2020-09,222569,39342466,284809,39849843
2020-10,176125,46160274,229897,46566296
2020-11,0,43808219,157638,43965858
2020-12,0,43442466,157644,43600109
