# Official name: Solgletsjer, Foreign name: Solgletsjer, Mouginot/Mankoff name: Geikie3, Mouginot region: CE, Mankoff discharge gate (2021): 148, closest NSIDC/MEASUREs ID: 130, distance to closest NSIDC/MEASUREs ID: 26156m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,148,9060273,193607,9254027
2010-02,133,8145377,193607,8339117
2010-03,148,9002740,193607,9196494
2010-04,183,8712329,193607,8906119
2010-05,303743,8917808,193607,9415158
2010-06,37695393,9863014,854326,48412733
2010-07,73358664,9172603,2271022,84802289
2010-08,38341747,8153425,1668717,48163889
2010-09,20773544,7972603,436073,29182220
2010-10,5564,8408219,193813,8607597
2010-11,4249,8245260,193807,8443316
2010-12,3648,8607517,193813,8804978
2011-01,10069,8685489,193608,8889166
2011-02,11050,7912484,193607,8117141
2011-03,12247,8832877,193607,9038731
2011-04,11840,8630137,193607,8835584
2011-05,15812,8578082,193607,8787501
2011-06,10693493,8301370,319063,19313926
2011-07,51287956,9257534,1028078,61573568
2011-08,38039627,8323288,1080508,47443423
2011-09,1374182,8054795,215832,9644808
2011-10,5908,8493151,195828,8694887
2011-11,2193,8361633,199178,8563004
2011-12,1300,8771687,206329,8979315
2012-01,4304,8917808,193607,9115719
2012-02,27127,8518225,193607,8738959
2012-03,17463,9257534,193607,9468604
2012-04,88,9041096,193635,9234819
2012-05,1371195,9427397,193607,10992199
2012-06,40119620,8712329,1007017,49838965
2012-07,77447122,9597260,3333345,90377727
2012-08,69511645,9257534,2560929,81330108
2012-09,448,9041096,198671,9240214
2012-10,201,9427397,193607,9621205
2012-11,74,9123288,193607,9316968
2012-12,53,9448600,193607,9642260
2013-01,422,9489898,194044,9684364
2013-02,380,8591781,193607,8785768
2013-03,421,9512329,193607,9706357
2013-04,407,8547945,193607,8741959
2013-05,415,8832877,193607,9026899
2013-06,27835878,8794521,816179,37446578
2013-07,73074850,9002740,1512620,83590210
2013-08,28625159,8917808,850243,38393210
2013-09,3760511,9123288,265501,13149300
2013-10,10548,8832877,194945,9038369
2013-11,6077,8712329,193609,8912014
2013-12,1813,9257534,193609,9452956
2014-01,100,9427397,193705,9621202
2014-02,68,8745205,193695,8938969
2014-03,75,9852055,193639,10045769
2014-04,536,8876712,193610,9070857
2014-05,188,9087671,193607,9281467
2014-06,23880613,8712329,703667,33296609
2014-07,52199727,9257534,1285994,62743255
2014-08,25215325,9002740,754677,34972742
2014-09,4568070,8876712,245276,13690058
2014-10,3468,8238356,194803,8436627
2014-11,2123,8219178,196468,8417769
2014-12,2038,8663014,194559,8859611
2015-01,29508,8917808,193615,9140931
2015-02,10019,8169863,193607,8373489
2015-03,4918,9936986,193607,10135511
2015-04,4066,9258534,193607,9456207
2015-05,3998,9215068,193607,9412673
2015-06,15542599,9317819,475793,25336211
2015-07,49910635,10021918,1209637,61142189
2015-08,30108737,10021918,599140,40729794
2015-09,11707427,9780822,332822,21821071
2015-10,6930,10191781,196617,10395328
2015-11,5834,9778801,195309,9979943
2015-12,5803,10021918,194215,10221935
2016-01,2193,10021918,193607,10217718
2016-02,2443,9917593,193607,10113644
2016-03,1298,11126027,193638,11320964
2016-04,951,9640501,193607,9835059
2016-05,329418,8832877,193607,9355901
2016-06,35530986,8516973,891245,44939205
2016-07,66605225,8790411,2851017,78246653
2016-08,30848116,8917808,902839,40668763
2016-09,1519551,9739726,193847,11453124
2016-10,103405,10208767,193912,10506084
2016-11,34833,10027397,193607,10255838
2016-12,99,10514521,194585,10709204
2017-01,4670,9070685,193611,9268966
2017-02,64083,8189041,193610,8446734
2017-03,52361,10828767,193611,11074739
2017-04,3296,10355858,193610,10552764
2017-05,4908001,10389954,246711,15544666
2017-06,18313692,9123288,681245,28118225
2017-07,59218602,9200913,1184186,69603701
2017-08,33153838,8026027,854502,42034367
2017-09,16016592,7890411,590617,24497620
2017-10,352052,5987671,197036,6536759
2017-11,15528,6534247,195132,6744907
2017-12,7411,7240411,193611,7441433
2018-01,234,7643836,193648,7837718
2018-02,319,7805479,193607,7999406
2018-03,108,9682192,193607,9875907
2018-04,75,8506849,193607,8700531
2018-05,150,8357260,193607,8551018
2018-06,17659654,7890411,486635,26036700
2018-07,69796997,7813699,1612349,79223044
2018-08,31505021,8663014,1102262,41270297
2018-09,1842765,7972603,202083,10017451
2018-10,1784,8556849,193607,8752240
2018-11,1082,9534247,193607,9728935
2018-12,641,10021918,193607,10216166
2019-01,5297,10446575,194009,10645882
2019-02,5672,9397260,193607,9596539
2019-03,0,10559817,193607,10753424
2019-04,31,10383562,193607,10577200
2019-05,4598318,10871233,193607,15663157
2019-06,48234227,10657534,1016384,59908145
2019-07,84867920,11168493,2601522,98637936
2019-08,41168114,11295890,1450398,53914403
2019-09,1296279,11054795,196950,12548023
2019-10,0,11550685,193747,11744432
2019-11,0,11301370,193607,11494977
2019-12,2098,11833790,193607,12029495
2020-01,5332,10559817,193607,10758756
2020-02,6192,9534247,193607,9734045
2020-03,2300,10078539,193607,10274446
2020-04,54289,9657534,193607,9905431
2020-05,2057,9908676,193607,10104339
2020-06,22998521,9493151,669538,33161209
2020-07,40500918,9710502,977775,51189196
2020-08,38276598,9597260,926386,48800244
2020-09,10938,9232877,193607,9437422
2020-10,20325,9427397,193607,9641329
2020-11,1960,9013699,193607,9209265
2020-12,2179,9130137,193607,9325923
