# Official name: Sorgenfri Gletsjer, Foreign name: Sorgenfri Gletsjer, Mouginot/Mankoff name: Sorgenfri, Mouginot region: CE, Mankoff discharge gate (2021): 193, closest NSIDC/MEASUREs ID: 148, distance to closest NSIDC/MEASUREs ID: 4408m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,2459,18858421,539293,19400174
2010-02,2020,15671676,539264,16212959
2010-03,2236,16306849,539299,16848385
2010-04,2164,15041096,539284,15582544
2010-05,23431110,14098630,779008,38308749
2010-06,271592652,23342466,8340601,303275719
2010-07,521278356,23271233,19328073,563877663
2010-08,369222606,18515068,13158093,400895768
2010-09,302511630,18986301,7581888,329079819
2010-10,7660875,19024658,575598,27261131
2010-11,3963,17833312,539686,18376961
2010-12,3479,17856304,539794,18399577
2011-01,25836,17276837,540175,17842847
2011-02,22062,15095874,540060,15657995
2011-03,24549,16221918,540177,16786644
2011-04,23716,15205479,540136,15769332
2011-05,796216,15542466,540159,16878841
2011-06,153364155,21616438,4063918,179044512
2011-07,456700740,19704110,15990427,492395276
2011-08,278395001,21232877,8414036,308041914
2011-09,98641126,20876712,1580270,121098109
2011-10,421055,21063014,540460,22024529
2011-11,1496821,19902666,543098,21942584
2011-12,3922,20099726,540175,20643823
2012-01,4043,19619178,538986,20162207
2012-02,3765,17904877,538986,18447628
2012-03,4024,18684932,538986,19227942
2012-04,3895,17589041,575874,18168810
2012-05,8933203,17835616,576821,27345641
2012-06,331933781,21945205,10895096,364774082
2012-07,543744188,23526027,19895505,587165721
2012-08,393975513,21402740,14445618,429823871
2012-09,23571107,16191781,807852,40570739
2012-10,141412,16476712,539497,17157621
2012-11,8706,15698630,539004,16246340
2012-12,8996,16499867,539005,17047868
2013-01,5805,17132545,539045,17677395
2013-02,2254,16032877,539584,16574715
2013-03,2495,18175342,539045,18716883
2013-04,2415,15616438,539043,16157896
2013-05,5539584,18854795,553221,24947600
2013-06,191509816,15452055,4376095,211337965
2013-07,436491676,18090411,13803930,468386018
2013-08,304321209,19619178,8425011,332365398
2013-09,37835536,20465753,938380,59239670
2013-10,28757028,19109589,879104,48745721
2013-11,15678,18493151,539043,19047872
2013-12,9211,19109589,539045,19657845
2014-01,8977,19109589,538988,19657554
2014-02,6832,17260274,538988,17806094
2014-03,7565,19109589,538988,19656142
2014-04,38181,18493151,538988,19070319
2014-05,14843594,19194521,580057,34618172
2014-06,268159061,19643836,7258309,295061206
2014-07,490693961,21317808,16832422,528844191
2014-08,334108165,18005479,11170501,363284146
2014-09,106220890,16232877,2421691,124875458
2014-10,8075262,17241096,547496,25863854
2014-11,9598377,16438356,554196,26590929
2014-12,67549,16731507,538995,17338051
2015-01,12627,16391781,538990,16943398
2015-02,6157,14421918,538990,14967064
2015-03,5892,16136986,538990,16681868
2015-04,6657,16008282,538988,16553927
2015-05,2373387,16816438,538986,19728812
2015-06,126624158,15440921,3292221,145357299
2015-07,412449200,14778082,15747405,442974687
2015-08,296048154,14183562,8313350,318545066
2015-09,151364855,14958904,4136625,170460385
2015-10,10241311,15160274,555503,25957088
2015-11,37957,14078236,540744,14656937
2015-12,8454,14141096,539516,14689065
2016-01,23427,16434247,544166,17001840
2016-02,21655,15332261,539393,15893308
2016-03,10125,16349315,539238,16898679
2016-04,14685,16053503,540526,16608713
2016-05,28818228,16816438,687397,46322064
2016-06,313993854,15856436,9028287,338878577
2016-07,531205105,15500000,21607050,568312155
2016-08,317491378,13971233,10833297,342295909
2016-09,47331816,14712329,876784,62920929
2016-10,46806228,15763288,641156,63210672
2016-11,1530650,13068493,539055,15138198
2016-12,21789,15117808,539058,15678655
2017-01,7598,14489315,549227,15046140
2017-02,690,12561644,540834,13103168
2017-03,0,14756849,539287,15296136
2017-04,0,14721016,539277,15260293
2017-05,52589480,15400913,1356188,69346582
2017-06,218477077,12904110,5516794,236897981
2017-07,398251758,12852968,11104928,422209654
2017-08,211623899,13971233,6352097,231947230
2017-09,175398026,14383562,3657041,193438629
2017-10,13835919,14523288,573536,28932742
2017-11,34726,12986301,539647,13560674
2017-12,0,14565753,541271,15107024
2018-01,64476,14217534,541966,14823976
2018-02,61277,13693151,546742,14301170
2018-03,49220,14574247,539335,15162801
2018-04,677199,15246575,539062,16462836
2018-05,4305418,14863014,539952,19708383
2018-06,172782954,15534247,4100996,192418196
2018-07,421183126,14381735,14390252,449955113
2018-08,239585847,14162329,8089142,261837318
2018-09,65023669,13616438,1393856,80033963
2018-10,119573,13504110,539001,14162684
2018-11,1047206,13534247,539779,15121231
2018-12,2517,15478767,539159,16020442
2019-01,6776,13843836,539040,14389651
2019-02,6473,13232877,539016,13778365
2019-03,6982,14296804,539019,14842805
2019-04,13810926,14876712,556958,29244597
2019-05,56937160,16179452,1107677,74224290
2019-06,337009787,13863014,10122186,360994986
2019-07,654009787,13164384,25450877,692625047
2019-08,331882230,12371689,10236012,354489931
2019-09,115248991,11958904,2588519,129796414
2019-10,9725902,12286758,580714,22593375
2019-11,26100,12616438,561975,13204512
2019-12,267132,13730594,541060,14538786
2020-01,49063,13164384,540328,13753775
2020-02,16374,12235616,539295,12791285
2020-03,18541,14976256,539335,15534132
2020-04,21530,14219178,539318,14780026
2020-05,14794500,15910502,566257,31271259
2020-06,307807245,15041096,6854341,329702682
2020-07,422955131,12258447,13048701,448262279
2020-08,361150519,12909589,10246708,384306816
2020-09,16022797,11534247,713621,28270664
2020-10,17505359,13758904,620058,31884321
2020-11,7157,12191781,539217,12738155
2020-12,7283,14565753,539225,15112261
