# Official name: Spaltegletsjer, Foreign name: Spaltegletsjer, Mouginot/Mankoff name: Nioghalvfjerdsfjorden, Mouginot region: NE, Mankoff discharge gate (2021): 29, closest NSIDC/MEASUREs ID: 211, distance to closest NSIDC/MEASUREs ID: 56255m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,1023741791,119998315,1143740105
2010-02,0,924162892,119998315,1044161207
2010-03,0,1022660274,119998315,1142658589
2010-04,0,989095890,119998315,1109094205
2010-05,0,1021556164,119998315,1141554479
2010-06,375887603,988027397,120728122,1484643122
2010-07,2142329011,1072854795,140816767,3356000572
2010-08,682297662,1042619178,123736599,1848653440
2010-09,1,1010547945,119998315,1130546260
2010-10,0,1045846575,119998315,1165844890
2010-11,0,1013696584,119998315,1133694899
2010-12,0,1049059103,119998315,1169057418
2011-01,0,1050674966,119998315,1170673281
2011-02,0,950452983,119998315,1070451297
2011-03,0,1053745205,119998315,1173743520
2011-04,0,1021315068,119998315,1141313383
2011-05,0,1056887671,119998315,1176885986
2011-06,649242406,1024356164,126483622,1800082192
2011-07,2010494456,1043723288,144295884,3198513628
2011-08,1050458134,1031238356,129018588,2210715078
2011-09,76,996493151,119998315,1116491541
2011-10,0,1028180822,119998315,1148179137
2011-11,0,993527573,119998315,1113525887
2011-12,0,1025182254,119998315,1145180568
2012-01,0,1023679452,119998315,1143677767
2012-02,0,956242115,119998315,1076240429
2012-03,0,1020791781,119998315,1140790095
2012-04,0,986383562,119998315,1106381876
2012-05,0,1017819178,119998315,1137817493
2012-06,1201043088,983506849,133675474,2318225411
2012-07,2533223715,1051197260,203827287,3788248263
2012-08,1238866881,994293151,162278748,2395438780
2012-09,4702810,978821918,119998326,1103523053
2012-10,0,1027926027,119998315,1147924342
2012-11,0,1008657534,119998315,1128655849
2012-12,0,1041635080,119998315,1161633394
2013-01,0,1040163290,119998315,1160161605
2013-02,0,938191781,119998315,1058190095
2013-03,0,1037693151,119998315,1157691465
2013-04,0,1003150685,119998315,1123149000
2013-05,0,984186301,119998315,1104184616
2013-06,634736073,971095890,121676706,1727508669
2013-07,2241561621,1004569863,144579234,3390710718
2013-08,616322608,1008391781,124916058,1749630448
2013-09,21075330,984493151,119999232,1125567712
2013-10,41780,1025208219,119998315,1145248313
2013-11,0,1000027397,119998315,1120025712
2013-12,0,1041260274,119998315,1161258589
2014-01,0,1049413699,119998315,1169412013
2014-02,0,955298630,119998315,1075296945
2014-03,0,1064956164,119998315,1184954479
2014-04,0,1042684932,119998315,1162683246
