# Official name: Storebjoern, Foreign name: Storebjoern, Mouginot/Mankoff name: Maelkevejen, Mouginot region: SE, Mankoff discharge gate (2021): 299, closest NSIDC/MEASUREs ID: 191, distance to closest NSIDC/MEASUREs ID: 6729m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,8211,45712381,1460139,47180731
2010-02,46818,42850515,1459047,44356381
2010-03,294874,48071233,1460342,49826449
2010-04,1859,45863014,1459021,47323894
2010-05,49951538,48665753,1860294,100477585
2010-06,238538521,43315068,4442117,286295707
2010-07,366586175,39323288,9166244,415075706
2010-08,381797088,39578082,11777590,433152760
2010-09,218692250,40684932,5158744,264535926
2010-10,33112137,42975342,1630922,77718402
2010-11,0,42572973,1459021,44031993
2010-12,508,45006231,1459021,46465759
2011-01,217,46068802,1464105,47533124
2011-02,415,42568419,1459021,44027855
2011-03,203,48071233,1459021,49530457
2011-04,172,47506849,1459021,48966042
2011-05,328,50109589,1459021,51568937
2011-06,132965541,49479452,3290779,185735772
2011-07,364308202,52912329,7814192,425034723
2011-08,246412439,50449315,6677723,303539477
2011-09,36273444,46438356,1860488,84572288
2011-10,48091,47646575,1459021,49153687
2011-11,23,45789887,1459021,47248931
2011-12,10,47009494,1459021,48468525
2012-01,21458,46712329,1459021,48192807
2012-02,59351,43386084,1459021,44904455
2012-03,5634,46202740,1459021,47667394
2012-04,5442,48575342,1463641,50044425
2012-05,27533687,53506849,1757397,82797933
2012-06,316649258,47013699,8619129,372282086
2012-07,510837646,42720548,14605356,568163550
2012-08,376032381,42126027,9624550,427782959
2012-09,36358203,41506849,1891889,79756942
2012-10,63978,48750685,1466922,50281585
2012-11,6193,51863014,1459021,53328227
2012-12,123390,52989044,1459021,54571455
2013-01,52874,51580358,1459445,53092677
2013-02,38463,45260274,1459021,46757757
2013-03,4345,48920548,1459021,50383913
2013-04,4195,46602740,1459021,48065956
2013-05,4766,48156164,1459647,49620577
2013-06,102906529,47178082,2805732,152890343
