# Official name: Styrtegletsjer, Foreign name: Styrtegletsjer, Mouginot/Mankoff name: Styrte, Mouginot region: CE, Mankoff discharge gate (2021): 188, closest NSIDC/MEASUREs ID: 151, distance to closest NSIDC/MEASUREs ID: 4101m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,395,1815822,174542,1990759
2010-02,357,1662421,174542,1837319
2010-03,395,1868493,174542,2043430
2010-04,382,1890411,174542,2065335
2010-05,3816871,1953425,174557,5944853
2010-06,55055566,1890411,1701967,58647944
2010-07,126567905,1953425,5198194,133719524
2010-08,77448190,2038356,3050704,82537251
2010-09,45900933,1972603,1212456,49085991
2010-10,391427,2038356,174542,2604325
2010-11,445,1976231,174542,2151217
2010-12,404,2052708,174542,2227654
2011-01,0,2070616,174542,2245158
2011-02,0,1892557,174542,2067099
2011-03,0,2123288,174542,2297829
2011-04,0,2136986,174542,2311528
2011-05,173235,2208219,174542,2555996
2011-06,29778324,2136986,1466659,33381970
2011-07,91086351,2208219,4672905,97967476
2011-08,59426272,2293151,2409989,64129411
2011-09,7245162,2219178,185103,9649443
2011-10,12517,2293151,174542,2480210
2011-11,231566,2240885,174542,2646993
2011-12,1,2355652,174542,2530194
2012-01,1606,2378082,174542,2554230
2012-02,1502,2224658,174542,2400701
2012-03,1606,2378082,174542,2554230
2012-04,1550,2301370,174542,2477462
2012-05,2247679,2463014,202411,4913104
2012-06,90824284,2383562,3779246,96987092
2012-07,161605683,2463014,6367616,170436313
2012-08,95293396,2463014,3838525,101594935
2012-09,1564479,2383562,184199,4132239
2012-10,98,2547945,174542,2722585
2012-11,231,2465753,174542,2640527
2012-12,45,2547945,174542,2722532
2013-01,0,2547945,174542,2722487
2013-02,6,2301370,174542,2475917
2013-03,18,2632877,174542,2807436
2013-04,0,2547945,174542,2722487
2013-05,11104,2632877,174542,2818522
2013-06,26332754,2547945,926920,29807620
2013-07,80722252,2632877,4000645,87355774
2013-08,39733439,2717808,1379955,43831202
2013-09,3086706,2630137,175848,5892692
2013-10,2998480,2717808,176248,5892536
2013-11,0,2630137,174542,2804679
2013-12,0,2717808,174542,2892350
2014-01,0,2802740,174542,2977281
2014-02,0,2531507,174542,2706049
2014-03,0,2802740,174542,2977281
2014-04,0,2712329,174542,2886870
2014-05,1161427,2887671,174542,4223640
2014-06,46728707,2794521,2238549,51761776
2014-07,83783448,2887671,4154389,90825508
2014-08,78860339,2887671,3033270,84781280
2014-09,8835657,2876712,211240,11923609
2014-10,979496,2887671,174542,4041709
2014-11,245280,2794521,174542,3214342
2014-12,0,2887671,174542,3062213
2015-01,0,2802740,174542,2977282
2015-02,0,2761644,174542,2936186
2015-03,0,2972603,174542,3147145
2015-04,0,2814759,174542,2989301
2015-05,3,2845205,174542,3019751
2015-06,19296907,2677587,1336198,23310692
2015-07,93059814,2632877,4558180,100250871
2015-08,41281129,1995890,1835877,45112897
2015-09,11269122,2219178,420566,13908866
2015-10,48372,2547945,174542,2770859
2015-11,2228,2213115,174542,2389885
2015-12,2285,2038356,174542,2215183
2016-01,0,2208219,174542,2382761
2016-02,0,2360141,174542,2534682
2016-03,4111,2717808,174542,2896461
2016-04,9251,2630137,174542,2813930
2016-05,3051061,2717808,174656,5943525
2016-06,60506972,2019595,2588956,65115523
2016-07,139119200,1486301,6191360,146796862
2016-08,58354300,2165753,2785442,63305495
2016-09,3758082,2178082,175812,6111976
2016-10,2589434,2530959,174542,5294934
2016-11,0,1602740,174542,1777281
2016-12,0,2395068,174542,2569610
2017-01,17,2276164,174542,2450723
2017-02,45,2186301,174542,2360889
2017-03,14,1847260,174542,2021816
2017-04,14,1812233,174542,1986789
2017-05,7577973,1896804,268615,9743392
2017-06,28610754,410959,880761,29902474
2017-07,66325958,1358904,2896796,70581658
2017-08,34487417,2717808,1711299,38916524
2017-09,22160244,2547945,834889,25543079
2017-10,265391,3057534,174542,3497467
2017-11,10650,863014,174542,1048205
2017-12,3,1189041,174542,1363586
2018-01,0,1834521,174542,2009062
2018-02,0,1936986,174542,2111528
2018-03,0,1375890,174542,1550432
2018-04,1555,1931507,174542,2107603
2018-05,177983,1443836,174542,1796360
2018-06,27290190,493151,1278063,29061404
2018-07,76511261,396347,4204370,81111977
2018-08,45948935,467123,2240127,48656185
2018-09,5864674,465753,196621,6527048
2018-10,0,849315,174542,1023857
2018-11,0,1150685,174542,1325227
2018-12,0,1167808,174542,1342350
2019-01,0,1104110,174542,1278651
2019-02,0,498630,174542,673172
2019-03,0,1245662,174542,1420204
2019-04,1401834,986301,174561,2562696
2019-05,5899072,467123,178435,6544630
2019-06,59343771,273973,2429371,62047114
2019-07,168995475,382192,7104720,176482387
2019-08,73325476,339726,3483192,77148394
2019-09,17118486,657534,573372,18349393
2019-10,453934,905936,174542,1534412
2019-11,0,657534,174542,832076
2019-12,0,1132420,174542,1306962
2020-01,0,1132420,174542,1306962
2020-02,0,794521,174542,969062
2020-03,0,1075799,174542,1250341
2020-04,0,1068493,174542,1243035
2020-05,1645229,792694,174542,2612464
2020-06,40575142,369863,1490982,42435987
2020-07,67022455,254795,2789305,70066554
2020-08,43189040,509589,2009602,45708231
2020-09,1429872,986301,178931,2595104
2020-10,1526985,1656164,175077,3358227
2020-11,0,2164384,174542,2338925
2020-12,0,976712,174542,1151254
