# Official name: Sulussuulip Apusiia, Foreign name: K.J.V. Steenstrup Soendre Brae, Mouginot/Mankoff name: Kiv Steenstrup Sondre Brae, Mouginot region: CE, Mankoff discharge gate (2021): 225, closest NSIDC/MEASUREs ID: 166, distance to closest NSIDC/MEASUREs ID: 6258m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,83,8513054,25366,8538503
2010-02,0,7733814,25366,7759180
2010-03,0,8578082,25366,8603448
2010-04,0,7808219,25366,7833585
2010-05,50256838,8238356,696121,59191315
2010-06,190433970,8219178,2810456,201463604
2010-07,231041097,8068493,3444586,242554176
2010-08,191977161,7898630,2717756,202593546
2010-09,167691299,7972603,1997467,177661369
2010-10,30830945,8238356,244931,39314232
2010-11,12131,7963633,25366,8001130
2010-12,4757,8207974,25366,8238096
2011-01,0,8182191,25366,8207557
2011-02,0,7371318,25366,7396684
2011-03,0,8153425,25366,8178791
2011-04,0,7890411,25366,7915777
2011-05,59587,8493151,25366,8578103
2011-06,80595685,7808219,1111168,89515072
2011-07,218604799,8323288,3052654,229980741
2011-08,154058130,8068493,2159656,164286279
2011-09,62244828,7808219,618371,70671418
2011-10,191273,7983562,25607,8200442
2011-11,1325827,7726027,25443,9077297
2011-12,0,7983562,25366,8008928
2012-01,0,7983562,25366,8008928
2012-02,0,7426782,25366,7452147
2012-03,0,7898630,25366,7923996
2012-04,0,7643836,25366,7669202
2012-05,12146608,8663014,149198,20958820
2012-06,130754922,7890411,1892259,140537592
2012-07,269427490,8323288,3477795,281228573
2012-08,188844380,8747945,2555253,200147578
2012-09,30378509,8219178,267756,38865442
2012-10,1046856,8493151,25434,9565440
2012-11,0,8219178,25366,8244544
2012-12,0,8450744,25366,8476110
2013-01,0,8368149,25366,8393515
2013-02,0,7517808,25366,7543174
2013-03,0,8323288,25366,8348654
2013-04,0,8054795,25366,8080160
2013-05,391697,8493151,25366,8910214
2013-06,111408246,7808219,1553101,120769566
2013-07,215522595,8323288,3076407,226922290
2013-08,145371772,8238356,1868199,155478326
2013-09,29214357,7643836,216196,37074389
2013-10,23596488,8493151,349778,32439416
2013-11,0,8136986,25366,8162352
2013-12,0,8323288,25366,8348654
2014-01,0,8238356,25366,8263722
2014-02,0,7441096,25366,7466462
2014-03,0,8153425,25366,8178791
2014-04,179,7808219,25366,7833764
2014-05,7509860,7813699,102852,15426410
2014-06,152277415,7643836,2027624,161948875
2014-07,210656034,8238356,3228308,222122698
2014-08,181520850,8408219,2480089,192409159
2014-09,63022457,7849315,751001,71622773
2014-10,1609688,8323288,28066,9961042
2014-11,444821,8136986,25366,8607174
2014-12,0,8917808,25366,8943174
2015-01,0,8068493,25366,8093859
2015-02,0,7249315,25366,7274681
2015-03,0,7856164,25366,7881530
2015-04,42,7255249,25366,7280657
2015-05,26007,7261644,25366,7313017
2015-06,80461852,8543226,1121583,90126660
2015-07,153724802,10319178,2351563,166395543
2015-08,150360988,6497260,2172428,159030676
2015-09,103835341,8876712,1198430,113910483
2015-10,489633,8195890,25366,8710890
2015-11,0,8394677,25366,8420043
2015-12,0,9130137,25366,9155503
2016-01,0,7898630,25366,7923996
2016-02,0,7236442,25366,7261808
2016-03,0,7686301,25366,7711667
2016-04,394283,7459409,26994,7880686
2016-05,26895008,7728767,262321,34886096
2016-06,180498800,7100495,2446207,190045502
2016-07,227266360,6964384,3287576,237518319
2016-08,179488098,7091781,2433347,189013226
2016-09,50375005,7972603,437146,58784754
2016-10,26058404,9325479,70149,35454032
2016-11,177,7602740,25366,7628283
2016-12,0,8442192,25366,8467558
2017-01,0,8187397,25366,8212763
2017-02,0,7115068,25366,7140434
2017-03,0,8323288,25366,8348654
2017-04,0,8309310,25366,8334676
2017-05,38281086,8804566,576485,47662137
2017-06,103408276,8794521,1304122,113506918
2017-07,193678483,7105936,2628726,203413146
2017-08,144824600,7558904,1918838,154302342
2017-09,84631890,8547945,1039183,94219019
2017-10,6942651,8747945,64678,15755275
2017-11,87,8465753,25366,8491206
2017-12,22,9215068,25366,9240456
2018-01,0,8578082,25366,8603448
2018-02,0,7345205,25366,7370571
2018-03,0,8883836,25366,8909202
2018-04,2517,8054795,25366,8082678
2018-05,9789,8561096,25366,8596251
2018-06,88852853,9410959,1233329,99497141
2018-07,179903454,9115982,2665849,191685286
2018-08,115713760,7665068,1547230,124926058
2018-09,64682117,7698630,526738,72907485
2018-10,0,8344521,25366,8369886
2018-11,1503,7780822,25366,7807691
2018-12,0,8769178,25366,8794544
2019-01,0,8620548,25366,8645914
2019-02,0,6865753,25366,6891119
2019-03,0,9710502,25366,9735868
2019-04,10302206,7479452,77274,17858932
2019-05,44233431,8110959,517942,52862332
2019-06,196275221,7424658,2435529,206135407
2019-07,292819636,6794521,4176766,303790922
2019-08,139795774,7643836,1965586,149405195
2019-09,56121005,8095890,587790,64804685
2019-10,6547116,8408219,28616,14983951
2019-11,0,8506849,25366,8532215
2019-12,164,8747945,25366,8773475
2020-01,0,8889498,25366,8914864
2020-02,0,8700000,25366,8725366
2020-03,0,9059361,25366,9084727
2020-04,513,9123288,25366,9149167
2020-05,6240441,8804566,78977,15123984
2020-06,153011353,9205479,1872877,164089709
2020-07,181791254,8153425,2527007,192471685
2020-08,172365791,7771233,2218571,182355595
2020-09,9046270,7780822,126366,16953457
2020-10,2788670,9469863,51670,12310203
2020-11,0,8739726,25366,8765092
2020-12,0,9342466,25366,9367832
