# Official name: Sverdrup Gletsjer, Foreign name: Sverdrup Gletsjer, Mouginot/Mankoff name: Sverdrup Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 91, closest NSIDC/MEASUREs ID: 46, distance to closest NSIDC/MEASUREs ID: 4938m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,6,381879536,8643604,390523147
2010-02,5,343350954,8643604,351994564
2010-03,6,378539726,8643604,387183336
2010-04,6,364602740,8643604,373246350
2010-05,28530411,366224658,8728445,403483514
2010-06,439019820,385315068,15662701,839997589
2010-07,542634232,398838356,16436850,957909439
2010-08,499234770,399432877,16924104,915591751
2010-09,9375769,388109589,8700562,406185920
2010-10,16,402660274,8643604,411303894
2010-11,3417275,391258228,8643604,403319108
2010-12,16424,405872802,8643604,414532831
2011-01,0,407488665,8643604,416132269
2011-02,0,369510517,8643604,378154121
2011-03,0,410558904,8643604,419202508
2011-04,0,398876712,8643604,407520317
2011-05,0,416589041,8643604,425232645
2011-06,287467636,412931507,12338938,712738081
2011-07,955682643,439265753,24979846,1419928243
2011-08,301864193,398328767,13865686,714058646
2011-09,3378109,389178082,8643805,401199996
2011-10,1,405802740,8643604,414446345
2011-11,0,396381316,8643605,405024921
2011-12,0,413275226,8643604,421918831
2012-01,0,417098630,8643604,425742234
2012-02,0,393800941,8643604,402444546
2012-03,0,424572603,8643604,433216207
2012-04,0,414575342,8643604,423218947
2012-05,27923616,411068493,8878055,447870164
2012-06,501011333,431753425,16538724,949303482
2012-07,993119911,438501370,33868671,1465489951
2012-08,526633844,413701370,19440472,959775686
2012-09,4299250,382356164,8643609,395299024
2012-10,1398855,409709589,8643604,419752048
2012-11,0,408739726,8643604,417383330
2012-12,0,422669070,8643604,431312674
2013-01,4,422829601,8643604,431473209
2013-02,3,381950685,8643604,390594293
2013-03,4,422873973,8643604,431517581
2013-04,4,409232877,8643604,417876485
2013-05,4,432301370,8643604,440944978
2013-06,190847769,418273973,11408444,620530186
2013-07,481332818,443087671,17115816,941536306
2013-08,157296817,418457534,10386419,586140770
2013-09,5615752,396986301,8643608,411245661
2013-10,37,411068493,8643608,419712138
2013-11,17,398630137,8643608,407273762
2013-12,18,412852055,8643609,421495682
2014-01,19,413786301,8643610,422429931
2014-02,18,374816438,8643610,383460065
2014-03,19,415994521,8643610,424638150
2014-04,19,396904110,8643610,405547738
2014-05,19,419391781,8643610,428035410
2014-06,260266040,414739726,11632790,686638556
2014-07,678339954,427884932,24020460,1130245346
2014-08,300779751,408265753,12187674,721233178
2014-09,1894504,393986301,8643605,404524410
2014-10,1772422,397139726,8643604,407555752
2014-11,69,384000000,8643604,392643673
2014-12,71,396545205,8643604,405188881
2015-01,135,396205479,8643604,404849219
2015-02,124,361391781,8643604,370035509
2015-03,135,407373973,8643604,416017712
2015-04,130,392085453,8643604,400729187
2015-05,1354157,403042466,8643604,413040227
2015-06,289764275,400293993,12247866,702306134
2015-07,1036494228,423723288,33056982,1493274498
2015-08,138818570,411110959,10339365,560268894
2015-09,7037435,393698630,8643604,409379669
2015-10,5,396927397,8643604,405571007
2015-11,5,387765487,8643604,396409097
2015-12,5,404273973,8643604,412917582
2016-01,0,403297260,8643604,411940865
2016-02,0,379424976,8643604,388068580
2016-03,0,408308219,8643604,416951823
2016-04,3,395920802,8643604,404564409
2016-05,161531,410091781,8643604,418896916
2016-06,139026733,412991469,9962251,561980453
2016-07,829620507,441813699,26347107,1297781313
2016-08,353747572,424487671,13071452,791306695
2016-09,1231898,415438356,8643634,425313889
2016-10,4,434016986,8643604,442660594
2016-11,3,429698630,8643604,438342237
2016-12,0,445075068,8643604,453718673
2017-01,0,442017534,8643604,450661139
2017-02,0,404849315,8643604,413492919
2017-03,0,438607534,8643604,447251139
2017-04,0,430464937,8643604,439108541
2017-05,606,452373516,8643604,461017726
2017-06,111258726,440095890,9757043,561111659
2017-07,510171635,472728767,15231140,998131542
2017-08,309686914,460541096,12262009,782490018
2017-09,4777781,438821918,8643855,452243553
2017-10,77654,460201370,8643604,468922628
2017-11,0,454520548,8643604,463164152
2017-12,0,469013014,8643604,477656618
2018-01,7,446433973,8643604,455077584
2018-02,6,396526027,8643604,405169638
2018-03,7,443376438,8643604,452020050
2018-04,6,426780822,8643604,435424433
2018-05,720086,453415342,8643604,462779033
2018-06,158513410,440424658,10053667,608991735
2018-07,214047682,467831050,11061853,692940585
2018-08,341514062,470860274,13691149,826065485
2018-09,5313796,441315068,8672608,455301472
2018-10,67,448905479,8643604,457549151
2018-11,8,432438356,8643604,441081969
2018-12,9,430623973,8643604,439267586
2019-01,1,426228767,8643604,434872372
2019-02,1,391463014,8643604,400106619
2019-03,1,426610959,8643604,435254564
2019-04,2496348,419589041,8643626,430729015
2019-05,92474981,437269863,9152403,538897247
2019-06,378542044,428493151,13089399,820124594
2019-07,1030298602,441516438,27804560,1499619600
2019-08,457326766,432046575,17076534,906449875
2019-09,28387338,408000000,8754836,445142174
2019-10,435387,422930594,8643604,432009585
2019-11,199,416424658,8643604,425068461
2019-12,1,432244749,8643604,440888355
2020-01,0,425818265,8643604,434461869
2020-02,0,399802740,8643604,408446344
2020-03,0,424119635,8643604,432763239
2020-04,12,415438356,8643604,424081973
2020-05,175829,427969863,8643604,436789296
2020-06,206137886,414164384,10656878,630959147
2020-07,645783384,441190868,18732930,1105707182
2020-08,273754098,438968493,12560981,725283572
2020-09,840653,411369863,8647621,420858137
2020-10,3530161,433660274,8643639,445834074
2020-11,10,425068493,8643604,433712108
2020-12,0,430645205,8643604,439288810
