# Official name: Sydbrae, Foreign name: Sydbrae, Mouginot/Mankoff name: Sydbrae, Mouginot region: CE, Mankoff discharge gate (2021): 152, closest NSIDC/MEASUREs ID: 128, distance to closest NSIDC/MEASUREs ID: 3452m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,13415,21171673,490250,21675337
2010-02,12117,20473855,490233,20976205
2010-03,13415,23865753,490250,24369418
2010-04,12976,24246575,490244,24749795
2010-05,1797984,30320548,490250,32608782
2010-06,151641154,27205479,3461382,182308016
2010-07,270047242,15627397,5622395,291297034
2010-08,144874389,14947945,2711999,162534334
2010-09,57269989,13150685,1087629,71508303
2010-10,45608,15032877,490173,15568658
2010-11,6680,15952128,490165,16448973
2010-12,6882,17852096,490273,18349252
2011-01,884,19282918,490079,19773881
2011-02,798,18774471,490079,19265348
2011-03,996,22252055,490079,22743130
2011-04,854,23342466,490079,23833398
2011-05,882,23865753,490079,24356714
2011-06,50948567,25150685,666397,76765649
2011-07,200837791,14268493,4818373,219924657
2011-08,115083058,21997260,1975946,139056265
2011-09,3325187,10273973,491521,14090680
2011-10,139,12315068,490087,12805295
2011-11,0,13603481,490079,14093560
2011-12,0,15739032,490079,16229111
2012-01,496,17495890,490083,17986470
2012-02,378,18057986,490083,18548447
2012-03,404,20978082,490083,21468570
2012-04,391,21945205,490083,22435680
2012-05,5141833,27432877,490083,33064793
2012-06,176821048,25068493,3359141,205248682
2012-07,285281057,13589041,6048301,304918399
2012-08,230929955,15967123,4019123,250916201
2012-09,653349,15616438,490099,16759886
2012-10,4225,18600000,490089,19094315
2012-11,3498,20054795,490089,20548381
2012-12,3579,19990374,490089,20484042
2013-01,0,18312076,490080,18802156
2013-02,0,15035616,490080,15525697
2013-03,0,15457534,490080,15947615
2013-04,0,21616438,490080,22106519
2013-05,1,22336986,490080,22827068
2013-06,121209425,20136986,1756768,143103179
2013-07,273481776,23610959,5306947,302399682
2013-08,110761516,14353425,2074375,127189317
2013-09,12193912,12410959,585736,25190607
2013-10,2,14268493,490079,14758574
2013-11,1027,15369863,490080,15860969
2013-12,5,17410959,490079,17901042
2014-01,2188,18939726,490079,19431993
2014-02,1951,18564384,490079,19056413
2014-03,2158,21402740,490079,21894977
2014-04,1862,23095890,490079,23587832
2014-05,111307,23950685,490079,24552070
2014-06,114673277,25561644,1594384,141829305
2014-07,176204727,18090411,3666388,197961526
2014-08,111658071,15202740,1884477,128745288
2014-09,6737567,16849315,490141,24077023
2014-10,12,18769863,490143,19260018
2014-11,10,19068493,490141,19558644
2014-12,3,20680822,490143,21170968
2015-01,592,21657534,490089,22148215
2015-02,0,19369863,490218,19860081
2015-03,0,24078082,490079,24568161
2015-04,0,23398155,491866,23890021
2015-05,0,24205479,490110,24695590
2015-06,70329084,19887724,663083,90879890
2015-07,192339678,17071233,4798774,214209684
2015-08,88437149,19406849,1595324,109439322
2015-09,34545310,23260274,870855,58676438
2015-10,123567,18090411,490111,18704089
2015-11,127502,17921275,490105,18538881
2015-12,38351,19619178,490095,20147623
2016-01,0,23865753,490079,24355832
2016-02,0,23193326,490079,23683404
2016-03,0,25097260,490079,25587339
2016-04,0,23547589,490079,24037667
2016-05,1061177,22761644,490079,24312900
2016-06,139096521,18528217,2689328,160314066
2016-07,263266673,16519178,5898239,285684090
2016-08,130162577,16519178,1534841,148216596
2016-09,3371389,18739726,490079,22601194
2016-10,13499,18583014,490079,19086591
2016-11,6867,19068493,490079,19565439
2016-12,1445,18973699,490079,19465223
2017-01,16014,21130959,490114,21637087
2017-02,716,18909589,491613,19401918
2017-03,793,22018493,490208,22509494
2017-04,767,21673872,491097,22165735
2017-05,18290145,22535160,491504,41316808
2017-06,75194585,18698630,681619,94574834
2017-07,197778958,20015525,3895025,221689509
2017-08,117057721,19619178,1611180,138288079
2017-09,41345920,23178082,1343365,65867367
2017-10,38394,19279452,495293,19813139
2017-11,6267,19397260,493032,19896560
2017-12,5952,22485616,490209,22981777
2018-01,2115,20757260,491279,21250654
2018-02,1334,20405479,490201,20897014
2018-03,507,21521644,495655,22017806
2018-04,29,20958904,490210,21449143
2018-05,46094,22574795,490214,23111103
2018-06,78819493,21205479,1104117,101129090
2018-07,213520366,21063014,5976454,240559833
2018-08,102185062,19343151,2359997,123888209
2018-09,7305151,17808219,503654,25617025
2018-10,10478,21381507,491527,21883512
2018-11,13730,22164384,490254,22668367
2018-12,1466,21678767,490482,22170715
2019-01,5736,21445205,490081,21941023
2019-02,5361,20021918,490079,20517357
2019-03,12163,21374429,490079,21876671
2019-04,10884,19863014,490079,20363976
2019-05,15017145,21784932,490079,37292155
2019-06,187943011,18958904,3113046,210014961
2019-07,287498214,17920548,5856943,311275705
2019-08,134997317,16108676,2270154,153376147
2019-09,1951205,16273973,490079,18715256
2019-10,5683,17071233,490079,17566994
2019-11,5843,19684932,490080,20180855
2019-12,7138,18769863,490079,19267080
2020-01,1856,19562557,490190,20054603
2020-02,644,18393151,490183,18883978
2020-03,689,20015525,490190,20506404
2020-04,1167,18410959,490186,18902312
2020-05,1725,21317808,490190,21809723
2020-06,86064167,20712329,678767,107455263
2020-07,149646187,16420091,3888898,169955176
2020-08,118619751,17156164,1778926,137554841
2020-09,336622,16164384,490170,16991176
2020-10,122905,19491781,490173,20104859
2020-11,1932,17917808,490170,18409910
2020-12,1491,19109589,490173,19601254
