# Official name: Thrym Gletsjer, Foreign name: Thrym Gletsjer, Mouginot/Mankoff name: Skinfaxe, Mouginot region: SE, Mankoff discharge gate (2021): 300, closest NSIDC/MEASUREs ID: 224, distance to closest NSIDC/MEASUREs ID: 411m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,3113,9926482,32879,9962475
2010-02,13473,9083546,31124,9128143
2010-03,1839,10276712,33206,10311757
2010-04,1114,10438356,31082,10470553
2010-05,31434543,12739726,191536,44365805
2010-06,131837926,12821918,1671133,146330977
2010-07,186537529,5095890,3635047,195268466
2010-08,177636352,5860274,3475233,186971859
2010-09,124412423,9863014,1705948,135981385
2010-10,24284757,9682192,129241,34096190
2010-11,362,8806403,31081,8837846
2010-12,128,8474288,31081,8505497
2011-01,683,7878058,39254,7917995
2011-02,606,6728472,31081,6760160
2011-03,684,7304110,31081,7335875
2011-04,662,11835616,31081,11867360
2011-05,1144,6115068,31081,6147294
2011-06,73481874,7972603,856203,82310680
2011-07,201565678,7813699,3419634,212799010
2011-08,134781151,6200000,2087843,143068995
2011-09,24125628,4438356,177825,28741809
2011-10,10841,5605479,31081,5647401
2011-11,76,6467314,31081,6498472
2011-12,66,7738603,31081,7769751
2012-01,9688,8832877,31081,8873646
2012-02,27940,9544575,31081,9603595
2012-03,1220,10956164,31081,10988466
2012-04,1182,9041096,38508,9080786
2012-05,21100559,13758904,97717,34957180
2012-06,156282178,8876712,3020375,168179266
2012-07,227815384,3057534,4327033,235199951
2012-08,180056447,6284932,2992688,189334067
2012-09,27723807,4027397,238682,31989885
2012-10,52479,2547945,31081,2631505
2012-11,1099,7643836,31081,7676016
2012-12,1661,8654790,31081,8687533
2013-01,8484,9052347,31081,9091913
2013-02,6272,8515068,31081,8552422
2013-03,1226,9852055,31081,9884362
2013-04,1178,9123288,31081,9155547
2013-05,1609,9767123,31081,9799814
2013-06,69354856,6657534,496532,76508922
2013-07,148890916,4076712,2438714,155406343
2013-08,114164972,3312329,1689140,119166440
2013-09,12946702,9863014,155901,22965617
2013-10,183358,4416438,31081,4630878
2013-11,1303,9945205,31081,9977590
2013-12,1108,8238356,31081,8270546
2014-01,328,6200000,31081,6231409
2014-02,813,3682192,31081,3714086
2014-03,135,5605479,31081,5636695
2014-04,100,6986301,31081,7017483
2014-05,9940641,8747945,31081,18719667
2014-06,120868697,7808219,1241288,129918205
2014-07,179211976,6624658,2836826,188673459
2014-08,177895488,3312329,2931143,184138959
2014-09,35459647,7397260,309281,43166188
2014-10,90,6539726,32017,6571832
2014-11,0,6575342,31081,6606424
2014-12,0,5817808,31081,5848890
2015-01,657,7431507,31081,7463245
2015-02,914,8169863,31081,8201858
2015-03,0,8493151,31081,8524232
2015-04,0,7541718,31081,7572800
2015-05,0,7261644,31081,7292725
2015-06,63993299,6841374,632021,71466694
2015-07,132998122,6836986,2608756,142443864
2015-08,121352290,5308219,1950965,128611475
2015-09,51427519,5424658,589128,57441304
2015-10,1135,5902740,31562,5935437
2015-11,21,5203935,31618,5235575
2015-12,0,4756164,31081,4787246
2016-01,1207,4586301,31149,4618658
2016-02,632,4461742,31865,4494239
2016-03,779,5180822,31855,5213456
2016-04,68030,6734627,31081,6833738
2016-05,7038013,8408219,31081,15477314
2016-06,137891245,7052280,1796691,146740216
2016-07,168183475,5223288,3146540,176553303
2016-08,147036093,2632877,2387915,152056885
2016-09,34697839,5958904,326982,40983725
2016-10,4287716,4297534,31081,8616331
2016-11,7726,5178082,31081,5216890
2016-12,7297,5877260,31081,5915639
2017-01,9,5996164,31171,6027344
2017-02,1,6405479,31162,6436642
2017-03,0,6879452,31171,6910623
2017-04,0,6994385,31168,7025553
2017-05,25943625,7558904,224422,33726951
2017-06,95802491,5589041,1203850,102595382
2017-07,174660114,6483105,2772327,183915546
2017-08,130105038,6539726,2436639,139081403
2017-09,45577931,9287671,623334,55488936
2017-10,1100,5902740,31081,5934921
2017-11,302,7808219,31081,7839602
2017-12,328,8854110,31081,8885519
2018-01,152,9648219,31081,9679453
2018-02,133,8035616,31081,8066830
2018-03,144,10225753,31081,10256979
2018-04,151,10068493,31081,10099725
2018-05,230,8510137,31081,8541448
2018-06,70817185,6657534,557895,78032615
2018-07,157960236,7785388,2989480,168735104
2018-08,141098969,6030137,2240074,149369180
2018-09,9633374,6164384,54850,15852608
2018-10,2070,8620548,31081,8653699
2018-11,1698,8520548,31081,8553328
2018-12,1361,10892466,31081,10924908
2019-01,29,10489041,31081,10520151
2019-02,1540,10126027,31252,10158819
2019-03,1091,11154338,31484,11186913
2019-04,2991,8520548,33199,8556738
2019-05,23571332,8832877,144943,32549152
2019-06,122148306,8054795,1474871,131677972
2019-07,197785709,4458904,3469138,205713751
2019-08,130219195,4473059,1988868,136681123
2019-09,39582504,5712329,295427,45590261
2019-10,1196129,6511416,32308,7739852
2019-11,0,6369863,31081,6400944
2019-12,0,8719635,31081,8750716
2020-01,469,8606393,31141,8638003
2020-02,894,8978082,31256,9010232
2020-03,89,9370776,31241,9402106
2020-04,1241,9369863,31246,9402349
2020-05,12256724,8153425,40960,20451108
2020-06,100372150,7191781,1364845,108928776
2020-07,153092666,4501370,3100959,160694994
2020-08,144507413,3694521,2376903,150578836
2020-09,16242447,3068493,164883,19475824
2020-10,12817,5053425,31081,5097323
2020-11,1793,6493151,31081,6526025
2020-12,5076,7516438,31081,7552596
