# Official name: Toornaarsulissuup Sermii, Foreign name: Melville Gletsjer, Mouginot/Mankoff name: Melville Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 36, closest NSIDC/MEASUREs ID: 82, distance to closest NSIDC/MEASUREs ID: 10503m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,75658635,329059,75987695
2010-02,0,69659409,329058,69988467
2010-03,0,78476712,329059,78805771
2010-04,0,77424658,329059,77753716
2010-05,3802272,81534247,332836,85669355
2010-06,81878332,80383562,703724,162965618
2010-07,119301817,71172603,1427704,191902124
2010-08,56491544,72701370,738444,129931358
2010-09,818034,71835616,329654,72983305
2010-10,0,75673973,329054,76003026
2010-11,0,74678400,329050,75007450
2010-12,0,78613016,329050,78942066
2011-01,0,80109554,329050,80438604
2011-02,0,73714459,329050,74043508
2011-03,0,82978082,329050,83307132
2011-04,0,81780822,329050,82109871
2011-05,759537,85950685,329050,87039271
2011-06,97903637,84575342,760385,183239365
2011-07,234485311,77202740,2606799,314294850
2011-08,80771711,77627397,1397555,159796663
2011-09,16467,75452055,329050,75797572
2011-10,0,78391781,329050,78720831
2011-11,9,76235933,329050,76564991
2011-12,0,79126736,329050,79455785
2012-01,0,79495890,329050,79824940
2012-02,0,74730459,329050,75059508
2012-03,0,80260274,329050,80589324
2012-04,0,78082192,329050,78411241
2012-05,3840426,81024658,334208,85199292
2012-06,104936587,78821918,1849573,185608078
2012-07,244791194,74400000,6127811,325319006
2012-08,79532233,80175342,2014545,161722121
2012-09,3202,76109589,329050,76441841
2012-10,0,77202740,329050,77531789
2012-11,0,73479452,329050,73808502
2012-12,0,76118461,329050,76447511
2013-01,303,76544935,329050,76874287
2013-02,273,69501370,329050,69830693
2013-03,303,77202740,329050,77532092
2013-04,293,75041096,329050,75370438
2013-05,437,82383562,329050,82713048
2013-06,32166930,68876712,435000,101478642
2013-07,96838030,73041096,2103084,171982211
2013-08,38203321,69898630,1003430,109105381
2013-09,13369,65671233,329050,66013651
2013-10,1271,68454795,329050,68785115
2013-11,1218,66739726,329050,67069994
2013-12,1259,69558904,329050,69889213
2014-01,0,70068493,329050,70397543
2014-02,0,63824658,329050,64153707
2014-03,0,71172603,329050,71501652
2014-04,0,68301370,329050,68630419
2014-05,1117,76438356,329050,76768523
2014-06,52997931,71753425,576113,125327469
2014-07,171272936,76013699,3762697,251049331
2014-08,70688296,69473973,1214217,141376485
2014-09,36465,62178082,329372,62543919
2014-10,65634,62764384,329050,63159068
2014-11,0,60328767,329050,60657817
2014-12,0,61915068,329050,62244118
2015-01,0,62552055,329050,62881104
2015-02,0,58569863,329050,58898913
2015-03,0,69346575,329050,69675625
2015-04,0,65404282,329050,65733331
2015-05,1293065,65906849,329050,67528964
2015-06,61821056,65991406,467437,128279899
2015-07,299626755,70365753,6174562,376167071
2015-08,29474126,66161644,556634,96192404
2015-09,366,61561644,329050,61891059
2015-10,0,66756164,329050,67085214
2015-11,0,63879194,329050,64208244
2015-12,0,64845205,329050,65174255
2016-01,0,63953425,329050,64282474
2016-02,0,58799671,329050,59128720
2016-03,0,62254795,329050,62583844
2016-04,0,61323364,329050,61652414
2016-05,145680,65015068,329050,65489798
2016-06,62626130,64231673,547057,127404859
2016-07,203658088,67095890,3518652,274272630
2016-08,77686278,64208219,999757,142894254
2016-09,57146,56671233,329074,57057453
2016-10,146,55545205,329050,55874401
2016-11,0,57780822,329050,58109871
2016-12,0,61745205,329050,62074255
2017-01,0,63036164,329050,63365214
2017-02,0,55750685,329050,56079735
2017-03,0,60641096,329050,60970145
2017-04,0,59829579,329050,60158629
2017-05,59185,63670320,329050,64058554
2017-06,25419390,63000000,372459,88791849
2017-07,102617067,68568037,779524,171964628
2017-08,55965191,66968493,686294,123619978
2017-09,194921,66082192,329050,66606162
2017-10,6735,62806849,329050,63142634
2017-11,11,59013699,329050,59342759
2017-12,0,63316438,329050,63645488
2018-01,0,62373699,329050,62702748
2018-02,0,57476712,329050,57805762
2018-03,0,61252603,329050,61581652
2018-04,0,55808219,329050,56137269
2018-05,79012,64378082,329050,64786143
2018-06,36114377,63534247,373639,100022263
2018-07,46007539,67124201,394983,113526723
2018-08,50121820,67584247,608570,118314637
2018-09,3237,55890411,329050,56222697
2018-10,0,60704795,329050,61033844
2018-11,0,59589041,329050,59918091
2018-12,0,63868493,329050,64197543
2019-01,0,59069863,329050,59398913
2019-02,0,57879452,329050,58208502
2019-03,0,61207306,329050,61536356
2019-04,10151,63616438,329050,63955639
2019-05,13375703,64802740,335497,78513940
2019-06,64409268,63863014,517602,128789884
2019-07,237269590,61108219,3533642,301911451
2019-08,128006247,58715982,2174205,188896434
2019-09,2857811,54698630,331469,57887910
2019-10,422792,56366210,329050,57118052
2019-11,19,57986301,329050,58315370
2019-12,0,58914155,329050,59243205
2020-01,0,57130594,329050,57459643
2020-02,0,57523288,329050,57852337
2020-03,0,56224658,329050,56553707
2020-04,0,55438356,329050,55767406
2020-05,483730,60839269,329050,61652049
2020-06,63111350,60082192,635651,123829193
2020-07,220865196,61490411,3564022,285919629
2020-08,61970386,60089041,1348952,123408380
2020-09,19627,52849315,329050,53197991
2020-10,3865,54823288,329050,55156202
2020-11,71,53890411,329050,54219531
2020-12,3,55247945,329050,55576998
