# Official name: Toornaarsulissuup Sermii, Foreign name: Sharp Gletsjer, Mouginot/Mankoff name: Sharp, Mouginot region: NW, Mankoff discharge gate (2021): 37, closest NSIDC/MEASUREs ID: 83, distance to closest NSIDC/MEASUREs ID: 7887m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,6694393,51238,6745630
2010-02,0,5974427,51238,6025665
2010-03,0,6539726,51238,6590964
2010-04,0,6246575,51238,6297813
2010-05,1362880,6369863,51238,7783981
2010-06,38011788,6082192,667252,44761232
2010-07,59789054,6284932,1757277,67831262
2010-08,29117349,6284932,616600,36018881
2010-09,373712,6082192,51238,6507142
2010-10,0,6284932,51238,6336169
2010-11,0,6091162,51238,6142400
2010-12,0,6315314,51238,6366552
2011-01,0,6341097,51238,6392334
2011-02,0,5746490,51238,5797727
2011-03,0,6369863,51238,6421101
2011-04,0,6164384,51238,6215621
2011-05,85355,6369863,51238,6506456
2011-06,49133528,6164384,690580,55988491
2011-07,120679717,7304110,3304735,131288562
2011-08,41552184,7134247,1214210,49900640
2011-09,2303,6739726,51238,6793266
2011-10,0,6879452,51238,6930690
2011-11,0,6538850,51238,6590088
2011-12,0,6613398,51238,6664636
2012-01,0,6454795,51238,6506032
2012-02,0,5862597,51238,5913835
2012-03,0,6115068,51238,6166306
2012-04,0,5835616,51238,5886854
2012-05,1376642,5860274,51238,7288154
2012-06,50577692,5506849,1071140,57155681
2012-07,120354107,7134247,3441152,130929506
2012-08,36591444,6284932,1067953,43944328
2012-09,464,6082192,51238,6133893
2012-10,0,6369863,51238,6421101
2012-11,0,6246575,51238,6297813
2012-12,0,6433591,51238,6484829
2013-01,0,6392294,51238,6443531
2013-02,0,5753425,51238,5804662
2013-03,0,6369863,51238,6421101
2013-04,0,6164384,51238,6215621
2013-05,3,7473973,51238,7525214
2013-06,13047477,5013699,135020,18196196
2013-07,53147267,6030137,1137793,60315197
2013-08,21837850,6964384,510804,29313038
2013-09,1606,6493151,51238,6545995
2013-10,0,6879452,51238,6930690
2013-11,0,6739726,51238,6790964
2013-12,0,7049315,51238,7100553
2014-01,0,7219178,51238,7270416
2014-02,0,6597260,51238,6648498
2014-03,0,7389041,51238,7440279
2014-04,0,6164384,51238,6215621
2014-05,2,6115068,51238,6166308
2014-06,21517425,5671233,313473,27502131
2014-07,69967886,7983562,2140696,80092143
2014-08,29732402,8238356,697296,38668054
2014-09,2,7438356,51238,7489596
2014-10,7559,7049315,51238,7108112
2014-11,0,6575342,51238,6626580
2014-12,0,6539726,51238,6590964
2015-01,0,6284932,51238,6336169
2015-02,0,7632877,51238,7684114
2015-03,0,7601370,51238,7652608
2015-04,0,6815669,51238,6866907
2015-05,149605,6794521,51238,6995363
2015-06,26893422,7859586,187193,34940201
2015-07,133112219,9384932,3620761,146117912
2015-08,15622307,8195890,331180,24149378
2015-09,16,6904110,51238,6955363
2015-10,0,7473973,51238,7525210
2015-11,0,7190770,51238,7242008
2015-12,0,7389041,51238,7440279
2016-01,0,8068493,51238,8119731
2016-02,0,6901416,51238,6952653
2016-03,0,6752055,51238,6803293
2016-04,0,6976363,51238,7027601
2016-05,21055,7643836,51238,7716129
2016-06,28796464,7376758,390280,36563502
2016-07,100881487,7558904,2549792,110990183
2016-08,34149792,6921918,873415,41945126
2016-09,17514,6575342,51238,6644094
2016-10,2893,6386849,51238,6440980
2016-11,0,6000000,51238,6051238
2016-12,0,6522740,51238,6573977
2017-01,0,6862466,51238,6913703
2017-02,0,6865753,51238,6916991
2017-03,0,7813699,51238,7864936
2017-04,0,7535743,51238,7586981
2017-05,8513,7700457,51238,7760208
2017-06,11073193,5342466,54752,16470410
2017-07,50335235,6652968,793396,57781599
2017-08,23894524,7856164,539314,32290002
2017-09,8579,6821918,51238,6881735
2017-10,0,6454795,51238,6506032
2017-11,0,6410959,51238,6462197
2017-12,0,6667123,51238,6718361
2018-01,0,8017534,51238,8068772
2018-02,0,6616438,51238,6667676
2018-03,0,6318904,51238,6370142
2018-04,0,5917808,51238,5969046
2018-05,10574,7847671,51238,7909483
2018-06,17057994,5794521,51238,22903752
2018-07,21761612,6454795,51238,28267644
2018-08,24343262,6645890,569344,31558497
2018-09,470,6191781,51238,6243488
2018-10,0,7304110,51238,7355347
2018-11,0,5917808,51238,5969046
2018-12,0,6730822,51238,6782060
2019-01,0,6879452,51238,6930690
2019-02,0,5945205,51238,5996443
2019-03,0,6851142,51238,6902379
2019-04,17,7123288,51238,7174542
2019-05,6460167,6369863,51238,12881267
2019-06,26913383,5342466,315972,32571820
2019-07,104136699,5053425,2669784,111859907
2019-08,56222822,5237443,1116386,62576652
2019-09,1203882,6082192,51239,7337313
2019-10,154736,7162557,51238,7368531
2019-11,0,5794521,51238,5845758
2019-12,0,6115068,51238,6166306
2020-01,0,7389041,51238,7440279
2020-02,0,6078082,51238,6129320
2020-03,0,7785388,51238,7836626
2020-04,0,7109589,51238,7160827
2020-05,70309,7134247,51238,7255793
2020-06,29180800,5260274,593176,35034250
2020-07,100007329,5067580,2797921,107872830
2020-08,31844466,5350685,733192,37928343
2020-09,249,6136986,51238,6188473
2020-10,0,6921918,51238,6973156
2020-11,0,6136986,51238,6188224
2020-12,0,7049315,51238,7100553
