# Official name: Tuttulikassaap Sermia, Foreign name: Hayes Gletsjer, Mouginot/Mankoff name: Hayes Gletscher N Nn, Mouginot region: NW, Mankoff discharge gate (2021): 103, closest NSIDC/MEASUREs ID: 39, distance to closest NSIDC/MEASUREs ID: 4389m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,591895588,14566468,606462056
2010-02,0,534500558,14566468,549067026
2010-03,0,591632877,14566468,606199345
2010-04,0,572383562,14566468,586950030
2010-05,16041188,569890411,14664335,600595934
2010-06,226701497,628273973,21192101,876167570
2010-07,271197382,628323288,23774744,923295413
2010-08,267102886,604542466,24017420,895662772
2010-09,8836511,562027397,14683799,585547707
2010-10,2222,584923288,14566468,599491978
2010-11,4593605,570210216,14588047,589391868
2010-12,4017,593373577,14566518,607944112
2011-01,0,597656997,14566468,612223465
2011-02,0,543666158,14566468,558232626
2011-03,0,605731507,14566468,620297975
2011-04,0,590219178,14566468,604785646
2011-05,0,613969863,14566468,628536331
2011-06,123229458,641013699,18119766,782362922
2011-07,418795895,684378082,28640994,1131814972
2011-08,160814086,620084932,19669174,800568192
2011-09,3261580,571972603,14596968,589831151
2011-10,0,595115068,14566485,609681554
2011-11,0,579952033,14566485,594518517
2011-12,0,603294518,14566485,617861004
2012-01,0,607430137,14566468,621996605
2012-02,0,572097593,14566468,586664061
2012-03,0,615413699,14566468,629980167
2012-04,0,599589041,14566468,614155509
2012-05,17736679,639364384,14700184,671801247
2012-06,269275192,653917808,22501325,945694326
2012-07,390761092,683358904,33060265,1107180261
2012-08,255449620,647687671,23182737,926320028
2012-09,8119828,623835616,14621412,646576856
2012-10,1043106,641572603,14570385,657186094
2012-11,0,618410959,14566468,632977427
2012-12,0,641873655,14566468,656440123
2013-01,0,648367948,14566468,662934416
2013-02,0,591375342,14566468,605941810
2013-03,0,659153425,14566468,673719893
2013-04,0,626465753,14566468,641032221
2013-05,0,626964384,14566468,641530852
2013-06,124590577,608383562,17116125,750090264
2013-07,270637554,696863014,22644921,990145488
2013-08,106551456,650745205,16347082,773643744
2013-09,8573420,627698630,14634470,650906520
2013-10,0,677073973,14566468,691640441
2013-11,0,663863014,14566468,678429482
2013-12,0,694654795,14566468,709221263
2014-01,0,703657534,14566468,718224002
2014-02,0,643846575,14566468,658413043
2014-03,0,721068493,14566468,735634961
2014-04,0,692219178,14566468,706785646
2014-05,0,717841096,14566468,732407564
2014-06,143182815,712684932,17701891,873569637
2014-07,284696672,755805479,27962179,1068464330
2014-08,205091490,685991781,19046191,910129462
2014-09,2394752,676726027,14581380,693702159
2014-10,648194,705695890,14566468,720910552
2014-11,0,683589041,14566468,698155509
2014-12,0,707054795,14566468,721621263
2015-01,0,707819178,14566468,722385646
2015-02,0,635600000,14566468,650166468
2015-03,0,734487671,14566468,749054139
2015-04,0,693741447,14566468,708307915
2015-05,21851,700090411,14566536,714678798
2015-06,130226902,692707243,17959402,840893547
2015-07,371844306,730750685,33551277,1136146268
2015-08,97885734,708583562,16570661,823039956
2015-09,5155901,660000000,14606041,679761941
2015-10,0,713000000,14566482,727566482
2015-11,0,672652182,14566481,687218663
2015-12,0,678008219,14566482,692574701
2016-01,0,683358904,14566468,697925372
2016-02,0,638214016,14566468,652780484
2016-03,0,680173973,14566468,694740441
2016-04,0,654609046,14566468,669175514
2016-05,69839,673889041,14566468,688525348
2016-06,95156705,665687878,16373431,777218013
2016-07,325143592,701194521,28899613,1055237726
2016-08,204190018,700515068,19048311,923753398
2016-09,555302,648945205,14576885,664077392
2016-10,0,679418082,14566524,693984606
2016-11,0,657000000,14566471,671566471
2016-12,0,664826849,14566468,679393317
2017-01,0,653785753,14566468,668352221
2017-02,0,577528767,14566468,592095235
2017-03,0,640065068,14566468,654631536
2017-04,0,619195794,14566468,633762262
2017-05,13257,639109589,14566468,653689314
2017-06,73224680,606082192,15926588,695233459
2017-07,291921826,635740639,20708674,948371139
2017-08,195090533,645352055,18620859,859063447
2017-09,5026324,609945205,14607476,629579005
2017-10,39902,628110959,14566468,642717329
2017-11,0,614753425,14566468,629319893
2017-12,0,626327397,14566468,640893865
2018-01,0,637326027,14566468,651892495
2018-02,0,560939726,14566468,575506194
2018-03,0,617570959,14566468,632137427
2018-04,0,603328767,14566468,617895235
2018-05,1289964,612509041,14581385,628380390
2018-06,113587744,572876712,16137614,702602070
2018-07,167668683,608364384,16948582,792981649
2018-08,198706440,620212329,21066377,839985145
2018-09,6647417,589808219,14612118,611067753
2018-10,0,610976027,14566468,625542495
2018-11,0,588931507,14566468,603497975
2018-12,0,607154110,14566468,621720578
2019-01,0,610869863,14566468,625436331
2019-02,0,552290411,14566468,566856879
2019-03,0,598399087,14566468,612965555
2019-04,870521,580246575,14572882,595689977
2019-05,62512782,574306849,15109470,651929101
2019-06,197586231,558465753,18813034,774865019
2019-07,432370144,596304110,31879578,1060553831
2019-08,203420749,581441096,22246498,807108342
2019-09,23295409,547397260,14806622,585499291
2019-10,679618,575835616,14570046,591085280
2019-11,0,571027397,14566468,585593865
2019-12,0,590698630,14566468,605265098
2020-01,0,581441096,14566468,596007564
2020-02,0,548775342,14566468,563341810
2020-03,0,580110502,14566468,594676970
2020-04,0,575054795,14566468,589621263
2020-05,903027,585659361,14566468,601128856
2020-06,86531825,537657534,16852222,641041581
2020-07,273262378,575552511,23487940,872302829
2020-08,155321695,578553425,18615847,752490967
2020-09,1200764,556191781,14576882,571969426
2020-10,4707901,594605479,14589714,613903094
2020-11,0,571205479,14566468,585771947
2020-12,0,592779452,14566468,607345920
