# Official name: Tuttulipaluup Sermia, Foreign name: Farquhar Gletsjer, Mouginot/Mankoff name: Farquhar Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 38, closest NSIDC/MEASUREs ID: 82, distance to closest NSIDC/MEASUREs ID: 4768m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,35421715,272095,35693810
2010-02,0,32672287,272095,32944382
2010-03,0,36860274,272095,37132369
2010-04,0,36410959,272095,36683054
2010-05,7888206,38389041,311331,46588577
2010-06,67785115,37972603,1521367,107279085
2010-07,85756183,38473973,1816502,126046658
2010-08,44532177,38558904,967405,84058486
2010-09,999856,37397260,278363,38675480
2010-10,0,38728767,272093,39000860
2010-11,0,37551718,272092,37823810
2010-12,0,38868961,272092,39141053
2011-01,0,38934257,272092,39206349
2011-02,0,35227385,272092,35499476
2011-03,0,39068493,272092,39340585
2011-04,0,37890411,272092,38162503
2011-05,4086072,39238356,272092,43596520
2011-06,75329403,38054795,1518280,114902477
2011-07,141868200,35756164,2589563,180213927
2011-08,48309462,36010959,1199878,85520299
2011-09,62542,35178082,272092,35512716
2011-10,0,36605479,272092,36877571
2011-11,0,35674668,272092,35946761
2011-12,0,37111707,272092,37383799
2012-01,0,37369863,272092,37641955
2012-02,0,35195875,272092,35467966
2012-03,0,37879452,272092,38151544
2012-04,0,36986301,272092,37258393
2012-05,5024611,38473973,325602,43824185
2012-06,77518466,37479452,1892918,116890836
2012-07,131355935,38389041,3540638,173285614
2012-08,42834741,33547945,1287814,77670500
2012-09,12530,32219178,272092,32503800
2012-10,0,33038356,272092,33310448
2012-11,0,31808219,272092,32080311
2012-12,0,32879387,272092,33151479
2013-01,1,32909682,272092,33181775
2013-02,1,29764384,272092,30036476
2013-03,1,33038356,272092,33310449
2013-04,1,31972603,272092,32244696
2013-05,30708,30915068,272092,31217869
2013-06,33779154,27863014,847983,62490151
2013-07,68059251,36180822,1840805,106080878
2013-08,24971128,34142466,762870,59876464
2013-09,41725,27780822,272092,28094639
2013-10,4,29471233,272092,29743329
2013-11,4,29260274,272092,29532370
2013-12,4,30915068,272092,31187164
2014-01,0,31679452,272092,31951544
2014-02,0,29304110,272092,29576202
2014-03,0,33123288,272092,33395380
2014-04,0,30575342,272092,30847434
2014-05,18349,33802740,272092,34093181
2014-06,46596048,30821918,981680,78399647
2014-07,92772428,40342466,2398675,135513568
2014-08,43240027,36860274,1138214,81238515
2014-09,111,32835616,272190,33107917
2014-10,222984,32783562,272092,33278638
2014-11,0,33616438,272092,33888530
2014-12,0,36647945,272092,36920037
2015-01,0,35926027,272092,36198119
2015-02,0,34405479,272092,34677571
2015-03,0,36308219,272092,36580311
2015-04,0,33255888,272092,33527980
2015-05,5006849,33335616,272092,38614558
2015-06,52630309,36197218,1129305,89956832
2015-07,151284176,41276712,3833501,196394389
2015-08,22650684,36647945,672287,59970916
2015-09,4829,37808219,272092,38085140
2015-10,0,33717808,272092,33989900
2015-11,0,35198625,272092,35470717
2015-12,0,38898630,272092,39170722
2016-01,0,38898630,272092,39170722
2016-02,0,35325395,272092,35597487
2016-03,0,36732877,272092,37004969
2016-04,0,35911131,272092,36183223
2016-05,567603,37921918,272092,38761613
2016-06,52973452,38938738,1078173,92990363
2016-07,121432417,41998630,2635629,166066676
2016-08,53486168,37624658,1143668,92254494
2016-09,98292,33863014,272350,34233655
2016-10,0,33021370,272092,33293462
2016-11,0,29506849,272092,29778941
2016-12,0,34686027,272092,34958119
2017-01,0,36214795,272092,36486886
2017-02,0,32449315,272092,32721407
2017-03,0,32358904,272092,32630996
2017-04,0,32816862,272092,33088954
2017-05,223659,35388128,272092,35883879
2017-06,29628752,33328767,707284,63664803
2017-07,81133284,42494064,1758570,125385918
2017-08,45687795,44419178,1007682,91114655
2017-09,95403,39863014,272092,40230509
2017-10,2119,40257534,272092,40531745
2017-11,3,31561644,272092,31833739
2017-12,0,35862329,272092,36134421
2018-01,0,33989589,272092,34261681
2018-02,0,31797260,272092,32069352
2018-03,0,34567123,272092,34839215
2018-04,0,29178082,272092,29450174
2018-05,274053,33734795,272092,34280939
2018-06,35392908,31726027,734640,67853575
2018-07,38764741,40682192,956062,80402995
2018-08,40326645,41828767,943040,83098452
2018-09,12334,31890411,272092,32174837
2018-10,0,34163699,272092,34435791
2018-11,0,30958904,272092,31230996
2018-12,0,35416438,272092,35688530
2019-01,0,32358904,272092,32630996
2019-02,0,32065753,272092,32337845
2019-03,0,32868493,272092,33140585
2019-04,159006,33890411,272092,34321509
2019-05,16034664,37624658,338972,53998294
2019-06,57406631,37068493,1089644,95564768
2019-07,147377616,37200000,2971737,187549353
2019-08,70547458,38530594,1567610,110645662
2019-09,3830926,33246575,297179,37374681
2019-10,550407,32132420,272092,32954919
2019-11,6,30698630,272092,30970728
2019-12,0,31368037,272092,31640128
2020-01,0,35926027,272092,36198119
2020-02,0,30271233,272092,30543325
2020-03,0,31481279,272092,31753370
2020-04,0,28027397,272092,28299489
2020-05,1899333,31056621,272092,33228046
2020-06,54437714,33821918,1121537,89381169
2020-07,121654588,38955251,2815519,163425358
2020-08,38275257,35798630,903940,74977827
2020-09,830,30821918,272092,31094840
2020-10,12,33335616,272092,33607720
2020-11,1,28958904,272092,29230997
2020-12,0,33845205,272092,34117297
