# Official name: Umiammakku Sermiat, Foreign name: Umiammakku Sermiat, Mouginot/Mankoff name: Umiammakku Isbrae, Mouginot region: NW, Mankoff discharge gate (2021): 142, closest NSIDC/MEASUREs ID: 18, distance to closest NSIDC/MEASUREs ID: 3975m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,12888,151433045,1622112,153068045
2010-02,11641,133632526,1622081,135266248
2010-03,12888,145232877,1622081,146867846
2010-04,12473,138082192,1622081,139716746
2010-05,20833815,151093151,1633453,173560419
2010-06,223252988,156904110,1781788,381938886
2010-07,429544550,139967123,5455740,574967413
2010-08,301358869,145487671,3424853,450271393
2010-09,40583114,139315068,2035272,181933454
2010-10,2518698,142515068,1626306,146660072
2010-11,43431,136488259,1622087,138153776
2010-12,6851,139615383,1626388,141248622
2011-01,0,138151845,1622081,139773926
2011-02,0,123465383,1622081,125087464
2011-03,0,135380822,1622081,137002903
2011-04,0,129616438,1622081,131238520
2011-05,0,132663014,1622081,134285095
2011-06,113869376,142438356,1665302,257973034
2011-07,522557008,138183562,5920101,666660670
2011-08,192966408,128841096,2226390,324033895
2011-09,35743,128876712,1627644,130540100
2011-10,152,132493151,1622092,134115394
2011-11,20,127589637,1622321,129211978
2011-12,0,131229103,1622081,132851184
2012-01,19595,130539726,1622081,132181403
2012-02,18331,121348643,1622081,122989055
2012-03,19595,128926027,1622081,130567704
2012-04,18963,124027397,1622081,125668442
2012-05,14763797,127312329,1630089,143706215
2012-06,362038716,131506849,4882256,498427821
2012-07,577875300,127142466,9285356,714303122
2012-08,291875285,120857534,4784405,417517224
2012-09,1374824,121397260,1622082,124394166
2012-10,22232,127906849,1622081,129551163
2012-11,18711,125835616,1622081,127476408
2012-12,19334,129808308,1622081,131449722
2013-01,4492,129291530,1622272,130918294
2013-02,4057,116295890,1622253,117922201
2013-03,229551,128331507,1622272,130183329
2013-04,5373,119506849,1622236,121134459
2013-05,4492,119158904,1622155,120785551
2013-06,74970517,120493151,1652188,197115855
2013-07,296148056,125273973,3648715,425070743
2013-08,116944100,130200000,2692268,249836368
2013-09,4958352,122219178,1624595,128802125
2013-10,3452,126972603,1622104,128598158
2013-11,3339,123452055,1622103,125077497
2013-12,3450,128246575,1622104,129872130
2014-01,6969,128841096,1622090,130470155
2014-02,6295,117063014,1622086,118691394
2014-03,6969,123405479,1622081,125034530
2014-04,6745,114164384,1622081,115793209
2014-05,6969,124849315,1622081,126478366
2014-06,120098030,126082192,1673988,247854210
2014-07,386340619,124849315,5248929,516438863
2014-08,229046625,124424658,3157979,356629262
2014-09,3886686,116958904,1624164,122469755
2014-10,14011,119753425,1622081,121389517
2014-11,11407,112438356,1622081,114071844
2014-12,6616,112661644,1622081,114290341
2015-01,476,111727397,1622087,113349960
2015-02,430,103676712,1622081,105299224
2015-03,501,115464384,1622081,117086966
2015-04,461,110308110,1622081,111930652
2015-05,476,112576712,1622081,114199270
2015-06,111730168,109618907,1666209,223015285
2015-07,476080693,113935616,6559840,596576150
2015-08,83294866,113935616,1678810,198909292
2015-09,990555,105369863,1622229,107982646
2015-10,67796,113341096,1622081,115030973
2015-11,5763,108821751,1622081,110449596
