# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: F Graae, Mouginot region: CE, Mankoff discharge gate (2021): 138, closest NSIDC/MEASUREs ID: 118, distance to closest NSIDC/MEASUREs ID: 4225m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,106444568,967725,107412293
2010-02,0,96368570,967725,97336295
2010-03,0,106758904,967725,107726629
2010-04,0,92958904,967725,93926629
2010-05,13780234,101323288,967725,116071247
2010-06,92593048,102328767,2307929,197229744
2010-07,133958027,92830137,5407050,232195215
2010-08,71327347,83997260,2996881,158321488
2010-09,9099119,90328767,1097723,100525609
2010-10,0,92235616,967725,93203341
2010-11,0,88106572,967725,89074297
2010-12,0,89859634,967725,90827359
2011-01,0,88622294,967725,89590019
2011-02,0,78931113,967725,79898838
2011-03,0,86290411,967725,87258136
2011-04,0,82356164,967725,83323889
2011-05,0,89008219,967725,89975944
2011-06,42433118,111698630,990320,155122068
2011-07,99857662,95887671,2096826,197842160
2011-08,41598062,98690411,1517414,141805888
2011-09,59929,84164384,967732,85192045
2011-10,0,88923288,967725,89891013
2011-11,0,87971545,967725,88939270
2011-12,0,92804367,967725,93772092
2012-01,0,94783562,967725,95751287
2012-02,0,90560829,967725,91528554
2012-03,0,98690411,967725,99658136
2012-04,0,97397260,967725,98364985
2012-05,6262095,98095890,972358,105330344
2012-06,128879325,99123288,2396885,230399498
2012-07,193683453,91046575,6004737,290734766
2012-08,104666111,88838356,3257917,196762384
2012-09,5,76684932,967725,77652662
2012-10,0,82553425,967725,83521150
2012-11,0,82684932,967725,83652656
2012-12,0,87694019,967725,88661744
2013-01,0,89769348,967725,90737073
2013-02,0,82926027,967725,83893752
2013-03,0,93679452,967725,94647177
2013-04,0,91479452,967725,92447177
2013-05,0,90027397,967725,90995122
2013-06,21822584,94684932,967725,117475241
2013-07,97641369,100898630,2025422,200565421
2013-08,32075978,88243836,1498016,121817829
2013-09,47033,83835616,967725,84850374
2013-10,0,86205479,967725,87173204
2013-11,0,83095890,967725,84063615
2013-12,0,85526027,967725,86493752
2014-01,0,85101370,967725,86069095
2014-02,0,76558904,967725,77526629
2014-03,0,84421918,967725,85389643
2014-04,0,89506849,967725,90474574
2014-05,0,102682192,967725,103649917
2014-06,56764623,97561644,1221682,155547949
2014-07,76641073,92150685,1979317,170771075
2014-08,35535797,87819178,1400519,124755494
2014-09,254547,90246575,967725,91468847
2014-10,0,93339726,967725,94307451
2014-11,0,90410959,967725,91378684
2014-12,0,93509589,967725,94477314
2015-01,0,85908219,967725,86875944
2015-02,0,79895890,967725,80863615
2015-03,0,93806849,967725,94774574
2015-04,0,88380148,967725,89347873
2015-05,0,88541096,967725,89508821
2015-06,30205061,85226061,1335823,116766944
2015-07,145540240,87521918,3712078,236774236
2015-08,20249582,82426027,1236155,103911764
2015-09,709164,80547945,967725,82224834
2015-10,0,86332877,967725,87300602
2015-11,0,82025903,967725,82993628
2015-12,0,82638356,967725,83606081
2016-01,0,81619178,967725,82586903
2016-02,0,78251302,967725,79219027
2016-03,0,85483562,967725,86451287
2016-04,0,82328511,967725,83296236
2016-05,206917,84506849,967725,85681491
2016-06,55458871,81562875,1292855,138314600
2016-07,111014038,83954795,3026193,197995025
2016-08,29101158,80090411,1263501,110455069
2016-09,100749,80095890,967725,81164364
2016-10,0,86494247,967725,87461971
2016-11,0,82561644,967725,83529369
2016-12,0,85475068,967725,86442793
2017-01,0,85407123,967725,86374848
2017-02,0,74641096,967725,75608821
2017-03,0,86502740,967725,87470465
2017-04,0,85434375,967725,86402100
2017-05,840794,89489498,967725,91298016
2017-06,18426550,87739726,967725,107134001
2017-07,71297662,93821005,1213034,166331700
2017-08,36578981,81279452,1033882,118892315
2017-09,4602186,82602740,967725,88172651
2017-10,0,86163014,967725,87130739
2017-11,0,83301370,967725,84269095
2017-12,0,86523973,967725,87491697
2018-01,0,86698082,967725,87665807
2018-02,0,79723288,967725,80691013
2018-03,0,86749041,967725,87716766
2018-04,0,85397260,967725,86364985
2018-05,0,90112329,967725,91080054
2018-06,21528385,87452055,1028531,110008971
2018-07,69122180,90820091,1434642,161376914
2018-08,37795554,83678767,1232193,122706514
2018-09,1867037,80547945,967725,83382707
2018-10,0,84761644,967725,85729369
2018-11,0,83698630,967725,84666355
2018-12,0,87521918,967725,88489643
2019-01,0,85908219,967725,86875944
2019-02,0,78323288,967725,79291013
2019-03,0,87309589,967725,88277314
2019-04,0,86438356,967725,87406081
2019-05,3009578,88626027,967725,92603331
2019-06,110551728,81753425,2525956,194831108
2019-07,209800622,80090411,5863778,295754812
2019-08,67631325,77655708,2331386,147618419
2019-09,1353121,78041096,967725,80361942
2019-10,0,79863927,967725,80831652
2019-11,0,76273973,967725,77241697
2019-12,0,82779909,967725,83747634
2020-01,0,82694977,967725,83662702
2020-02,0,77863014,967725,78830739
2020-03,0,82128767,967725,83096492
2020-04,0,80917808,967725,81885533
2020-05,814051,85724201,967725,87505977
2020-06,48556196,83342466,1121674,133020336
2020-07,76134828,83346119,2321480,161802426
2020-08,27468173,82808219,1047629,111324021
2020-09,6862,79041096,967725,80015683
2020-10,3576,85228767,967725,86200068
2020-11,0,81589041,967725,82556766
2020-12,0,84804110,967725,85771834
