# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Charcot, Mouginot region: CE, Mankoff discharge gate (2021): 139, closest NSIDC/MEASUREs ID: 119, distance to closest NSIDC/MEASUREs ID: 5862m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,20363833,62118,20425951
2010-02,0,19772303,62118,19834421
2010-03,0,22421918,62118,22484036
2010-04,0,16931507,62118,16993625
2010-05,3899421,13419178,62118,17380717
2010-06,33638611,18328767,62118,52029495
2010-07,53630444,13928767,93193,67652405
2010-08,26711427,14863014,135042,41709483
2010-09,2300580,14876712,65449,17242741
2010-10,0,15882192,62118,15944310
2010-11,0,15894402,62118,15956520
2010-12,0,16956099,62118,17018217
2011-01,0,17513826,62118,17575943
2011-02,0,16330620,62118,16392737
2011-03,0,18600000,62118,18662118
2011-04,0,18575342,62118,18637460
2011-05,0,20553425,62118,20615542
2011-06,9835948,15780822,62118,25678888
2011-07,36647740,11890411,62118,48600269
2011-08,15631854,14523288,62925,30218066
2011-09,5331,14958904,62118,15026353
2011-10,0,16306849,62118,16368967
2011-11,0,16656744,62118,16718862
2011-12,0,18102459,62118,18164577
2012-01,0,19024658,62118,19086775
2012-02,0,18657096,62118,18719213
2012-03,0,20808219,62118,20870337
2012-04,0,21041096,62118,21103214
2012-05,2544070,21912329,62118,24518517
2012-06,49624784,19972603,159259,69756645
2012-07,74122237,13249315,267541,87639093
2012-08,32212535,10276712,137257,42626505
2012-09,7,7068493,62118,7130617
2012-10,0,10361644,62118,10423762
2012-11,0,12657534,62118,12719652
2012-12,0,14332645,62118,14394763
2013-01,0,15236154,62118,15298271
2013-02,0,14575342,62118,14637460
2013-03,0,17071233,62118,17133351
2013-04,0,18493151,62118,18555268
2013-05,0,17750685,62118,17812803
2013-06,8916026,18410959,62118,27389103
2013-07,31582129,20298630,78417,51959176
2013-08,10867628,21572603,69009,32509240
2013-09,27871,12410959,62118,12500947
2013-10,0,13164384,62118,13226501
2013-11,0,12986301,62118,13048419
2013-12,0,13758904,62118,13821022
2014-01,0,14013699,62118,14075816
2014-02,0,12964384,62118,13026501
2014-03,0,14608219,62118,14670337
2014-04,0,14465753,62118,14527871
2014-05,0,14947945,62118,15010063
2014-06,20177616,14136986,62118,34376720
2014-07,35890283,18430137,62118,54382538
2014-08,16236266,15117808,62118,31416192
2014-09,54333,13767123,62118,13883574
2014-10,0,14608219,62118,14670337
2014-11,0,13397260,62118,13459378
2014-12,0,13121918,62118,13184036
2015-01,0,11423288,62118,11485405
2015-02,0,11353425,62118,11415542
2015-03,0,13334247,62118,13396364
2015-04,0,13117147,62118,13179265
2015-05,0,13631507,62118,13693625
2015-06,16087459,13069540,62118,29219116
2015-07,63769795,13164384,123824,77058003
2015-08,9409487,11508219,62118,20979824
2015-09,336818,10602740,62118,11001676
2015-10,0,12569863,62118,12631981
2015-11,0,11845799,62118,11907917
2015-12,0,11550685,62118,11612803
2016-01,0,10276712,62118,10338830
2016-02,0,10013349,62118,10075467
2016-03,0,11253425,62118,11315542
2016-04,0,11223239,62118,11285356
2016-05,95603,11763014,62118,11920734
2016-06,21475365,11224466,62118,32761949
2016-07,51455759,11210959,62118,62728836
2016-08,13382804,10149315,62126,23594245
2016-09,79187,11095890,62118,11237195
2016-10,0,11992329,62118,12054446
2016-11,0,11547945,62118,11610063
2016-12,0,12094247,62118,12156364
2017-01,0,11890411,62118,11952529
2017-02,0,10873973,62118,10936090
2017-03,0,11699315,62118,11761433
2017-04,0,11358680,62118,11420798
2017-05,225459,11833790,62118,12121366
2017-06,8613302,11794521,62118,20469940
2017-07,24610087,11295890,62118,35968095
2017-08,11742884,10786301,62118,22591303
2017-09,1145314,11095890,62118,12303323
2017-10,0,11465753,62118,11527871
2017-11,0,11424658,62118,11486775
2017-12,0,11741781,62118,11803899
2018-01,0,12094247,62118,12156364
2018-02,0,11046575,62118,11108693
2018-03,0,12009315,62118,12071433
2018-04,0,12205479,62118,12267597
2018-05,0,12586849,62118,12648967
2018-06,10104758,11301370,62118,21468246
2018-07,27629513,11012785,62118,38704416
2018-08,15768969,10956164,62118,26787252
2018-09,927370,10904110,62118,11893598
2018-10,0,11869178,62118,11931296
2018-11,0,11972603,62118,12034720
2018-12,0,12060274,62118,12122392
2019-01,0,12357534,62118,12419652
2019-02,0,10893151,62118,10955268
2019-03,0,11975342,62118,12037460
2019-04,0,12328767,62118,12390885
2019-05,1815390,12782192,62118,14659699
2019-06,40655181,11232877,62303,51950360
2019-07,92415659,10913699,237755,103567112
2019-08,31998226,10503196,133821,42635244
2019-09,385875,10479452,62118,10927445
2019-10,0,11126027,62118,11188145
2019-11,0,10767123,62118,10829241
2019-12,0,11947032,62118,12009150
2020-01,0,12230137,62118,12292255
2020-02,0,11163014,62118,11225131
2020-03,0,12230137,62118,12292255
2020-04,0,12041096,62118,12103214
2020-05,351756,11607306,62118,12021180
2020-06,21115401,12082192,62118,33259711
2020-07,32442024,11380822,62118,43884964
2020-08,11803564,11295890,62118,23161572
2020-09,13047,11013699,62118,11088864
2020-10,0,12994521,62118,13056638
2020-11,0,12547945,62118,12610063
2020-12,0,12612329,62118,12674446
