# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Eielson Hare Fjord-Rolige, Mouginot region: CE, Mankoff discharge gate (2021): 144, closest NSIDC/MEASUREs ID: 239, distance to closest NSIDC/MEASUREs ID: 1317m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,5098626,2157,5100783
2010-02,0,4490925,2157,4493082
2010-03,0,4926027,2157,4928185
2010-04,0,5178082,2157,5180239
2010-05,1240009,3821918,3307,5065233
2010-06,22766263,3698630,63521,26528414
2010-07,28581954,6454795,118232,35154980
2010-08,14535846,6709589,55543,21300978
2010-09,3358116,6246575,11134,9615826
2010-10,0,6454795,2157,6456952
2010-11,0,6242330,2157,6244487
2010-12,0,6435126,2157,6437283
2011-01,0,6403746,2157,6405903
2011-02,0,5737536,2157,5739693
2011-03,0,6284932,2157,6287089
2011-04,0,4356164,2157,4358321
2011-05,0,4841096,2157,4843253
2011-06,9179480,4602740,23021,13805240
2011-07,25899606,5520548,87646,31507800
2011-08,12585712,4501370,37846,17124928
2011-09,575057,5013699,2157,5590913
2011-10,0,5095890,2157,5098048
2011-11,0,4841667,2157,4843824
2011-12,0,4913925,2157,4916083
2012-01,0,4841096,2157,4843253
2012-02,0,4488637,2157,4490794
2012-03,0,4756164,2157,4758321
2012-04,0,4520548,2157,4522705
2012-05,812744,5435616,5170,6253530
2012-06,23242523,3616438,80134,26939095
2012-07,25664258,5520548,116051,31300857
2012-08,14982949,4756164,62303,19801416
2012-09,23,3945205,2157,3947386
2012-10,0,3906849,2157,3909006
2012-11,0,3698630,2157,3700787
2012-12,0,3885149,2157,3887306
2013-01,0,4027307,2157,4029464
2013-02,0,3758904,2157,3761061
2013-03,0,4246575,2157,4248732
2013-04,0,4191781,2157,4193938
2013-05,0,3227397,2157,3229554
2013-06,16777667,3369863,28517,20176048
2013-07,27352649,4501370,99874,31953893
2013-08,11717795,5775342,32923,17526061
2013-09,106376,5424658,2157,5533190
2013-10,0,5350685,2157,5352842
2013-11,0,4931507,2157,4933664
2013-12,0,4841096,2157,4843253
2014-01,0,4586301,2157,4588458
2014-02,0,3835616,2157,3837774
2014-03,0,4501370,2157,4503527
2014-04,0,3534247,2157,3536404
2014-05,0,3142466,2157,3144623
2014-06,12167057,4027397,34293,16228748
2014-07,25008584,4076712,82539,29167835
2014-08,12890223,4076712,49902,17016837
2014-09,1323506,4315068,2157,5640732
2014-10,0,3821918,2157,3824075
2014-11,0,3780822,2157,3782979
2014-12,0,3991781,2157,3993938
2015-01,0,3991781,2157,3993938
2015-02,0,3643836,2157,3645993
2015-03,0,4076712,2157,4078869
2015-04,0,3818886,2157,3821044
2015-05,0,3821918,2157,3824075
2015-06,9405095,3867056,26836,13298986
2015-07,29875686,4161644,96364,34133694
2015-08,12127344,4119178,24535,16271057
2015-09,999578,3863014,2405,4864997
2015-10,0,4416438,2157,4418595
2015-11,0,4210451,2157,4212608
2015-12,0,4246575,2157,4248732
2016-01,0,4161644,2157,4163801
2016-02,0,3893151,2157,3895308
2016-03,0,4161644,2157,4163801
2016-04,0,3964238,2157,3966395
2016-05,92924,4034247,2157,4129328
2016-06,18529428,3904110,42196,22475733
2016-07,28099621,4034247,113987,32247855
2016-08,13768537,4204110,43804,18016450
2016-09,164509,4191781,2551,4358841
2016-10,0,4212603,2157,4214760
2016-11,0,3698630,2157,3700787
2016-12,0,4025753,2157,4027911
2017-01,0,4314521,2157,4316678
2017-02,0,3758904,2157,3761061
2017-03,0,4119178,2157,4121335
2017-04,0,4021390,2157,4023547
2017-05,829762,4189954,2157,5021874
2017-06,13697354,3986301,20841,17704497
2017-07,27352755,4189954,44646,31587355
2017-08,15762829,4501370,37208,20301407
2017-09,469075,3863014,2603,4334691
2017-10,0,3906849,2157,3909006
2017-11,0,4068493,2157,4070650
2017-12,0,3885616,2157,3887774
2018-01,0,4025753,2157,4027911
2018-02,0,3624658,2157,3626815
2018-03,0,3940822,2157,3942979
2018-04,0,4356164,2157,4358321
2018-05,0,4110685,2157,4112842
2018-06,9017881,3821918,29755,12869554
2018-07,25180287,4274886,54622,29509794
2018-08,11642604,3779452,44080,15466136
2018-09,3080919,3835616,2157,6918693
2018-10,0,4013014,2157,4015171
2018-11,0,4136986,2157,4139143
2018-12,0,4267808,2157,4269965
2019-01,0,3567123,2157,3569280
2019-02,0,3221918,2157,3224075
2019-03,0,4048402,2157,4050559
2019-04,0,3808219,2157,3810376
2019-05,750961,4119178,2157,4872296
2019-06,26836503,3808219,64538,30709260
2019-07,31180664,3652055,126224,34958943
2019-08,14059402,3482192,52993,17594587
2019-09,565429,3287671,2189,3855289
2019-10,0,3595434,2157,3597591
2019-11,0,3534247,2157,3536404
2019-12,0,3652055,2157,3654212
2020-01,0,3878539,2157,3880696
2020-02,0,3376712,2157,3378869
2020-03,0,3821918,2157,3824075
2020-04,0,3657534,2157,3659691
2020-05,27648,3821918,2157,3851723
2020-06,13640115,3739726,26946,17406787
2020-07,25494157,3765297,82475,29341929
2020-08,17687929,3482192,37880,21208002
2020-09,298258,3095890,2157,3396306
2020-10,0,3567123,2157,3569280
2020-11,0,3369863,2157,3372020
2020-12,0,3821918,2157,3824075
