# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Geikie Unnamed Vestford S, Mouginot region: CE, Mankoff discharge gate (2021): 160, closest NSIDC/MEASUREs ID: 125, distance to closest NSIDC/MEASUREs ID: 4234m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,12932,8678593,1582603,10274128
2010-02,11680,8291077,1582162,9884919
2010-03,12932,9597260,1582162,11192354
2010-04,12515,9698630,1582162,11293306
2010-05,12475713,10021918,1582162,24079792
2010-06,131283129,9041096,3084747,143408971
2010-07,205961896,6964384,10357580,223283859
2010-08,116248490,6879452,5453427,128581369
2010-09,32555044,7808219,2385478,42748741
2010-10,20592,8238356,1582162,9841109
2010-11,18670,8157607,1582162,9758438
2010-12,18243,8622573,1582162,10222977
2011-01,2157,8831256,1582162,10415575
2011-02,1947,8174373,1582162,9758482
2011-03,2157,9257534,1582162,10841853
2011-04,2087,9205479,1582162,10789728
2011-05,1588,9512329,1582162,11096078
2011-06,41204207,8630137,1582162,51416505
2011-07,127840464,8493151,3741001,140074615
2011-08,80895212,6964384,4008821,91868417
2011-09,3712831,6410959,1587178,11710969
2011-10,658,7049315,1582410,8632383
2011-11,827,7199906,1582167,8782899
2011-12,658,7794576,1582162,9377395
2012-01,0,8153425,1582162,9735586
2012-02,0,7949169,1582162,9531331
2012-03,0,8832877,1582162,10415038
2012-04,0,8958904,1582162,10541066
2012-05,10520678,9342466,1582162,21445305
2012-06,129649649,8383562,5248151,143281363
2012-07,208916837,7898630,11771705,228587172
2012-08,140297243,7134247,7750284,155181774
2012-09,714439,6821918,1583654,9120010
2012-10,16113,7219178,1583650,8818942
2012-11,36156,7068493,1583202,8687851
2012-12,81796,7345809,1582162,9009766
2013-01,2130,7377029,1582162,8961321
2013-02,1924,6673973,1582162,8258058
2013-03,2130,7389041,1582162,8973333
2013-04,2061,9205479,1582162,10789702
2013-05,4185,9936986,1582162,11523333
2013-06,72488514,7890411,1582176,81961100
2013-07,177820591,8238356,6411179,192470126
2013-08,71630543,7643836,2813836,82088215
2013-09,6869730,8219178,1582523,16671431
2013-10,8003,8747945,1582295,10338243
2013-11,6968,8219178,1583988,9810134
2013-12,7588,8323288,1583337,9914213
2014-01,8442,8068493,1582162,9659096
2014-02,7614,7134247,1582162,8724022
2014-03,8429,7643836,1582162,9234426
2014-04,7160,7561644,1582162,9150965
2014-05,4219,9427397,1582162,11013778
2014-06,66560491,10027397,2529713,79117601
2014-07,128338973,8578082,5253115,142170171
2014-08,87254841,7558904,2979256,97793002
2014-09,5702597,7849315,1595046,15146958
2014-10,1,8408219,1582703,9990924
2014-11,1,8136986,1591656,9728643
2014-12,1,8493151,1582298,10075450
2015-01,400,8493151,1582162,10075712
2015-02,341,8169863,1582162,9752366
2015-03,547,8832877,1582162,10415586
2015-04,648,8716371,1582162,10299180
2015-05,544,9172603,1582162,10755309
2015-06,53297449,8593160,1591138,63481747
2015-07,143150377,8238356,8174572,159563305
2015-08,68825713,6879452,2507310,78212475
2015-09,20986797,7068493,1787943,29843234
2015-10,57544,7304110,1586807,8948460
2015-11,330,6942174,1582947,8525451
2015-12,340,7049315,1582162,8631817
2016-01,0,7813699,1586167,9399866
2016-02,0,7399401,1582169,8981570
2016-03,320,7983562,1582169,9566051
2016-04,0,8030969,1582169,9613138
2016-05,2799228,8535616,1582169,12917014
2016-06,112894272,7368772,3911485,124174529
2016-07,201411015,6412329,11806714,219630057
2016-08,81092954,5902740,1632253,88627946
2016-09,2881611,6698630,1582543,11162784
2016-10,10721,6284932,1582285,7877937
2016-11,1581,6205479,1582188,7789249
2016-12,0,6522740,1582169,8104909
2017-01,112949,7626849,1582162,9321960
2017-02,827,6175342,1582162,7758331
2017-03,916,7006849,1582162,8589927
2017-04,891,7411854,1582162,8994907
2017-05,14954293,8153425,1582162,24689879
2017-06,54820974,7315068,1582162,63718205
