# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Dendritgletscher, Mouginot region: CE, Mankoff discharge gate (2021): 164, closest NSIDC/MEASUREs ID: 134, distance to closest NSIDC/MEASUREs ID: 4215m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,393,31163994,1077987,32242374
2010-02,288,28917334,1077984,29995605
2010-03,248,32698630,1077987,33776865
2010-04,239,32301370,1077986,33379595
2010-05,26593428,40257534,1557060,68408022
2010-06,900293946,44876712,18257991,963428649
2010-07,1451705861,27942466,32528924,1512177250
2010-08,943901566,27347945,23800230,995049742
2010-09,503182669,28027397,8017268,539227334
2010-10,18292348,31679452,1148741,51120541
2010-11,9328,33359162,1078639,34447129
2010-12,10127,37165966,1077988,38254081
2011-01,231,39940744,1078059,41019034
2011-02,174,38570068,1078049,39648292
2011-03,19,45183562,1078059,46261639
2011-04,26,46356164,1078166,47434356
2011-05,2815218,46967123,1077975,50860316
2011-06,397530712,48328767,5384724,451244203
2011-07,1243674447,41446575,23597879,1308718902
2011-08,713648374,48326027,13597874,775572275
2011-09,114702809,34356164,1771079,150830052
2011-10,661496,36690411,1078053,38429960
2011-11,113670,36697483,1077958,37889111
2011-12,108033,39112082,1077956,40298071
2012-01,6293,40342466,1078051,41426810
2012-02,1143,38883568,1078045,39962757
2012-03,227123,42720548,1078051,44025723
2012-04,958,42575342,1083709,43660009
2012-05,32193105,45438356,1423449,79054910
2012-06,924235288,47753425,18373438,990362150
2012-07,1487737602,40342466,35049351,1563129419
2012-08,1159934985,33717808,29778587,1223431379
2012-09,21662222,32958904,1161906,55783032
2012-10,203405,34397260,1077957,35678622
2012-11,3127,33534247,1077956,34615330
2012-12,3657,34247723,1077956,35329336
2013-01,259,33330814,1078627,34409700
2013-02,4388,29304110,1089067,30397564
2013-03,259,31849315,1078605,32928179
2013-04,173,52684932,1078584,53763689
2013-05,3670885,43230137,1094439,47995461
2013-06,682410528,42410959,10500910,735322396
2013-07,1423575203,25734247,27926129,1477235579
2013-08,771550189,32443836,15730515,819724540
2013-09,60322719,30904110,2010665,93237494
2013-10,395936,33547945,1087010,35030891
2013-11,29,34602740,1078191,35680960
2013-12,14,37879452,1078167,38957633
2014-01,4373,40002740,1077956,41085069
2014-02,2752,38126027,1077956,39206736
2014-03,2817,44164384,1077956,45245157
2014-04,2525,42410959,1077956,43491440
2014-05,19411093,42295890,1278399,62985382
2014-06,782709465,48986301,15142901,846838668
2014-07,1341219975,37369863,25301697,1403891535
2014-08,778814298,35416438,17214277,831445013
2014-09,185277777,37849315,3031005,226158097
2014-10,1758303,36350685,1077976,39186965
2014-11,3960499,36410959,1077976,41449433
2014-12,56752,38813699,1077976,39948426
2015-01,3461,40045205,1077970,41126636
2015-02,2847,37665753,1077993,38746593
2015-03,188097,44249315,1077997,45515409
2015-04,3061,43435724,1078324,44517110
2015-05,3784,45098630,1077998,46180412
2015-06,390790455,41588521,8049734,440428710
2015-07,1316262990,39026027,26868885,1382157903
2015-08,755575632,33930137,11233797,800739566
2015-09,281189185,38712329,5680089,325581603
2015-10,11209298,33845205,1108422,46162926
2015-11,6075,34468112,1079388,35553575
2015-12,4359,38261644,1078042,39344045
2016-01,3436,40045205,1077956,41126598
2016-02,3215,37762406,1077956,38843577
2016-03,2335,40512329,1077959,41592623
2016-04,628957,39319496,1092201,41040654
2016-05,37400056,40682192,1524195,79606443
2016-06,999777293,38756490,19581139,1058114921
2016-07,1666345621,38346575,41786022,1746478218
2016-08,621532548,30278082,12835907,664646537
2016-09,73844627,38958904,1513117,114316648
2016-10,57322170,39187397,1420800,97930366
2016-11,1039758,36986301,1077956,39104016
2016-12,22818,37284932,1077956,38385705
2017-01,11168,41259726,1077958,42348852
2017-02,10086,38490411,1078027,39578524
2017-03,10037,45693151,1077962,46781150
2017-04,9705,45204561,1078002,46292269
2017-05,64762976,47080365,2038498,113881840
2017-06,432877682,44054795,6797552,483730029
2017-07,1126954612,43201826,19067695,1189224133
2017-08,639980813,38686301,11073469,689740584
2017-09,292600450,40767123,5139531,338507105
2017-10,34071124,40045205,1218203,75334533
2017-11,24755,37561644,1078683,38665081
2017-12,602,38091781,1078601,39170984
2018-01,25079,40104658,1078012,41207748
2018-02,28024,34731507,1077966,35837497
2018-03,24489,42227945,1078213,43330647
2018-04,12733,41013699,1077962,42104394
2018-05,2195092,44690959,1142633,48028684
2018-06,451032276,44671233,9372888,505076397
2018-07,1377444264,42239269,26971303,1446654836
2018-08,658204358,33972603,12432117,704609079
2018-09,128558434,44191781,2420621,175170836
2018-10,114346,44886301,1078085,46078732
2018-11,3311896,34849315,1090602,39251813
2018-12,42386,33845205,1078150,34965742
2019-01,3938,37157534,1078581,38240054
2019-02,3770,29764384,1078388,30846541
2019-03,4208,33038356,1078434,34120998
2019-04,29893759,32054795,1309175,63257729
2019-05,116959899,33208219,1973634,152141753
2019-06,1084360910,32191781,18577942,1135130633
2019-07,1947764004,33293151,38822913,2019880068
2019-08,862689250,33378082,18863540,914930872
2019-09,157204913,32383562,2816367,192404842
2019-10,7989306,33519635,1103554,42612495
2019-11,393298,32506849,1078189,33978336
2019-12,1734,33661187,1083944,34746865
2020-01,14157,31339726,1186389,32540272
2020-02,13279,28563014,1219012,29795304
2020-03,14066,30688584,1077960,31780611
2020-04,31288,29794521,1077960,30903768
2020-05,31458668,30915068,1260081,63633817
2020-06,769517323,30041096,13226598,812785017
2020-07,1111396672,31169863,21089802,1163656337
2020-08,857656815,31297260,15004759,903958834
2020-09,29061714,30410959,1217314,60689986
2020-10,58179618,31552055,1389862,91121534
2020-11,6749,30657534,1077960,31742243
2020-12,6978,32061644,1077960,33146582
