# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Geikie7, Mouginot region: CE, Mankoff discharge gate (2021): 166, closest NSIDC/MEASUREs ID: 135, distance to closest NSIDC/MEASUREs ID: 4935m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,18,3465935,8188,3474140
2010-02,8,3141673,8188,3149868
2010-03,0,3482192,8188,3490379
2010-04,0,3287671,8188,3295859
2010-05,15625912,4331507,42922,20000341
2010-06,208655181,3123288,1722067,213500536
2010-07,354503248,3227397,2891159,360621804
2010-08,236522048,2717808,1845237,241085092
2010-09,189272132,2136986,916595,192325714
2010-10,11655082,2463014,8188,14126284
2010-11,230,2600360,8188,2608778
2010-12,242,2883595,8188,2892025
2011-01,10,3079484,8188,3087682
2011-02,8,2964345,8188,2972541
2011-03,1,3482192,8188,3490380
2011-04,4,3616438,8188,3624630
2011-05,775379,3397260,8188,4180827
2011-06,100586600,3369863,588255,104544717
2011-07,260237226,4161644,1813622,266212491
2011-08,203236150,2378082,1641970,207256203
2011-09,51963108,2712329,68245,54743682
2011-10,222398,2887671,8188,3118257
2011-11,38651,2934052,8188,2980890
2011-12,44965,3210903,8188,3264055
2012-01,31,3397260,8188,3405479
2012-02,20,3342633,8188,3350841
2012-03,7367,3736986,8188,3752541
2012-04,9,3780822,8188,3789019
2012-05,7194000,3567123,8188,10769311
2012-06,181887509,3287671,1337541,186512721
2012-07,305182614,4076712,2280173,311539499
2012-08,251155707,2378082,2014419,255548208
2012-09,9933810,4027397,21679,13982887
2012-10,12328,3906849,8188,3927365
2012-11,38,3534247,8188,3542473
2012-12,80,3652055,8188,3660322
2013-01,8,3652055,8188,3660250
2013-02,38,3298630,8188,3306856
2013-03,8,3652055,8188,3660250
2013-04,5,3123288,8188,3131481
2013-05,56511,3736986,8188,3801685
2013-06,136684883,3945205,1043395,141673484
2013-07,300271602,3057534,2412529,305741665
2013-08,201533134,2547945,1471681,205552761
2013-09,21030660,3369863,128899,24529423
2013-10,1368739,4161644,18112,5548495
2013-11,0,4109589,8188,4117777
2013-12,0,4246575,8188,4254763
2014-01,3,4331507,8188,4339697
2014-02,3,3912329,8188,3920519
2014-03,3,4416438,8188,4424629
2014-04,3,4602740,8188,4610930
2014-05,3655588,4331507,8188,7995282
2014-06,179966659,4109589,1165071,185241318
2014-07,358522011,3397260,2442256,364361527
2014-08,213577945,3142466,1648178,218368588
2014-09,75618531,3164384,323114,79106029
2014-10,889552,3652055,8188,4549795
2014-11,1582561,3452055,8188,5042803
2014-12,135,3567123,8188,3575446
2015-01,27,3482192,8188,3490406
2015-02,24,3106849,8188,3115061
2015-03,51484,3779452,8188,3839123
2015-04,25,3627955,8188,3636168
2015-05,25,3694521,8188,3702733
2015-06,89254658,3523896,636648,93415202
2015-07,255441240,3567123,1997575,261005938
2015-08,229364153,3397260,1302250,234063663
2015-09,102823337,2794521,824676,106442534
2015-10,4378962,2378082,8188,6765232
2015-11,183,2434906,8188,2443277
2015-12,105,2717808,8188,2726100
2016-01,12,2845205,8188,2853406
2016-02,12,2939218,8188,2947417
2016-03,12,3482192,8188,3490392
2016-04,103615,3738358,8188,3850161
2016-05,12249757,4076712,8188,16334657
2016-06,240885231,3448422,1654177,245987830
2016-07,353197711,2930137,3077464,359205312
2016-08,183859079,2717808,1327590,187904477
2016-09,34934954,3616438,31768,38583160
2016-10,22829221,3821918,8188,26659327
2016-11,263728,3739726,8188,4011642
2016-12,2,3906849,8188,3915039
2017-01,0,3720000,8188,3728188
2017-02,0,3298630,8188,3306818
2017-03,0,4055479,8188,4063667
2017-04,0,4132753,8188,4140941
2017-05,15504808,4359817,83848,19948474
2017-06,117829507,3986301,791149,122606957
2017-07,259303395,3736986,1764186,264804568
2017-08,140729501,3142466,792407,144664373
2017-09,100742803,3369863,406102,104518769
2017-10,17089546,3100000,8188,20197734
2017-11,54,3369863,8188,3378105
2017-12,0,3482192,8188,3490379
2018-01,4138,3584110,8188,3596435
2018-02,2829,3106849,8188,3117866
2018-03,756,4297534,8188,4306478
2018-04,531,4315068,8188,4323787
2018-05,176355,4654247,8188,4838790
2018-06,118326433,3780822,847784,122955038
2018-07,290764599,2717808,1966645,295449053
2018-08,159961095,2314384,847811,163123290
2018-09,59811358,3972603,147241,63931202
2018-10,2910,4055479,8188,4066577
2018-11,509499,3315068,8188,3832755
2018-12,76,3779452,8188,3787715
2019-01,8,4034247,8188,4042443
2019-02,17,3413699,8188,3421903
2019-03,19,3708676,8188,3716883
2019-04,7066984,3534247,8188,10609419
2019-05,23219549,3567123,94807,26881479
2019-06,221155406,3424658,1596428,226176491
2019-07,417448926,3482192,3261334,424192452
2019-08,208781083,3397260,1749914,213928257
2019-09,57072650,3246575,279091,60598316
2019-10,3968600,3312329,8188,7289116
2019-11,643,3123288,8188,3132118
2019-12,30,3170776,8188,3178994
2020-01,36,3680365,8188,3688589
2020-02,35,3495890,8188,3504113
2020-03,37,3652055,8188,3660280
2020-04,547,3452055,8188,3460790
2020-05,5940256,3510502,8188,9458946
2020-06,211642965,3328767,1465663,216437396
2020-07,276626657,3397260,2146834,282170751
2020-08,265232812,3312329,1912903,270458044
2020-09,9949418,3150685,11060,13111162
2020-10,25041403,3184932,8188,28234522
2020-11,3,3013699,8188,3021890
2020-12,2,3015068,8188,3023259
