# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Kanger W, Mouginot region: CE, Mankoff discharge gate (2021): 192, closest NSIDC/MEASUREs ID: 216, distance to closest NSIDC/MEASUREs ID: 2795m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,130,70019290,922455,70941875
2010-02,26,65341479,922455,66263961
2010-03,49,75079452,922455,76001956
2010-04,32,83260274,922455,84182761
2010-05,26502942,80090411,955502,107548855
2010-06,182985942,81287671,4184155,268457767
2010-07,376184051,69728767,7890003,453802821
2010-08,257812993,67265753,6152723,331231469
2010-09,139141248,69698630,3366188,212206065
2010-10,2375417,72191781,1017447,75584645
2010-11,87903,69984834,923069,70995805
2010-12,7036,72431728,923101,73361865
2011-01,2798,72529665,922457,73454920
2011-02,2497,65569885,922457,66494839
2011-03,2775,72616438,922457,73541670
2011-04,2701,62301370,922457,63226528
2011-05,1918550,75079452,922456,77920458
2011-06,97439814,71835616,2144227,171419657
2011-07,284749545,70578082,6941038,362268665
2011-08,173040727,71002740,3091909,247135376
2011-09,37255684,63123288,1000264,101379236
2011-10,374705,67095890,922457,68393052
2011-11,76613,66788848,922457,67787918
2011-12,843,70867488,922457,71790789
2012-01,8115,72786301,922455,73716871
2012-02,7591,70346310,922455,71276356
2012-03,8110,76523288,922455,77453853
2012-04,728,73232877,922456,74156061
2012-05,8557295,66756164,927667,76241126
2012-06,231205607,69041096,5282069,305528772
2012-07,387994535,72021918,8584800,468601253
2012-08,263471653,60895890,6476682,330844226
2012-09,7509679,76191781,956358,84657818
2012-10,56374,76098630,922455,77077459
2012-11,8,71342466,922455,72264929
2012-12,8,73026076,922455,73948540
2013-01,4,72598189,922460,73520653
2013-02,3,65205479,925525,66131008
2013-03,4,71767123,922460,72689587
2013-04,3,60904110,922460,61826573
2013-05,1481320,77967123,923358,80371801
2013-06,74834043,69534247,1218645,145586934
2013-07,276172204,65906849,6636029,348715082
2013-08,150828438,74060274,3496253,228384965
2013-09,12669794,61315068,937132,74921995
2013-10,6527065,70153425,925015,77605505
2013-11,498,60246575,922460,61169533
2013-12,183,61405479,922460,62328123
2014-01,186,60471233,922455,61393874
2014-02,167,53852055,922455,54774678
2014-03,182,62169863,922455,63092501
2014-04,197,63041096,922455,63963748
2014-05,9112074,73465753,922455,83500283
2014-06,135505016,67397260,2780546,205682823
2014-07,259072475,60556164,5766523,325395162
2014-08,218882188,65482192,4623887,288988267
2014-09,37332783,61068493,1114909,99516186
2014-10,5368274,65482192,922468,71772934
2014-11,1535014,64767123,922737,67224874
2014-12,1875,68412329,922505,69336709
2015-01,1537,68242466,922456,69166459
2015-02,1244,59950685,922456,60874385
2015-03,1380,66713699,922456,67637534
2015-04,828,65174814,922455,66098098
2015-05,298613,68284932,922455,69506000
2015-06,70596767,68416758,1771501,140785025
2015-07,280436634,72446575,6424934,359308143
2015-08,161381458,65652055,3090360,230123873
2015-09,63409254,64931507,1849592,130190353
2015-10,5266738,67860274,922683,74049695
2015-11,9498,65608073,922456,66540028
2015-12,15571,67732877,922456,68670904
2016-01,2472,68030137,927470,68960079
2016-02,709,62118623,924366,63043698
2016-03,904,64930137,923472,65854513
2016-04,1790059,62856670,922455,65569184
2016-05,24160774,64972603,933354,90066730
2016-06,192158944,61571414,4403145,258133504
2016-07,363136812,61235616,9541652,433914081
2016-08,206241561,58560274,3904135,268705970
2016-09,15094477,61890411,955849,77940737
2016-10,13391864,59282192,923185,73597241
2016-11,12332,57000000,922455,57934787
2016-12,58027,62985205,922455,63965687
2017-01,438,65329315,970821,66300573
2017-02,1005,55712329,922455,56635789
2017-03,169,63698630,922455,64621254
2017-04,135,62325045,922455,63247635
2017-05,30026088,64661187,996852,95684127
2017-06,122585160,53465753,1972193,178023107
2017-07,221948710,62594521,5269995,289813226
2017-08,127503858,62382192,2826513,192712562
2017-09,63794609,70684932,1531922,136011463
2017-10,2067748,61150685,922496,64140929
2017-11,102703,60287671,922455,61312830
2017-12,313954,64739041,922634,65975629
2018-01,85135,65074521,922456,66082112
2018-02,9034,61734247,922457,62665738
2018-03,1636,66297534,922473,67221643
2018-04,40351,54123288,922461,55086100
2018-05,1951482,57991233,922457,60865172
2018-06,71844972,45904110,1178379,118927461
2018-07,233439362,55403653,6002139,294845154
2018-08,136351003,56649315,3204270,196204588
2018-09,26190550,47260274,994392,74445216
2018-10,61818,60110274,922455,61094548
2018-11,60953,57808219,922455,58791627
2018-12,2618,56224658,922455,57149731
2019-01,21289,59409589,922456,60353334
2019-02,2468,53468493,922456,54393417
2019-03,1337,59565297,922456,60489089
2019-04,12389235,49342466,922455,62654156
2019-05,31474566,54610959,990275,87075800
2019-06,220755536,48383562,4028328,273167426
2019-07,441379714,48708219,9376866,499464799
2019-08,192357032,49571689,3976434,245905156
2019-09,43501090,46808219,1059383,91368693
2019-10,3402821,58970776,979867,63353464
2019-11,6858,57780822,945376,58733056
2019-12,216223,61009132,933787,62159143
2020-01,1326,58178082,922550,59101958
2020-02,1150,54782192,922466,55705808
2020-03,1166,57951598,922455,58875219
2020-04,37453,51205479,922455,52165388
2020-05,9897089,57328767,922523,68148379
2020-06,157957156,52068493,2968457,212994106
2020-07,224843609,55148858,5841521,285833989
2020-08,191462742,58432877,3957738,253853357
2020-09,5482543,48986301,964094,55432938
2020-10,6885200,56097260,924439,63906900
2020-11,11204,60493151,922455,61426810
2020-12,3318,59919178,922455,60844951
