# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Kanger E, Mouginot region: CE, Mankoff discharge gate (2021): 194, closest NSIDC/MEASUREs ID: 216, distance to closest NSIDC/MEASUREs ID: 4276m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,29,18118831,2625,18121485
2010-02,4,16315028,2625,16317657
2010-03,5,18005479,2625,18008109
2010-04,5,17342466,2625,17345095
2010-05,10289287,17920548,2625,28212460
2010-06,78372595,17260274,2625,95635494
2010-07,134573835,17835616,2625,152412076
2010-08,85980843,17750685,2625,103734153
2010-09,59046119,17178082,2625,76226826
2010-10,1148876,17665753,2625,18817255
2010-11,24131,17026523,2625,17053279
2010-12,1475,17526046,2625,17530145
2011-01,494,17465784,2625,17468903
2011-02,439,15738272,2625,15741336
2011-03,495,17410959,2625,17414079
2011-04,483,16849315,2625,16852423
2011-05,615202,17326027,2625,17943854
2011-06,39583059,16767123,2625,56352807
2011-07,106382500,17241096,2625,123626220
2011-08,62820639,17156164,2625,79979428
2011-09,16583470,16602740,2625,33188834
2011-10,127747,17071233,2625,17201605
2011-11,35469,16457208,2625,16495302
2011-12,335,16951818,2625,16954778
2012-01,3187,16901370,2625,16907182
2012-02,2981,15758491,2625,15764097
2012-03,3159,16816438,2625,16822222
2012-04,241,16273973,2625,16276839
2012-05,3175015,16731507,2625,19909147
2012-06,84183902,16109589,2625,100296116
2012-07,129780394,16646575,2625,146429594
2012-08,89840720,16561644,2625,106404989
2012-09,3701576,15945205,2625,19649406
2012-10,15737,16476712,2625,16495074
2012-11,0,15863014,2625,15865639
2012-12,0,16350081,2625,16352706
2013-01,0,16318861,2625,16321486
2013-02,0,14728767,2625,14731392
2013-03,0,16306849,2625,16309474
2013-04,0,15780822,2625,15783447
2013-05,479179,16221918,2625,16703721
2013-06,34823128,15698630,2625,50524383
2013-07,106661508,16221918,2625,122886050
2013-08,63365648,16136986,2625,79505259
2013-09,5447715,15616438,2625,21066778
2013-10,2658314,16136986,2625,18797925
2013-11,75,15534247,2625,15536946
2013-12,23,16052055,2625,16054703
2014-01,1826,16052055,2625,16056506
2014-02,1649,14498630,2625,14502904
2014-03,1767,16052055,2625,16056446
2014-04,1425,15452055,2625,15456104
2014-05,2993374,15967123,2625,18963122
2014-06,56862847,15452055,2625,72317527
2014-07,109580714,15967123,2625,125550462
2014-08,85947263,15967123,2625,101917011
2014-09,16751292,15493151,2625,32247067
2014-10,2325240,16391781,2625,18719645
2014-11,524506,16191781,2625,16718912
2014-12,7,17071233,2625,17073865
2015-01,4,16816438,2625,16819068
2015-02,1,16493151,2625,16495776
2015-03,1,18642466,2625,18645092
2015-04,0,18246437,2625,18249062
2015-05,115584,19024658,2625,19142866
2015-06,28402260,18669346,2625,47074231
2015-07,100985035,19449315,2625,120436975
2015-08,63265367,18047945,2625,81315937
2015-09,34779663,16684932,2625,51467219
2015-10,2109997,15924658,2625,18037279
2015-11,5506,15573794,2625,15581925
2015-12,165,16476712,2625,16479502
2016-01,8,17410959,2625,17413592
2016-02,5,16532998,2625,16535628
2016-03,8,17878082,2625,17880715
2016-04,602181,17817148,2625,18421954
2016-05,8772567,18769863,2625,27545054
2016-06,77903847,17058234,2625,94964705
2016-07,124263420,15712329,2625,139978374
2016-08,85819706,13886301,2625,99708632
2016-09,6964414,13849315,2625,20816354
2016-10,5497866,12077260,2625,17577751
2016-11,5,11136986,2625,11139616
2016-12,8812,12943562,2625,12954999
2017-01,27,13928767,2625,13931418
2017-02,29,13520548,2625,13523202
2017-03,27,17177397,2625,17180049
2017-04,26,16504731,2625,16507382
2017-05,12373561,16674886,2625,29051071
2017-06,52795021,11136986,2625,63934632
2017-07,96224044,13362557,2625,109589226
2017-08,53621779,14098630,2625,67723034
2017-09,29377366,15780822,2625,45160812
2017-10,1006307,14056164,2625,15065096
2017-11,43099,13315068,2625,13360792
2017-12,114296,13928767,2625,14045688
2018-01,14171,13911781,2625,13928576
2018-02,50,13271233,2625,13273907
2018-03,14,15389589,2625,15392228
2018-04,18494,13479452,2625,13500571
2018-05,658717,15236712,2625,15898055
2018-06,31805128,12616438,2625,44424191
2018-07,99320453,14013699,2625,113336777
2018-08,51697060,12081507,2625,63781192
2018-09,12989881,10383562,2625,23376068
2018-10,46797,13143151,2625,13192573
2018-11,45269,12383562,2625,12431456
2018-12,13077,12357534,2625,12373236
2019-01,686,13758904,2625,13762215
2019-02,311,14805479,2625,14808416
2019-03,399,12852968,2625,12855991
2019-04,3993455,12356164,2625,16352244
2019-05,14703353,12102740,2625,26808718
2019-06,89593080,9534247,2625,99129952
2019-07,153105662,9852055,2625,162960342
2019-08,71258526,7785388,2625,79046539
2019-09,20519684,6739726,2625,27262035
2019-10,1262340,10588128,2625,11853093
2019-11,3082,10726027,2625,10731734
2019-12,3261,10050228,2625,10056114
2020-01,391,9936986,2625,9940002
2020-02,364,12195890,2625,12198879
2020-03,374,10078539,2625,10081538
2020-04,16304,9780822,2625,9799751
2020-05,3678611,10673059,2625,14354295
2020-06,68505662,10767123,2625,79275410
2020-07,93965045,9115982,2625,103083652
2020-08,86235123,8747945,2625,94985693
2020-09,2451443,7452055,2625,9906123
2020-10,2996895,10573973,2625,13573492
2020-11,331,10630137,2625,10633093
2020-12,214,11380822,2625,11383661
