# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Deception N, Mouginot region: CE, Mankoff discharge gate (2021): 202, closest NSIDC/MEASUREs ID: 154, distance to closest NSIDC/MEASUREs ID: 4753m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,2737288,722596,3459883
2010-02,0,2576207,722596,3298803
2010-03,0,2887671,722596,3610267
2010-04,0,2794521,722596,3517116
2010-05,14997486,2293151,1003964,18294601
2010-06,66449590,3287671,2394757,72132018
2010-07,95902844,2208219,4005811,102116874
2010-08,79072542,764384,2922192,82759118
2010-09,97925570,1726027,2830457,102482054
2010-10,9080860,2123288,816262,12020410
2010-11,326,2448197,726262,3174784
2010-12,0,2975703,722674,3698377
2011-01,0,3405231,722596,4127827
2011-02,0,3356503,722596,4079099
2011-03,0,3821918,722596,4544514
2011-04,0,1972603,722596,2695198
2011-05,1225429,2208219,722596,4156244
2011-06,44515333,2301370,1420697,48237400
2011-07,93358752,1189041,3280558,97828351
2011-08,65704751,934247,2314062,68953060
2011-09,40536353,1808219,1273583,43618155
2011-10,633425,1698630,722631,3054687
2011-11,2923961,1522479,722596,5169036
2011-12,0,1470624,722596,2193219
2012-01,0,1358904,722596,2081500
2012-02,0,1119204,722596,1841800
2012-03,0,1104110,722596,1826705
2012-04,0,1643836,722596,2366431
2012-05,3591810,3312329,722596,7626734
2012-06,59611593,3123288,2316603,65051484
2012-07,95678309,3057534,3320701,102056544
2012-08,80311562,1189041,2959367,84459970
2012-09,15052282,821918,940031,16814231
2012-10,207252,934247,725588,1867087
2012-11,0,986301,722596,1708897
2012-12,0,1191166,722596,1913762
2013-01,0,1428792,722703,2151495
2013-02,0,1457534,722596,2180130
2013-03,0,1698630,722596,2421226
2013-04,0,1561644,722596,2284240
2013-05,1943740,1443836,722596,4110171
2013-06,53025988,3205479,1550826,57782293
2013-07,82400074,2802740,3186582,88389395
2013-08,80430216,2293151,2763793,85487159
2013-09,14522168,986301,880918,16389388
2013-10,9927784,1443836,845931,12217551
2013-11,0,1315068,723082,2038151
2013-12,0,1189041,723182,1912223
2014-01,0,1104110,722596,1826705
2014-02,0,920548,722596,1643144
2014-03,0,1019178,722596,1741774
2014-04,12,1561644,722596,2284251
2014-05,7437436,2208219,722596,10368251
2014-06,65056865,1643836,1787445,68488145
2014-07,101502317,1953425,3379852,106835594
2014-08,87470175,1443836,3023544,91937555
2014-09,35143570,1397260,1338680,37879511
2014-10,9171179,1019178,793789,10984146
2014-11,2786413,1068493,722596,4577502
2014-12,0,1189041,722596,1911637
2015-01,8,1273973,722596,1996577
2015-02,3,1304110,722596,2026709
2015-03,5,1910959,722596,2633559
2015-04,3,1617730,722596,2340329
2015-05,3875592,1443836,722596,6042024
2015-06,46435984,1649898,1489405,49575288
2015-07,81547664,1953425,3087453,86588541
2015-08,75143765,1401370,2479830,79024965
2015-09,56263655,1397260,1959581,59620497
2015-10,5871590,1443836,722847,8038272
2015-11,510,1173947,722596,1897053
2015-12,0,934247,722596,1656842
2016-01,0,849315,722596,1571911
2016-02,0,1234794,722596,1957390
2016-03,0,1783562,722596,2506157
2016-04,1232763,1786724,722596,3742083
2016-05,19599595,1868493,921790,22389878
2016-06,74014607,1659234,2498370,78172211
2016-07,96452672,1443836,3766226,101662733
2016-08,85441709,1146575,3023534,89611818
2016-09,25411261,1356164,1004109,27771534
2016-10,24226687,1087123,963025,26276836
2016-11,0,1273973,722596,1996568
2016-12,0,1019178,722596,1741774
2017-01,0,968219,722596,1690815
2017-02,0,1112329,722596,1834924
2017-03,0,1401370,722596,2123966
2017-04,0,1527295,722596,2249890
2017-05,29572636,1670320,1117641,32360596
2017-06,60243288,1602740,1855505,63701533
2017-07,95328463,1698630,3118085,100145178
2017-08,64856981,1316438,2166881,68340300
2017-09,63799843,1315068,1827735,66942647
2017-10,9226928,849315,771171,10847414
2017-11,0,904110,723039,1627149
2017-12,0,1040411,722600,1763011
2018-01,0,968219,722596,1690815
2018-02,0,1112329,722596,1834924
2018-03,0,1324932,722596,2047527
2018-04,455868,1397260,722596,2575724
2018-05,2304308,1392877,722596,4419781
2018-06,49824961,1479452,1412669,52717082
2018-07,95700285,1528767,3196818,100425871
2018-08,57815568,1295205,2031681,61142455
2018-09,30993341,630137,1131553,32755031
2018-10,364409,1019178,722596,2106182
2018-11,398308,1369863,722596,2490766
2018-12,0,1104110,722596,1826705
2019-01,0,1061644,722596,1784240
2019-02,0,1534247,722596,2256842
2019-03,0,1217352,722596,1939947
2019-04,10345501,1397260,722596,12465357
2019-05,21645048,1741096,1211028,24597171
2019-06,79028438,1753425,2581401,83363263
2019-07,121291880,1571233,4377933,127241046
2019-08,73779191,1330594,2560867,77670652
2019-09,42974598,780822,1345608,45101029
2019-10,6542244,905936,785012,8233193
2019-11,0,863014,722734,1585747
2019-12,0,877626,722799,1600425
2020-01,0,1132420,722752,1855172
2020-02,0,1191781,722742,1914523
2020-03,0,1273973,722752,1996725
2020-04,17880,1068493,722627,1809000
2020-05,13690068,1358904,730714,15779686
2020-06,84267392,1849315,2212677,88329384
2020-07,92955091,1896804,2922032,97773926
2020-08,96852091,1826027,3012829,101690947
2020-09,8455680,849315,822221,10127216
2020-10,12154355,1273973,856261,14284588
2020-11,0,1616438,724725,2341164
2020-12,0,976712,722752,1699465
