# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Polaric-Deception O N, Mouginot region: CE, Mankoff discharge gate (2021): 204, closest NSIDC/MEASUREs ID: 155, distance to closest NSIDC/MEASUREs ID: 6270m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,197,4072696,170158,4243051
2010-02,115,3002189,170158,3172462
2010-03,163,3057534,170158,3227855
2010-04,128,2958904,170158,3129190
2010-05,13793579,4246575,475199,18515353
2010-06,80558323,4849315,2515093,87922731
2010-07,122041380,6284932,4691931,133018243
2010-08,97183988,5775342,3589058,106548388
2010-09,105815288,5260274,3123168,114198730
2010-10,8278848,5095890,336948,13711686
2010-11,67,4538105,177116,4715289
2010-12,65,4243475,170306,4413846
2011-01,202,3813947,170200,3984348
2011-02,268,3164045,170433,3334746
2011-03,176,3397260,170158,3567594
2011-04,167,3698630,170158,3868954
2011-05,780385,4076712,174952,5032049
2011-06,43305634,4931507,1053092,49290233
2011-07,106478807,5945205,4133630,116557643
2011-08,72970838,5860274,2312552,81143664
2011-09,39596555,5424658,921812,45943024
2011-10,1186864,5605479,183751,6976094
2011-11,858985,5378317,173150,6410453
2011-12,298,5456165,170182,5626646
2012-01,0,5350685,170158,5520842
2012-02,0,4946430,170158,5116588
2012-03,0,5180822,170158,5350980
2012-04,2,3205479,170215,3375696
2012-05,1455841,3057534,216697,4730072
2012-06,80632368,3369863,2358082,86360313
2012-07,113108087,4841096,4818776,122767959
2012-08,102557036,5265753,3609188,111431978
2012-09,12100644,4767123,474753,17342520
2012-10,292199,5095890,178407,5566497
2012-11,496,5095890,170158,5266544
2012-12,427,5452864,174520,5627812
2013-01,26,5658969,170360,5829356
2013-02,23,5293151,170158,5463332
2013-03,26,6030137,171969,6202132
2013-04,25,5589041,170955,5760022
2013-05,3203358,2378082,191373,5772813
2013-06,57240510,4602740,1206048,63049297
2013-07,105896912,3991781,3836484,113725177
2013-08,84637382,5180822,2985744,92803948
2013-09,13132144,5178082,426209,18736435
2013-10,7267668,3821918,321387,11410973
2013-11,343,4191781,171081,4363205
2013-12,355,4756164,171270,4927789
2014-01,40,5265753,170158,5435951
2014-02,29,5216438,170158,5386624
2014-03,32,3567123,170158,3737312
2014-04,42,3041096,170158,3211296
2014-05,6155772,5095890,211847,11463510
2014-06,68927846,6328767,1461833,76718447
2014-07,116734009,3482192,3971901,124188102
2014-08,103855418,4926027,3383054,112164499
2014-09,36933215,5136986,1009146,43079347
2014-10,8850261,4841096,288712,13980069
2014-11,3363063,4684932,177938,8225932
2014-12,64,4841096,170158,5011317
2015-01,783,4926027,170158,5096968
2015-02,423,3298630,170158,3469210
2015-03,569,4076712,170158,4247438
2015-04,547,3945205,170158,4115910
2015-05,1864354,4076712,181690,6122756
2015-06,45934964,4176790,1080038,51191793
2015-07,98975363,4543836,3757819,107277017
2015-08,83257822,4543836,2954877,90756534
2015-09,60531854,4438356,1810808,66781018
2015-10,6541172,3567123,261023,10369319
2015-11,22039,2986047,170652,3178739
2015-12,715,2887671,170709,3059095
2016-01,884,4076712,170163,4247760
2016-02,58,4776485,170158,4946701
2016-03,280,5605479,170158,5775917
2016-04,22,4908366,170158,5078546
2016-05,12740852,4543836,508075,17792763
2016-06,89158511,4366493,2617579,96142583
2016-07,116406203,4501370,4731853,125639426
2016-08,99992654,4883562,3427866,108304082
2016-09,25552923,4315068,666270,30534262
2016-10,21058214,3516164,629640,25204019
2016-11,29050,3821918,170158,4021126
2016-12,419,4756164,170158,4926741
2017-01,4100,4365479,170158,4539737
2017-02,1572,3605479,170158,3777209
2017-03,1494,3758219,170219,3929932
2017-04,1296,3275804,170158,3447258
2017-05,21289293,2972603,620914,24882809
2017-06,71063649,2465753,1550048,75079451
2017-07,110490857,4246575,3546213,118283645
2017-08,71162929,5393151,2374439,78930519
2017-09,64719643,4931507,1720836,71371986
2017-10,10266516,4926027,353541,15546085
2017-11,771,4890411,171065,5062247
2017-12,6379,4841096,170166,5017640
2018-01,917,4552329,170170,4723416
2018-02,262,3605479,170169,3775910
2018-03,1303,2463014,170187,2634503
2018-04,283617,3452055,170179,3905851
2018-05,3169638,3040548,186644,6396830
2018-06,45936543,821918,1039942,47798403
2018-07,111040075,2434703,3878425,117353204
2018-08,60381287,3100000,2099983,65581270
2018-09,30994017,2164384,702712,33861113
2018-10,895035,4692466,170158,5757658
2018-11,1117397,3205479,170158,4493034
2018-12,4333,4161644,170158,4336135
2019-01,8673,2675342,170158,2854173
2019-02,11594,3452055,170158,3633806
2019-03,2358,3453881,170158,3626397
2019-04,10725849,3150685,295161,14171695
2019-05,21852386,2547945,662674,25063006
2019-06,99751791,1835616,2606486,104193893
2019-07,149495678,1061644,5548239,156105560
2019-08,81861816,1047489,2723294,85632599
2019-09,40051052,1767123,979224,42797399
2019-10,6004655,2689498,324998,9019151
2019-11,3785,3575342,180538,3759666
2019-12,4448,4218265,175321,4398034
2020-01,8,3878539,170456,4049003
2020-02,17,2065753,170436,2236207
2020-03,12,3736986,170456,3907454
2020-04,120562,3287671,170218,3578451
2020-05,9546139,1726941,350657,11623736
2020-06,89388197,1315068,2063647,92766913
2020-07,104154469,566210,3625653,108346332
2020-08,104730714,679452,3353069,108763236
2020-09,6982108,1753425,355048,9090580
2020-10,6334560,2547945,358668,9241173
2020-11,754,2465753,179373,2645880
2020-12,1339,5095890,187787,5285017
