# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Polaric S, Mouginot region: CE, Mankoff discharge gate (2021): 208, closest NSIDC/MEASUREs ID: 158, distance to closest NSIDC/MEASUREs ID: 6350m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,1761989,0,1761989
2010-02,0,1872274,0,1872274
2010-03,0,2378082,0,2378082
2010-04,0,2794521,0,2794521
2010-05,0,3736986,0,3736986
2010-06,0,904110,0,904110
2010-07,0,3397260,0,3397260
2010-08,0,2378082,0,2378082
2010-09,0,1643836,0,1643836
2010-10,0,1783562,0,1783562
2010-11,0,1822597,0,1822597
2010-12,0,1987876,0,1987876
2011-01,0,2098213,0,2098213
2011-02,0,1991543,0,1991543
2011-03,0,2293151,0,2293151
2011-04,0,2301370,0,2301370
2011-05,0,2547945,0,2547945
2011-06,0,3205479,0,3205479
2011-07,0,2547945,0,2547945
2011-08,0,2038356,0,2038356
2011-09,0,821918,0,821918
2011-10,0,1273973,0,1273973
2011-11,0,1691767,0,1691767
2011-12,0,2225704,0,2225704
2012-01,0,2717808,0,2717808
2012-02,0,2991014,0,2991014
2012-03,0,3652055,0,3652055
2012-04,0,4027397,0,4027397
2012-05,0,2802740,0,2802740
2012-06,0,2301370,0,2301370
2012-07,0,2378082,0,2378082
2012-08,0,1783562,0,1783562
2012-09,0,1561644,0,1561644
2012-10,0,1783562,0,1783562
2012-11,0,1808219,0,1808219
2012-12,0,2100381,0,2100381
2013-01,0,2487044,0,2487044
2013-02,0,2608219,0,2608219
2013-03,0,3227397,0,3227397
2013-04,0,2794521,0,2794521
2013-05,0,2717808,0,2717808
2013-06,0,2630137,0,2630137
2013-07,0,2293151,0,2293151
2013-08,0,2208219,0,2208219
2013-09,0,1479452,0,1479452
2013-10,0,1104110,0,1104110
2013-11,0,1150685,0,1150685
2013-12,0,1189041,0,1189041
2014-01,0,1189041,0,1189041
2014-02,0,1150685,0,1150685
2014-03,0,1273973,0,1273973
2014-04,0,1315068,0,1315068
2014-05,0,1698630,0,1698630
2014-06,0,2054795,0,2054795
2014-07,0,2293151,0,2293151
2014-08,0,1613699,0,1613699
2014-09,0,1520548,0,1520548
2014-10,0,1019178,0,1019178
2014-11,0,1150685,0,1150685
2014-12,0,1358904,0,1358904
2015-01,0,1528767,0,1528767
2015-02,0,1610959,0,1610959
2015-03,0,2293151,0,2293151
2015-04,0,1756008,0,1756008
2015-05,0,1358904,0,1358904
2015-06,0,1357175,0,1357175
2015-07,0,1443836,0,1443836
2015-08,0,1401370,0,1401370
2015-09,0,1726027,0,1726027
2015-10,0,552055,0,552055
2015-11,0,639512,0,639512
2015-12,0,764384,0,764384
2016-01,0,764384,0,764384
2016-02,0,782544,0,782544
2016-03,0,976712,0,976712
2016-04,0,1255772,0,1255772
2016-05,0,1528767,0,1528767
2016-06,0,889963,0,889963
2016-07,0,339726,0,339726
2016-08,0,509589,0,509589
2016-09,0,1808219,0,1808219
2016-10,0,1104110,0,1104110
2016-11,0,657534,0,657534
2016-12,0,1256986,0,1256986
2017-01,0,1647671,0,1647671
2017-02,0,1630137,0,1630137
2017-03,0,1826027,0,1826027
2017-04,0,1398929,0,1398929
2017-05,0,849315,0,849315
2017-06,0,369863,0,369863
2017-07,0,594521,0,594521
2017-08,0,594521,0,594521
2017-09,0,1890411,0,1890411
2017-10,0,1443836,0,1443836
2017-11,0,1438356,0,1438356
2017-12,0,1677397,0,1677397
2018-01,0,1664658,0,1664658
2018-02,0,1495890,0,1495890
2018-03,0,1596712,0,1596712
2018-04,0,1890411,0,1890411
2018-05,0,1647671,0,1647671
2018-06,0,493151,0,493151
2018-07,0,821005,0,821005
2018-08,0,679452,0,679452
2018-09,0,931507,0,931507
2018-10,0,1210274,0,1210274
2018-11,0,1506849,0,1506849
2018-12,0,1443836,0,1443836
2019-01,0,1401370,0,1401370
2019-02,0,1380822,0,1380822
2019-03,0,1415525,0,1415525
2019-04,0,1178082,0,1178082
2019-05,0,764384,0,764384
2019-06,0,493151,0,493151
2019-07,0,339726,0,339726
2019-08,0,821005,0,821005
2019-09,0,986301,0,986301
2019-10,0,1472146,0,1472146
2019-11,0,1315068,0,1315068
2019-12,0,1472146,0,1472146
2020-01,0,1302283,0,1302283
2020-02,0,1549315,0,1549315
2020-03,0,1557078,0,1557078
2020-04,0,1438356,0,1438356
2020-05,0,1189041,0,1189041
2020-06,0,780822,0,780822
2020-07,0,821005,0,821005
2020-08,0,721918,0,721918
2020-09,0,1041096,0,1041096
2020-10,0,1443836,0,1443836
2020-11,0,1260274,0,1260274
2020-12,0,1613699,0,1613699
