# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Deception O Cn Cs, Mouginot region: CE, Mankoff discharge gate (2021): 209, closest NSIDC/MEASUREs ID: 159, distance to closest NSIDC/MEASUREs ID: 3818m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,148180730,6250573,154431304
2010-02,0,136299333,6250573,142549906
2010-03,0,153556164,6250573,159806738
2010-04,0,152794521,6250573,159045094
2010-05,56776852,163068493,6446369,226291714
2010-06,286947642,150328767,8863598,446140007
2010-07,546567847,168589041,13726623,728883511
2010-08,398893766,159501370,11107197,569502333
2010-09,403470849,155589041,9410719,568470609
2010-10,25330192,159416438,6312250,191058881
2010-11,50166,152648279,6250574,158949018
2010-12,27396,155866711,6250573,162144681
2011-01,2280,154051990,6254830,160309100
2011-02,968999,137951884,6284452,145205335
2011-03,804018,152282192,6250573,159336783
2011-04,4591,158958904,6250573,165214069
2011-05,4356504,170712329,6255367,181324200
2011-06,156833311,164794521,7072797,328700628
2011-07,465531851,169863014,11806199,647201063
2011-08,278330955,159076712,9024429,446432097
2011-09,113782040,154767123,6586943,275136106
2011-10,2333171,160775342,6261686,169370199
2011-11,3911124,156451563,6251756,166614443
2011-12,17884,162532731,6250573,168801188
2012-01,419152,163408219,6250573,170077945
2012-02,381618,153845727,6250573,160477919
2012-03,7671,165021918,6250573,171280162
2012-04,23895,146054795,6250573,152329263
2012-05,9324813,157038356,6255661,172618831
2012-06,335299858,150082192,12279452,497661502
2012-07,623583275,140391781,19519303,783494359
2012-08,449544575,140816438,13285541,603646555
2012-09,38211834,135780822,6399163,180391819
2012-10,5689382,150498630,6250669,162438681
2012-11,173154,154273973,6250579,160697706
2012-12,38765,159695186,6250580,165984531
2013-01,203414,159830175,6250573,166284162
2013-02,22981,144449315,6250573,150722869
2013-03,14494,160010959,6250573,166276026
2013-04,13763,139315068,6250573,145579405
2013-05,10034919,157463014,6259411,173757343
