# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Uunartit Islands, Mouginot region: CE, Mankoff discharge gate (2021): 211, closest NSIDC/MEASUREs ID: 161, distance to closest NSIDC/MEASUREs ID: 6398m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,230827,314819327,7223598,322273751
2010-02,553285,288810108,7223596,296586988
2010-03,3084,321550685,7223598,328777366
2010-04,4181,291287671,7223597,298515449
2010-05,21553635,325117808,7227913,353899357
2010-06,185571055,314465753,11721325,511758134
2010-07,390776609,311019178,16246850,718042637
2010-08,308712149,329704110,16985947,655402206
2010-09,316020625,293013699,13827593,622861917
2010-10,24332999,303800000,7295629,335428628
2010-11,203929,294804127,7255803,302263860
2010-12,45155,305228705,7228716,312502576
2011-01,29849,305962990,7223714,313216554
2011-02,26529,277426708,7223701,284676937
2011-03,11553,308895890,7223714,316131157
2011-04,255886,311506849,7223710,318986445
2011-05,893326,332761644,7223715,340878685
2011-06,69648131,324328767,8462582,402439480
2011-07,330276818,336073973,13658841,680009631
2011-08,190616473,341764384,11632175,544013032
2011-09,71036601,330000000,7659726,408696327
2011-10,1808667,340235616,7223720,349268003
2011-11,2358222,328510241,7223761,338092224
2011-12,243377,338716933,7223714,346184024
2012-01,2194119,337942466,7223712,347360297
2012-02,173154,315612933,7223704,323009791
2012-03,23949,336413699,7223751,343661398
2012-04,789750,304849315,7223593,312862659
2012-05,4194390,312208219,7223583,323626193
2012-06,164537820,321123288,10353934,496015042
2012-07,409973919,357901370,22386353,790261642
2012-08,305555307,334715068,14988981,655259357
2012-09,20650774,313397260,7223583,341271617
2012-10,1006388,329024658,7223583,337254629
2012-11,5098,322767123,7223584,329995805
2012-12,1205,337518262,7223583,344743051
2013-01,108948,341450325,7271745,348831018
2013-02,136758,311912329,7224636,319273723
2013-03,13646,348813699,7223580,356050925
2013-04,13209,341589041,7223580,348825830
2013-05,1218929,336413699,7223580,344856207
2013-06,77737940,362054795,8114101,447906836
2013-07,265711432,358326027,13420187,637457646
2013-08,164542011,369961644,11266163,545769818
2013-09,23706708,326219178,7333471,357259357
2013-10,11328287,367158904,7223748,385710940
2013-11,730366,356465753,7223743,364419862
2013-12,90093,369452055,7223748,376765896
