# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Kruuse Fjord, Mouginot region: CE, Mankoff discharge gate (2021): 213, closest NSIDC/MEASUREs ID: 162, distance to closest NSIDC/MEASUREs ID: 28167m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,28593054,1226862,29819916
2010-02,0,26806291,1226848,28033139
2010-03,0,30065753,1226849,31292603
2010-04,0,22520548,1226861,23747409
2010-05,0,23271233,1489181,24760414
2010-06,0,28027397,4003546,32030943
2010-07,0,25734247,8720090,34454337
2010-08,0,29810959,8983607,38794566
2010-09,0,27780822,6149792,33930614
2010-10,0,28621918,1335464,29957381
2010-11,0,27598892,1226834,28825726
2010-12,0,28410183,1226834,29637018
2011-01,0,28288227,1226850,29515076
2011-02,0,25431234,1226848,26658081
2011-03,0,28027397,1226849,29254246
2011-04,0,26958904,1226848,28185753
2011-05,0,22846575,1226849,24073424
2011-06,0,24986301,2314128,27300429
2011-07,0,27263014,6006286,33269300
2011-08,0,30490411,4830314,35320725
2011-09,0,28602740,1630874,30233614
2011-10,0,28706849,1226850,29933699
2011-11,0,26881320,1226868,28108187
2011-12,0,26852051,1226849,28078900
2012-01,0,25904110,1226834,27130944
2012-02,0,23370162,1226834,24596997
2012-03,0,24120548,1226834,25347382
2012-04,0,22438356,1227434,23665790
2012-05,0,25564384,1226835,26791218
2012-06,0,30575342,4992251,35567594
2012-07,0,32358904,13228977,45587882
2012-08,0,21487671,7576491,29064163
2012-09,0,23589041,1302715,24891756
2012-10,0,23441096,1226835,24667931
2012-11,0,21945205,1226837,23172042
2012-12,0,21766929,1226835,22993763
2013-01,0,20723734,1227261,21950995
2013-02,0,17797260,1226844,19024104
2013-03,0,18854795,1226834,20081629
2013-04,0,25315068,1226834,26541903
2013-05,0,23950685,1226834,25177519
2013-06,0,24986301,2648480,27634782
2013-07,0,24884932,6053067,30937999
2013-08,0,28961644,4355354,33316998
2013-09,0,19890411,1357957,21248368
2013-10,0,27687671,1289294,28976965
2013-11,0,25972603,1226834,27199437
2013-12,0,25989041,1226834,27215875
2014-01,0,25139726,1226838,26366564
2014-02,0,21863014,1226838,23089851
2014-03,0,23441096,1226837,24667933
2014-04,0,22191781,1253052,23444833
2014-05,0,20383562,1227017,21610579
2014-06,0,20794521,2767140,23561661
2014-07,0,25564384,5742638,31307022
2014-08,0,22421918,5390003,27811920
2014-09,0,22808219,1998022,24806241
2014-10,0,28791781,1238557,30030338
2014-11,0,23095890,1226858,24322749
2014-12,0,21869863,1226834,23096697
2015-01,0,19831507,1226889,21058395
2015-02,0,17375342,1226861,18602203
2015-03,0,23950685,1226914,25177598
2015-04,0,24108049,1227013,25335063
2015-05,0,25224658,1226836,26451494
2015-06,0,24055101,2048257,26103359
2015-07,0,24078082,4278246,28356328
2015-08,0,22591781,3480038,26071818
2015-09,0,19315068,2417320,21732389
2015-10,0,22336986,1227586,23564573
2015-11,0,20269035,1226834,21495869
2015-12,0,19619178,1244651,20863829
2016-01,0,19789041,1226989,21016030
2016-02,0,19080191,1226834,20307025
2016-03,0,20935616,1226893,22162510
2016-04,0,20383678,1226834,21610512
2016-05,0,21190411,1226834,22417245
2016-06,0,21231597,3801531,25033128
2016-07,0,22549315,7626272,30175588
2016-08,0,22336986,4991341,27328327
2016-09,0,20013699,1362156,21375855
2016-10,0,21504658,1267285,22771943
2016-11,0,20424658,1247674,21672331
2016-12,0,20434521,1229504,21664024
2017-01,0,20944110,1226834,22170944
2017-02,0,17432877,1226834,18659711
2017-03,0,20532192,1226834,21759026
2017-04,0,19935629,1226834,21162463
2017-05,0,20666667,1226834,21893501
2017-06,0,21534247,2643626,24177872
2017-07,0,23016438,4089326,27105765
2017-08,0,22931507,3170663,26102169
2017-09,0,19726027,2918390,22644417
2017-10,0,20680822,1341033,22021855
2017-11,0,19767123,1229929,20997053
2017-12,0,19258219,1228867,20487086
2018-01,0,20077808,1243405,21321213
2018-02,0,16704110,1232608,17936718
2018-03,0,19024658,1233357,20258014
2018-04,0,19767123,1230529,20997652
2018-05,0,19483288,1226834,20710122
2018-06,0,19520548,1779085,21299633
2018-07,0,21119635,6718317,27837952
2018-08,0,20808219,4682931,25491150
2018-09,0,19369863,1835232,21205095
2018-10,0,20786986,1226837,22013823
2018-11,0,19123288,1226834,20350122
2018-12,0,20659589,1226834,21886424
2019-01,0,20765753,1226978,21992731
2019-02,0,18104110,1226851,19330961
2019-03,0,20015525,1234320,21249846
2019-04,0,19424658,1226852,20651510
2019-05,0,20383562,1257936,21641498
2019-06,0,20000000,4135433,24135433
2019-07,0,22464384,12747302,35211686
2019-08,0,19958904,5941583,25900487
2019-09,0,19150685,1637590,20788274
2019-10,0,18996347,1227933,20224280
2019-11,0,19150685,1227010,20377695
2019-12,0,19137900,1226928,20364827
2020-01,0,18883105,1226841,20109946
2020-02,0,17042466,1226872,18269338
2020-03,0,18854795,1226973,20081767
2020-04,0,18616438,1226888,19843326
2020-05,0,20694977,1226836,21921813
2020-06,0,20835616,2980803,23816420
2020-07,0,21714155,4325771,26039926
2020-08,0,21657534,4735039,26392573
2020-09,0,20000000,1259952,21259952
2020-10,0,22167123,1226839,23393962
2020-11,0,20027397,1226836,21254233
2020-12,0,20723288,1226839,21950126
