# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Laube S, Mouginot region: CE, Mankoff discharge gate (2021): 223, closest NSIDC/MEASUREs ID: 217, distance to closest NSIDC/MEASUREs ID: 591m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,116113760,0,116113760
2010-02,0,106724574,0,106724574
2010-03,0,118904110,0,118904110
2010-04,0,106520548,0,106520548
2010-05,16361862,112449315,0,128811177
2010-06,154560438,118109589,0,272670027
2010-07,278878829,117290411,0,396169240
2010-08,250239572,110835616,0,361075188
2010-09,204139843,113835616,0,317975459
2010-10,13463561,117715068,0,131178629
2010-11,67103,114002613,0,114069715
2010-12,183,117887523,0,117887707
2011-01,3393,117974940,0,117978334
2011-02,3078,106636519,0,106639597
2011-03,3360,118139726,0,118143086
2011-04,11574,114410959,0,114422533
2011-05,23998,119838356,0,119862354
2011-06,36159031,118520548,0,154679579
2011-07,207909449,120857534,0,328766983
2011-08,136679896,107693151,0,244373047
2011-09,32195313,104712329,0,136907642
2011-10,315455,108627397,0,108942853
2011-11,96709,105558780,0,105655489
2011-12,15623,109520182,0,109535806
2012-01,8985,109986301,0,109995286
2012-02,8250,103273656,0,103281906
2012-03,8803,110920548,0,110929351
2012-04,8559,108739726,0,108748285
2012-05,2695670,108457534,0,111153205
2012-06,155227052,109150685,0,264377737
2012-07,329260579,111430137,0,440690716
2012-08,246830934,105400000,0,352230934
2012-09,12859843,103479452,0,116339295
2012-10,162499,109391781,0,109554280
2012-11,5990,108000000,0,108005990
2012-12,6187,110715409,0,110721596
2013-01,4466,108688548,0,108693014
2013-02,20508,96350685,0,96371193
2013-03,8008,105230137,0,105238145
2013-04,21742,97890411,0,97912153
2013-05,69888,100389041,0,100458929
2013-06,48186088,102821918,0,151008006
2013-07,189794113,108457534,0,298251647
2013-08,117888236,109306849,0,227195086
2013-09,11922491,106191781,0,118114272
2013-10,11412068,118564384,0,129976451
2013-11,237,113013699,0,113013936
2013-12,173,114997260,0,114997433
2014-01,19393,113213699,0,113233092
2014-02,15471,100646575,0,100662046
2014-03,17129,109816438,0,109833567
2014-04,16577,107917808,0,107934385
2014-05,2255265,106928767,0,109184032
2014-06,74852710,114082192,0,188934902
2014-07,218298475,115846575,0,334145051
2014-08,174583317,108797260,0,283380577
2014-09,40020338,106520548,0,146540886
2014-10,1120167,107098630,0,108218797
2014-11,177419,109479452,0,109656871
2014-12,5719,103531507,0,103537226
2015-01,88364,100431507,0,100519871
2015-02,2139,98115068,0,98117208
2015-03,475898,113723288,0,114199186
2015-04,1806,106475754,0,106477560
2015-05,2430,106504110,0,106506539
2015-06,35511130,105279077,0,140790207
2015-07,189166791,110963014,0,300129805
2015-08,142871518,102002740,0,244874258
2015-09,64412369,99123288,0,163535657
2015-10,96905,102809589,0,102906494
2015-11,124786,98651024,0,98775810
2015-12,18643,101110959,0,101129602
2016-01,2018,103404110,0,103406128
2016-02,1,94334460,0,94334461
2016-03,0,98520548,0,98520548
2016-04,415673,95474810,0,95890483
2016-05,8462536,98987671,0,107450208
2016-06,130449805,96913657,0,227363462
2016-07,285211761,101960274,0,387172035
2016-08,163136084,104253425,0,267389508
2016-09,23028164,96534247,0,119562411
2016-10,11111794,99624658,0,110736451
2016-11,2494,100232877,0,100235371
2016-12,942,105909589,0,105910531
2017-01,30113,104805479,0,104835593
2017-02,3727,95832877,0,95836603
2017-03,3204,105994521,0,105997724
2017-04,3101,99726413,0,99729513
2017-05,9789371,97897717,0,107687088
2017-06,48185197,88849315,0,137034512
2017-07,166896392,98548858,0,265445250
2017-08,120359721,98478082,0,218837803
2017-09,71301235,93534247,0,164835481
2017-10,3113790,92617808,0,95731598
2017-11,13230,103109589,0,103122819
2017-12,12284,100601370,0,100613654
2018-01,0,104618630,0,104618630
2018-02,0,89350685,0,89350685
2018-03,1,104312877,0,104312877
2018-04,1,94767123,0,94767124
2018-05,1,95378082,0,95378083
2018-06,29644763,89547945,0,119192709
2018-07,170981525,104692237,0,275673762
2018-08,100083614,97628767,0,197712381
2018-09,32578140,99863014,0,132441154
2018-10,343459,108054110,0,108397568
2018-11,65298,105780822,0,105846120
2018-12,13366,115952740,0,115966106
2019-01,2762,120305479,0,120308242
2019-02,760,101605479,0,101606239
2019-03,833,111373516,0,111374349
2019-04,6037698,106684932,0,112722629
2019-05,16010159,111260274,0,127270433
2019-06,111270198,101287671,0,212557870
2019-07,314481730,103489041,0,417970771
2019-08,144574204,97954338,0,242528542
2019-09,31885034,94890411,0,126775445
2019-10,1608674,105400000,0,107008674
2019-11,2369,103643836,0,103646205
2019-12,3246,115874886,0,115878132
2020-01,22,115421918,0,115421940
2020-02,18,102254795,0,102254812
2020-03,13,114063014,0,114063026
2020-04,12,106397260,0,106397272
2020-05,4147559,112279452,0,116427011
2020-06,65591146,110342466,0,175933612
2020-07,180758970,106560731,0,287319701
2020-08,135449967,99454795,0,234904762
2020-09,3847772,98547945,0,102395717
2020-10,2096702,106036986,0,108133688
2020-11,845,105780822,0,105781667
2020-12,977,109773973,0,109774950
