# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Jungersen Henson Naravana, Mouginot region: NO, Mankoff discharge gate (2021): 1, closest NSIDC/MEASUREs ID: 101, distance to closest NSIDC/MEASUREs ID: 45395m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,7389041,0,7389041
2010-02,0,6673973,0,6673973
2010-03,0,7389041,0,7389041
2010-04,0,7150685,0,7150685
2010-05,0,7389041,0,7389041
2010-06,16491719,7068493,11606,23571818
2010-07,98568839,7304110,186825,106059774
2010-08,18966107,7304110,36175,26306391
2010-09,0,7068493,0,7068493
2010-10,0,7304110,0,7304110
2010-11,0,7068493,0,7068493
2010-12,0,7304110,0,7304110
2011-01,0,7304110,0,7304110
2011-02,0,6597260,0,6597260
2011-03,0,7304110,0,7304110
2011-04,0,7068493,0,7068493
2011-05,0,7304110,0,7304110
2011-06,30662273,7068493,56145,37786911
2011-07,160958722,7304110,320376,168583208
2011-08,40209378,7304110,119854,47633342
2011-09,0,7068493,0,7068493
2011-10,0,7304110,0,7304110
2011-11,0,7068493,0,7068493
2011-12,0,7304110,0,7304110
2012-01,0,7304110,0,7304110
2012-02,0,6791165,0,6791165
2012-03,0,7219178,0,7219178
2012-04,0,6986301,0,6986301
2012-05,0,7219178,0,7219178
2012-06,33069875,6986301,52683,40108859
2012-07,182723890,7219178,415716,190358784
2012-08,59727502,7219178,158230,67104910
2012-09,0,6986301,0,6986301
2012-10,0,7219178,0,7219178
2012-11,0,6986301,0,6986301
2012-12,0,7192589,0,7192589
2013-01,0,7126874,0,7126874
2013-02,0,6367123,0,6367123
2013-03,0,6964384,0,6964384
2013-04,0,6657534,0,6657534
2013-05,0,6879452,0,6879452
2013-06,1695171,6575342,3079,8273592
2013-07,43023908,6709589,78752,49812249
2013-08,7600956,6709589,13237,14323782
2013-09,0,6410959,0,6410959
2013-10,0,6539726,0,6539726
2013-11,0,6246575,0,6246575
2013-12,0,6454795,0,6454795
2014-01,0,6369863,0,6369863
2014-02,0,5676712,0,5676712
2014-03,0,6284932,0,6284932
2014-04,0,6000000,0,6000000
2014-05,0,6115068,0,6115068
2014-06,7978910,5835616,5718,13820244
2014-07,69416436,6030137,151252,75597825
2014-08,38137161,5945205,82459,44164825
2014-09,0,5794521,0,5794521
2014-10,0,6200000,0,6200000
2014-11,0,6246575,0,6246575
2014-12,0,6624658,0,6624658
2015-01,0,6794521,0,6794521
2015-02,0,5101370,0,5101370
2015-03,0,5860274,0,5860274
2015-04,0,5870453,0,5870453
2015-05,0,6200000,0,6200000
2015-06,15144239,6043918,14884,21203041
2015-07,167854095,6284932,375392,174514418
2015-08,30432056,6369863,61248,36863167
2015-09,0,5506849,0,5506849
2015-10,0,4586301,0,4586301
2015-11,0,5027845,0,5027845
2015-12,0,5775342,0,5775342
2016-01,0,5775342,0,5775342
2016-02,0,5402740,0,5402740
2016-03,0,5775342,0,5775342
2016-04,0,5378509,0,5378509
2016-05,0,5350685,0,5350685
2016-06,38023560,5641252,81296,43746108
2016-07,160941092,6284932,378059,167604083
2016-08,13355804,6157534,23073,19536410
2016-09,0,7520548,0,7520548
2016-10,0,6777534,0,6777534
2016-11,0,6657534,0,6657534
2016-12,0,7321096,0,7321096
2017-01,0,7558904,0,7558904
2017-02,0,6904110,0,6904110
2017-03,0,7367808,0,7367808
2017-04,0,6920746,0,6920746
2017-05,0,7049315,0,7049315
2017-06,8501955,6863014,3908,15368876
2017-07,98513714,7898630,186775,106599119
2017-08,24744509,8238356,43188,33026054
2017-09,0,8054795,0,8054795
2017-10,0,7558904,0,7558904
2017-11,0,6904110,0,6904110
2017-12,0,7898630,0,7898630
2018-01,0,7541918,0,7541918
2018-02,0,6712329,0,6712329
2018-03,0,7015342,0,7015342
2018-04,0,7109589,0,7109589
2018-05,0,6726575,0,6726575
2018-06,8429885,6287671,3662,14721218
2018-07,52119331,7473973,89020,59682323
2018-08,66423371,7495205,127186,74045763
2018-09,0,6219178,0,6219178
2018-10,0,6348630,0,6348630
2018-11,0,6027397,0,6027397
2018-12,0,6412329,0,6412329
2019-01,0,6369863,0,6369863
2019-02,0,5600000,0,5600000
2019-03,0,6171689,0,6171689
2019-04,0,6438356,0,6438356
2019-05,0,5987671,0,5987671
2019-06,34906099,6630137,58761,41594998
2019-07,205057010,7091781,458555,212607347
2019-08,58480575,6624658,131956,65237189
2019-09,138,5465753,0,5465892
2019-10,0,5860274,0,5860274
2019-11,0,6123288,0,6123288
2019-12,0,6511416,0,6511416
2020-01,0,6284932,0,6284932
2020-02,0,5482192,0,5482192
2020-03,0,5973516,0,5973516
2020-04,0,5671233,0,5671233
2020-05,0,5945205,0,5945205
2020-06,28225593,5671233,44173,33940999
2020-07,217952454,5520548,478333,223951336
2020-08,69348086,4883562,150077,74381724
2020-09,0,4356164,0,4356164
2020-10,0,4756164,0,4756164
2020-11,0,4410959,0,4410959
2020-12,0,4713699,0,4713699
