# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Hayes Gletscher M Ss, Mouginot region: NW, Mankoff discharge gate (2021): 111, closest NSIDC/MEASUREs ID: 36, distance to closest NSIDC/MEASUREs ID: 8664m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,62194138,8248102,70442240
2010-02,0,56876061,8248102,65124163
2010-03,0,63698630,8248102,71946732
2010-04,0,62465753,8248102,70713855
2010-05,15046168,59706849,8354125,83107142
2010-06,140663082,66493151,11993366,219149599
2010-07,151526184,54101370,13361928,218989482
2010-08,146756042,55969863,13574738,216300644
2010-09,6102881,55890411,8292599,70285891
2010-10,37176,57583562,8248102,65868840
2010-11,2651588,55521554,8248102,66421244
2010-12,4406,57143297,8248102,65395805
2011-01,0,56899259,8248102,65147361
2011-02,0,51182058,8248102,59430160
2011-03,0,56479452,8248102,64727554
2011-04,0,54493151,8248102,62741253
2011-05,0,56054795,8248102,64302897
2011-06,81107908,66821918,10021653,157951479
2011-07,242702840,71427397,16487085,330617323
2011-08,94156443,62424658,11079776,167660877
2011-09,2912536,50794521,8255031,61962087
2011-10,0,52742466,8248102,60990568
2011-11,0,51372835,8248102,59620937
2011-12,0,53463439,8248102,61711541
2012-01,0,53846575,8248102,62094677
2012-02,0,50704555,8248102,58952657
2012-03,0,54526027,8248102,62774129
2012-04,0,53095890,8248102,61343992
2012-05,9887820,53082192,8375421,71345432
2012-06,153359079,67561644,12922902,233843625
2012-07,208380381,71852055,19374752,299607187
2012-08,135053155,60810959,12821246,208685360
2012-09,5750629,57452055,8261184,71463867
2012-10,1510367,58008219,8248102,67766688
2012-11,0,54986301,8248102,63234403
2012-12,0,57375077,8248102,65623179
2013-01,0,58640432,8248102,66888534
2013-02,0,54082192,8248102,62330294
2013-03,0,60726027,8248102,68974129
2013-04,0,58109589,8248102,66357691
2013-05,0,56734247,8248102,64982349
2013-06,75800982,61972603,9717023,147490607
2013-07,160222293,70917808,12819394,243959495
2013-08,59803006,60895890,9101135,129800032
2013-09,6212067,53753425,8257390,68222882
2013-10,0,56564384,8248102,64812486
2013-11,0,55808219,8248102,64056321
2013-12,0,58772603,8248102,67020705
2014-01,0,59791781,8248102,68039883
2014-02,0,55002740,8248102,63250842
2014-03,0,61830137,8248102,70078239
2014-04,0,60904110,8248102,69152212
2014-05,0,63953425,8248102,72201527
2014-06,107388792,62958904,10271898,180619593
2014-07,162388685,66076712,15291978,243757375
2014-08,119656433,57158904,10694692,187510029
2014-09,2407742,53465753,8248102,64121598
2014-10,538889,54865753,8248102,63652745
2014-11,0,53753425,8248102,62001527
2014-12,0,56224658,8248102,64472760
2015-01,0,56904110,8248102,65152212
2015-02,0,50975342,8248102,59223445
2015-03,0,56436986,8248102,64685088
2015-04,0,55542778,8248102,63790880
2015-05,544689,58305479,8248102,67098270
2015-06,95907553,55623438,10164464,161695454
2015-07,214280033,56267123,18508125,289055281
2015-08,64692663,55502740,9411749,129607152
2015-09,5848060,54493151,8264649,68605860
2015-10,0,53336986,8248102,61585088
2015-11,0,52540280,8248102,60788382
2015-12,0,55587671,8248102,63835773
2016-01,0,56224658,8248102,64472760
2016-02,0,52805987,8248102,61054089
2016-03,0,56564384,8248102,64812486
2016-04,4093,54802278,8248102,63054473
2016-05,715724,56691781,8248102,65655607
2016-06,63820946,55053482,9513318,128387746
2016-07,187146078,57031507,16259477,260437062
2016-08,113799905,54271233,10768498,178839636
2016-09,863619,55109589,8248365,64221574
2016-10,0,56241644,8248102,64489746
2016-11,0,56013699,8248102,64261801
2016-12,0,57090959,8248102,65339061
2017-01,0,57498630,8248102,65746732
2017-02,0,51665753,8248102,59913855
2017-03,0,56054795,8248102,64302897
2017-04,0,54906242,8248102,63154344
2017-05,257303,57385388,8248102,65890793
2017-06,56828317,54164384,8962036,119954737
2017-07,180756496,56507763,11808833,249073092
2017-08,105005533,56819178,10536089,172360800
2017-09,4690356,54904110,8256437,67850903
2017-10,21901,55035616,8248102,63305620
2017-11,0,57616438,8248102,65864540
2017-12,0,57647260,8248102,65895362
2018-01,0,57651507,8248102,65899609
2018-02,0,51665753,8248102,59913855
2018-03,0,56955068,8248102,65203171
2018-04,0,57780822,8248102,66028924
2018-05,1069777,56547397,8248102,65865277
2018-06,89299515,52726027,9115779,151141322
2018-07,107010207,56705936,9556979,173273121
2018-08,110666595,58241781,11621396,180529772
2018-09,4141304,54712329,8250885,67104518
2018-10,0,56097260,8248102,64345362
2018-11,0,55041096,8248102,63289198
2018-12,0,56904110,8248102,65152212
2019-01,0,56946575,8248102,65194677
2019-02,0,51167123,8248102,59415225
2019-03,0,55771689,8248102,64019792
2019-04,320756,53945205,8250645,62516607
2019-05,39948434,55715068,8617086,104280589
2019-06,125279481,55013699,10530348,190823527
2019-07,237067926,56097260,17142131,310307317
2019-08,111843173,54922374,12010618,178776165
2019-09,15663139,53958904,8352324,77974368
2019-10,1021998,56479452,8248102,65749552
2019-11,0,55109589,8248102,63357691
2019-12,0,57611872,8248102,65859974
2020-01,0,57442009,8248102,65690111
2020-02,0,53789041,8248102,62037143
2020-03,0,57272146,8248102,65520248
2020-04,0,56178082,8248102,64426184
2020-05,1239032,57696804,8248102,67183937
2020-06,53865105,54945205,9399420,118209730
2020-07,162122469,58036530,13283490,233442489
2020-08,89755612,57541096,10591008,157887716
2020-09,1114428,55452055,8256148,64822631
2020-10,3624051,58602740,8251821,70478612
2020-11,0,57287671,8248102,65535773
2020-12,0,59239726,8248102,67487828
