# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Kakivfaat Sermiat, Mouginot region: NW, Mankoff discharge gate (2021): 130, closest NSIDC/MEASUREs ID: 26, distance to closest NSIDC/MEASUREs ID: 5648m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,3482764,3823376,7306140
2010-02,0,3282832,3823376,7106209
2010-03,0,3821918,3823376,7645294
2010-04,0,4849315,3823376,8672691
2010-05,4287050,4841096,3834888,12963034
2010-06,30102111,3780822,6361220,40244153
2010-07,36013285,4246575,7855223,48115083
2010-08,31052254,4416438,7733047,43201739
2010-09,1410827,4520548,3863617,9794992
2010-10,191473,4926027,3823376,8940877
2010-11,760889,4996775,3823376,9581040
2010-12,449,5379033,3823376,9202858
2011-01,0,5596716,3823376,9420092
2011-02,0,5255393,3823376,9078769
2011-03,0,6030137,3823376,9853513
2011-04,0,6082192,3823376,9905568
2011-05,0,6539726,3823376,10363102
2011-06,13866591,6575342,4969032,25410965
2011-07,47865023,6964384,9323048,64152454
2011-08,19145674,4161644,5938796,29246113
2011-09,383751,4027397,3823378,8234527
2011-10,0,4246575,3823376,8069952
2011-11,0,4109589,3823376,7932965
2011-12,0,4246575,3823376,8069952
2012-01,0,4246575,3823376,8069952
2012-02,0,3972603,3823376,7795979
2012-03,0,4246575,3823376,8069952
2012-04,0,4109589,3823376,7932965
2012-05,1500892,4416438,3862731,9780061
2012-06,31885807,5835616,7844048,45565471
2012-07,41171986,8068493,12434379,61674859
2012-08,24133372,4246575,7326561,35706509
2012-09,422207,4027397,3823376,8272981
2012-10,130551,4076712,3823376,8030640
2012-11,0,3863014,3823376,7686390
2012-12,0,4440294,3823376,8263671
2013-01,0,5460361,3823376,9283737
2013-02,0,5830137,3823376,9653513
2013-03,0,7134247,3823376,10957623
2013-04,0,7726027,3823376,11549404
2013-05,0,5265753,3823376,9089130
2013-06,14172994,5506849,4591212,24271056
2013-07,31980044,6709589,7152102,45841735
2013-08,10763858,3652055,4580832,18996745
2013-09,1175929,1643836,3827603,6647367
2013-10,0,2038356,3823376,5861733
2013-11,0,2383562,3823376,6206938
2013-12,0,2802740,3823376,6626116
2014-01,0,3142466,3823376,6965842
2014-02,0,3145205,3823376,6968582
2014-03,0,3736986,3823376,7560363
2014-04,0,4027397,3823376,7850774
2014-05,0,4501370,3823376,8324746
2014-06,16975797,6410959,4970486,28357242
2014-07,33437717,6539726,9147061,49124504
2014-08,25137350,3906849,5947262,34991461
2014-09,233864,2383562,3823376,6440802
2014-10,2298,2123288,3823376,5948962
2014-11,0,2876712,3823376,6700089
2014-12,0,3779452,3823376,7602828
2015-01,0,4076712,3823376,7900089
2015-02,0,3145205,3823376,6968582
2015-03,0,3184932,3823376,7008308
2015-04,0,3020349,3823376,6843725
2015-05,32146,3100000,3823376,6955522
2015-06,14674262,3589489,5176763,23440514
2015-07,38490271,4289041,11075553,53854866
2015-08,9245997,3736986,4370551,17353534
2015-09,530656,3698630,3823376,8052662
2015-10,0,3482192,3823376,7305568
2015-11,0,3491704,3823376,7315080
2015-12,0,3821918,3823376,7645294
2016-01,0,4034247,3823376,7857623
2016-02,0,3761277,3823376,7584653
2016-03,0,3991781,3823376,7815157
2016-04,70954,3800452,3823376,7694782
2016-05,339493,3821918,3823376,7984787
2016-06,9305419,3504625,4740622,17550666
2016-07,34450256,3397260,9998441,47845957
2016-08,21634495,3227397,5792093,30653985
2016-09,85543,3410959,3823547,7320049
2016-10,0,3669041,3823376,7492417
2016-11,0,3287671,3823376,7111048
2016-12,0,3669041,3823376,7492417
2017-01,0,3618082,3823376,7441459
2017-02,0,3260274,3823376,7083650
2017-03,0,3630822,3823376,7454198
2017-04,0,3511673,3823376,7335049
2017-05,0,3623744,3823376,7447121
2017-06,9762645,3493151,4214722,17470518
2017-07,34366301,3567123,5882358,43815783
2017-08,19382949,3652055,4753627,27788632
2017-09,599974,3452055,3843525,7895554
2017-10,0,3736986,3823376,7560363
2017-11,0,3164384,3823376,6987760
2017-12,0,3482192,3823376,7305568
2018-01,0,3414247,3823376,7237623
2018-02,0,2934247,3823376,6757623
2018-03,0,3227397,3823376,7050774
2018-04,0,3616438,3823376,7439815
2018-05,103695,3108493,3823376,7035564
2018-06,11095468,3534247,4194926,18824641
2018-07,20998121,3482192,4827447,29307761
2018-08,24187219,3397260,6133518,33717998
2018-09,722806,3232877,3823376,7779059
2018-10,0,3397260,3823376,7220637
2018-11,0,3315068,3823376,7138445
2018-12,0,3397260,3823376,7220637
2019-01,0,3567123,3823376,7390500
2019-02,0,3145205,3823376,6968582
2019-03,0,3453881,3823376,7277258
2019-04,46623,3452055,3823376,7322054
2019-05,7126529,3312329,3937984,14376841
2019-06,24096821,3369863,5237703,32704387
2019-07,46917801,3354795,11296052,61568647
2019-08,19092346,3142466,6270201,28505014
2019-09,1893907,2917808,3848428,8660143
2019-10,110955,3482192,3823376,7416523
2019-11,0,3123288,3823376,6946664
2019-12,0,3368950,3823376,7192326
2020-01,0,3368950,3823376,7192326
2020-02,0,3058904,3823376,6882280
2020-03,0,3284018,3823376,7107395
2020-04,0,3123288,3823376,6946664
2020-05,77878,3284018,3823376,7185272
2020-06,7633989,3205479,4313195,15152663
2020-07,29967830,3255708,6637321,39860859
2020-08,13851023,3354795,4842823,22048640
2020-09,66571,3123288,3824147,7014006
2020-10,381899,3312329,3823376,7517604
2020-11,0,3205479,3823376,7028856
2020-12,0,3312329,3823376,7135705
